"Title","Phonics attainment for children aged 5 to 6 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"Standard Ethnicity","Local authority","%"
"Chinese","Redcar and Cleveland","!"
"Chinese","Richmond upon Thames","86"
"Chinese","Rochdale","100"
"Chinese","Rotherham","!"
"Chinese","Rutland","N/A"
"Chinese","Salford","!"
"Chinese","Sandwell","!"
"Chinese","Sefton","100"
"Chinese","Sheffield","79"
"Chinese","Shropshire","!"
"Chinese","Slough","100"
"Chinese","Solihull","100"
"Chinese","Somerset","73"
"Chinese","South Gloucestershire","100"
"Chinese","South Tyneside","!"
"Chinese","Southampton","!"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","90"
"Chinese","St. Helens","100"
"Chinese","Staffordshire","91"
"Chinese","Stockport","!"
"Chinese","Stockton-on-Tees","!"
"Chinese","Stoke-on-Trent","82"
"Chinese","Suffolk","100"
"Chinese","Sunderland","80"
"Chinese","Surrey","92"
"Chinese","Sutton","!"
"Chinese","Swindon","!"
"Chinese","Tameside","!"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","100"
"Chinese","Torbay","!"
"Chinese","Tower Hamlets","!"
"Chinese","Trafford","88"
"Chinese","Wakefield","83"
"Chinese","Walsall","!"
"Chinese","Waltham Forest","91"
"Chinese","Wandsworth","100"
"Chinese","Warrington","!"
"Chinese","Warwickshire","100"
"Chinese","West Berkshire","!"
"Chinese","West Sussex","!"
"Chinese","Westminster","88"
"Chinese","Wigan","!"
"Chinese","Wiltshire","70"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","!"
"Chinese","Wokingham","100"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","75"
"Chinese","York","70"
"Mixed","Barking and Dagenham","83"
"Mixed","Barnet","88"
"Mixed","Barnsley","86"
"Mixed","Bath and North East Somerset","74"
"Mixed","Bedford","79"
"Mixed","Bexley","88"
"Mixed","Birmingham","80"
"Mixed","Blackburn with Darwen","91"
"Mixed","Blackpool","82"
"Mixed","Bolton","88"
"Mixed","Bournemouth","86"
"Mixed","Bracknell Forest","92"
"Mixed","Bradford","79"
"Mixed","Brent","83"
"Mixed","Brighton and Hove","81"
"Mixed","Bristol, City of","81"
"Mixed","Bromley","88"
"Mixed","Buckinghamshire","84"
"Mixed","Bury","82"
"Mixed","Calderdale","83"
"Mixed","Cambridgeshire","83"
"Mixed","Camden","82"
"Mixed","Central Bedfordshire","83"
"Mixed","Cheshire East","84"
"Mixed","Cheshire West and Chester","83"
"Mixed","City of London","!"
"Mixed","Cornwall","81"
"Mixed","County Durham","83"
"Mixed","Coventry","81"
"Mixed","Croydon","82"
"Mixed","Cumbria","81"
"Mixed","Darlington","!"
"Mixed","Derby","84"
"Mixed","Derbyshire","81"
"Mixed","Devon","84"
"Mixed","Doncaster","84"
"Mixed","Dorset","80"
"Mixed","Dudley","80"
"Mixed","Ealing","83"
"Mixed","East Riding of Yorkshire","87"
"Mixed","East Sussex","80"
"Mixed","Enfield","85"
"Mixed","Essex","83"
"Mixed","Gateshead","92"
"Mixed","Gloucestershire","82"
"Mixed","Greenwich","83"
"Mixed","Hackney","86"
"Mixed","Halton","81"
"Mixed","Hammersmith and Fulham","89"
"Mixed","Hampshire","83"
"Mixed","Haringey","89"
"Mixed","Harrow","89"
"Mixed","Hartlepool","76"
"Mixed","Havering","86"
"Mixed","Herefordshire, County of","83"
"Mixed","Hertfordshire","82"
"Mixed","Hillingdon","86"
"Mixed","Hounslow","90"
"Mixed","Isle of Wight","85"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","82"
"Mixed","Kensington and Chelsea","90"
"Mixed","Kent","86"
"Mixed","Kingston upon Hull, City of","73"
"Mixed","Kingston upon Thames","88"
"Mixed","Kirklees","76"
"Mixed","Knowsley","80"
"Mixed","Lambeth","86"
"Mixed","Lancashire","84"
"Mixed","Leeds","76"
"Mixed","Leicester","77"
"Mixed","Leicestershire","80"
"Mixed","Lewisham","80"
"Mixed","Lincolnshire","85"
"Mixed","Liverpool","77"
"Mixed","Luton","79"
"Mixed","Manchester","79"
"Mixed","Medway","82"
"Mixed","Merton","83"
"Mixed","Middlesbrough","81"
"Mixed","Milton Keynes","86"
"Mixed","Newcastle upon Tyne","82"
"Mixed","Newham","88"
"Mixed","Norfolk","80"
"Mixed","North East Lincolnshire","75"
"Mixed","North Lincolnshire","92"
"Mixed","North Somerset","82"
"Mixed","North Tyneside","81"
"Mixed","North Yorkshire","85"
"Mixed","Northamptonshire","80"
"Mixed","Northumberland","93"
"Mixed","Nottingham","79"
"Mixed","Nottinghamshire","81"
"Mixed","Oldham","80"
"Mixed","Oxfordshire","80"
"Mixed","Peterborough","81"
"Mixed","Plymouth","80"
"Mixed","Poole","84"
"Mixed","Portsmouth","87"
"Mixed","Reading","80"
"Mixed","Redbridge","81"
"Mixed","Redcar and Cleveland","89"
"Mixed","Richmond upon Thames","91"
"Mixed","Rochdale","76"
"Mixed","Rotherham","81"
"Mixed","Rutland","!"
"Mixed","Salford","82"
"Mixed","Sandwell","78"
"Mixed","Sefton","83"
"Mixed","Sheffield","77"
"Mixed","Shropshire","82"
"Mixed","Slough","84"
"Mixed","Solihull","85"
"Mixed","Somerset","82"
"Mixed","South Gloucestershire","84"
"Mixed","South Tyneside","87"
"Mixed","Southampton","82"
"Mixed","Southend-on-Sea","84"
"Mixed","Southwark","86"
"Mixed","St. Helens","78"
"Mixed","Staffordshire","84"
"Mixed","Stockport","77"
"Mixed","Stockton-on-Tees","80"
"Mixed","Stoke-on-Trent","85"
"Mixed","Suffolk","80"
"Mixed","Sunderland","79"
"Mixed","Surrey","87"
"Mixed","Sutton","80"
"Mixed","Swindon","83"
"Mixed","Tameside","88"
"Mixed","Telford and Wrekin","81"
"Mixed","Thurrock","84"
"Mixed","Torbay","76"
"Mixed","Tower Hamlets","82"
"Mixed","Trafford","80"
"Mixed","Wakefield","75"
"Mixed","Walsall","80"
"Mixed","Waltham Forest","87"
"Mixed","Wandsworth","82"
"Mixed","Warrington","79"
"Mixed","Warwickshire","86"
"Mixed","West Berkshire","78"
"Mixed","West Sussex","82"
"Mixed","Westminster","90"
"Mixed","Wigan","87"
"Mixed","Wiltshire","83"
"Mixed","Windsor and Maidenhead","89"
"Mixed","Wirral","84"
"Mixed","Wokingham","85"
"Mixed","Wolverhampton","79"
"Mixed","Worcestershire","85"
"Mixed","York","84"
"White","Barking and Dagenham","76"
"White","Barnet","85"
"White","Barnsley","78"
"White","Bath and North East Somerset","80"
"White","Bedford","76"
"White","Bexley","82"
"White","Birmingham","78"
"White","Blackburn with Darwen","79"
"White","Blackpool","81"
"White","Bolton","81"
"White","Bournemouth","83"
"White","Bracknell Forest","84"
"White","Bradford","78"
"White","Brent","80"
"White","Brighton and Hove","78"
"White","Bristol, City of","81"
"White","Bromley","88"
"White","Buckinghamshire","82"
"White","Bury","82"
"White","Calderdale","80"
"White","Cambridgeshire","80"
"White","Camden","83"
"White","Central Bedfordshire","82"
"White","Cheshire East","84"
"White","Cheshire West and Chester","81"
"White","City of London","!"
"White","Cornwall","79"
"White","County Durham","83"
"White","Coventry","77"
"White","Croydon","80"
"White","Cumbria","79"
"White","Darlington","85"
"White","Derby","80"
"White","Derbyshire","80"
"White","Devon","83"
"White","Doncaster","78"
"White","Dorset","81"
"White","Dudley","79"
"White","Ealing","85"
"White","East Riding of Yorkshire","82"
"White","East Sussex","80"
"White","Enfield","78"
"White","Essex","82"
"White","Gateshead","83"
"White","Gloucestershire","79"
"White","Greenwich","81"
"White","Hackney","85"
"White","Halton","79"
"White","Hammersmith and Fulham","86"
"White","Hampshire","82"
"White","Haringey","83"
"White","Harrow","83"
"White","Hartlepool","82"
"White","Havering","85"
"White","Herefordshire, County of","84"
"White","Hertfordshire","83"
"White","Hillingdon","79"
"White","Hounslow","83"
"White","Isle of Wight","75"
"White","Isles of Scilly","!"
"White","Islington","82"
"White","Kensington and Chelsea","90"
"White","Kent","82"
"White","Kingston upon Hull, City of","78"
"White","Kingston upon Thames","84"
"White","Kirklees","79"
"White","Knowsley","77"
"White","Lambeth","86"
"White","Lancashire","81"
"White","Leeds","78"
"White","Leicester","76"
"White","Leicestershire","81"
"White","Lewisham","83"
"White","Lincolnshire","82"
"White","Liverpool","76"
"White","Luton","78"
"White","Manchester","78"
"White","Medway","81"
"White","Merton","84"
"White","Middlesbrough","77"
"White","Milton Keynes","80"
"White","Newcastle upon Tyne","82"
"White","Newham","85"
"White","Norfolk","78"
"White","North East Lincolnshire","80"
"White","North Lincolnshire","80"
"White","North Somerset","82"
"White","North Tyneside","81"
"White","North Yorkshire","81"
"White","Northamptonshire","81"
"White","Northumberland","85"
"White","Nottingham","77"
"White","Nottinghamshire","79"
"White","Oldham","78"
"White","Oxfordshire","82"
"White","Peterborough","75"
"White","Plymouth","80"
"White","Poole","85"
"White","Portsmouth","77"
"White","Reading","78"
"White","Redbridge","78"
"White","Redcar and Cleveland","81"
"White","Richmond upon Thames","89"
"White","Rochdale","81"
"White","Rotherham","79"
"White","Rutland","83"
"White","Salford","79"
"White","Sandwell","77"
"White","Sefton","80"
"White","Sheffield","77"
"White","Shropshire","82"
"White","Slough","77"
"White","Solihull","85"
"White","Somerset","79"
"White","South Gloucestershire","83"
"White","South Tyneside","84"
"White","Southampton","81"
"White","Southend-on-Sea","81"
"White","Southwark","85"
"White","St. Helens","79"
"White","Staffordshire","83"
"White","Stockport","82"
"White","Stockton-on-Tees","83"
"White","Stoke-on-Trent","79"
"White","Suffolk","80"
"White","Sunderland","83"
"White","Surrey","83"
"White","Sutton","82"
"White","Swindon","81"
"White","Tameside","79"
"White","Telford and Wrekin","82"
"White","Thurrock","82"
"White","Torbay","84"
"White","Tower Hamlets","78"
"White","Trafford","85"
"White","Wakefield","78"
"White","Walsall","79"
"White","Waltham Forest","84"
"White","Wandsworth","88"
"White","Warrington","81"
"White","Warwickshire","82"
"White","West Berkshire","78"
"White","West Sussex","80"
"White","Westminster","87"
"White","Wigan","84"
"White","Wiltshire","81"
"White","Windsor and Maidenhead","84"
"White","Wirral","76"
"White","Wokingham","82"
"White","Wolverhampton","77"
"White","Worcestershire","81"
"White","York","84"
