"Title","Writing attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"Gateshead","E08000037","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Gateshead","E08000037","Mixed","ONS 5","Boys","All/Boys/Girls","50","67"
"Gateshead","E08000037","White","ONS 5","Boys","All/Boys/Girls","62","77"
"Hartlepool","E06000001","All","ONS 5","Boys","All/Boys/Girls","57","74"
"Hartlepool","E06000001","Asian","ONS 5","Boys","All/Boys/Girls","68","56"
"Hartlepool","E06000001","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Hartlepool","E06000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Hartlepool","E06000001","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"Hartlepool","E06000001","White","ONS 5","Boys","All/Boys/Girls","56","74"
"Middlesbrough","E06000002","All","ONS 5","Boys","All/Boys/Girls","49","66"
"Middlesbrough","E06000002","Asian","ONS 5","Boys","All/Boys/Girls","53","66"
"Middlesbrough","E06000002","Black","ONS 5","Boys","All/Boys/Girls","69","81"
"Middlesbrough","E06000002","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Middlesbrough","E06000002","Mixed","ONS 5","Boys","All/Boys/Girls","47","62"
"Middlesbrough","E06000002","White","ONS 5","Boys","All/Boys/Girls","50","66"
"Newcastle upon Tyne","E08000021","All","ONS 5","Boys","All/Boys/Girls","61","73"
"Newcastle upon Tyne","E08000021","Asian","ONS 5","Boys","All/Boys/Girls","61","74"
"Newcastle upon Tyne","E08000021","Black","ONS 5","Boys","All/Boys/Girls","64","72"
"Newcastle upon Tyne","E08000021","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Newcastle upon Tyne","E08000021","Mixed","ONS 5","Boys","All/Boys/Girls","65","84"
"Newcastle upon Tyne","E08000021","White","ONS 5","Boys","All/Boys/Girls","62","73"
"North Tyneside","E08000022","All","ONS 5","Boys","All/Boys/Girls","61","76"
"North Tyneside","E08000022","Asian","ONS 5","Boys","All/Boys/Girls","74","85"
"North Tyneside","E08000022","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"North Tyneside","E08000022","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"North Tyneside","E08000022","Mixed","ONS 5","Boys","All/Boys/Girls","70","72"
"North Tyneside","E08000022","White","ONS 5","Boys","All/Boys/Girls","61","75"
"Northumberland","E06000057","All","ONS 5","Boys","All/Boys/Girls","64","77"
"Northumberland","E06000057","Asian","ONS 5","Boys","All/Boys/Girls","73","85"
"Northumberland","E06000057","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Northumberland","E06000057","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Northumberland","E06000057","Mixed","ONS 5","Boys","All/Boys/Girls","63","71"
"Northumberland","E06000057","White","ONS 5","Boys","All/Boys/Girls","64","77"
"Redcar and Cleveland","E06000003","All","ONS 5","Boys","All/Boys/Girls","64","79"
"Redcar and Cleveland","E06000003","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Redcar and Cleveland","E06000003","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Redcar and Cleveland","E06000003","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Redcar and Cleveland","E06000003","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"Redcar and Cleveland","E06000003","White","ONS 5","Boys","All/Boys/Girls","64","79"
"South Tyneside","E08000023","All","ONS 5","Boys","All/Boys/Girls","66","78"
"South Tyneside","E08000023","Asian","ONS 5","Boys","All/Boys/Girls","79","72"
"South Tyneside","E08000023","Black","ONS 5","Boys","All/Boys/Girls","67","100"
"South Tyneside","E08000023","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"South Tyneside","E08000023","Mixed","ONS 5","Boys","All/Boys/Girls","67","53"
"South Tyneside","E08000023","White","ONS 5","Boys","All/Boys/Girls","66","79"
"Stockton-on-Tees","E06000004","All","ONS 5","Boys","All/Boys/Girls","60","77"
"Stockton-on-Tees","E06000004","Asian","ONS 5","Boys","All/Boys/Girls","66","85"
"Stockton-on-Tees","E06000004","Black","ONS 5","Boys","All/Boys/Girls","72","73"
"Stockton-on-Tees","E06000004","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Stockton-on-Tees","E06000004","Mixed","ONS 5","Boys","All/Boys/Girls","53","69"
"Stockton-on-Tees","E06000004","White","ONS 5","Boys","All/Boys/Girls","60","77"
"Sunderland","E08000024","All","ONS 5","Boys","All/Boys/Girls","62","78"
"Sunderland","E08000024","Asian","ONS 5","Boys","All/Boys/Girls","61","81"
"Sunderland","E08000024","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Sunderland","E08000024","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Sunderland","E08000024","Mixed","ONS 5","Boys","All/Boys/Girls","65","88"
"Sunderland","E08000024","White","ONS 5","Boys","All/Boys/Girls","62","77"
"Blackburn with Darwen","E06000008","All","ONS 5","Boys","All/Boys/Girls","59","75"
"Blackburn with Darwen","E06000008","Asian","ONS 5","Boys","All/Boys/Girls","60","77"
"Blackburn with Darwen","E06000008","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Blackburn with Darwen","E06000008","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Blackburn with Darwen","E06000008","Mixed","ONS 5","Boys","All/Boys/Girls","57","69"
"Blackburn with Darwen","E06000008","White","ONS 5","Boys","All/Boys/Girls","59","75"
"Blackpool","E06000009","All","ONS 5","Boys","All/Boys/Girls","61","72"
"Blackpool","E06000009","Asian","ONS 5","Boys","All/Boys/Girls","57","53"
"Blackpool","E06000009","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Blackpool","E06000009","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Blackpool","E06000009","Mixed","ONS 5","Boys","All/Boys/Girls","58","74"
"Blackpool","E06000009","White","ONS 5","Boys","All/Boys/Girls","61","73"
"Bolton","E08000001","All","ONS 5","Boys","All/Boys/Girls","58","71"
"Bolton","E08000001","Asian","ONS 5","Boys","All/Boys/Girls","63","75"
"Bolton","E08000001","Black","ONS 5","Boys","All/Boys/Girls","54","58"
"Bolton","E08000001","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Bolton","E08000001","Mixed","ONS 5","Boys","All/Boys/Girls","64","70"
"Bolton","E08000001","White","ONS 5","Boys","All/Boys/Girls","57","72"
"Bury","E08000002","All","ONS 5","Boys","All/Boys/Girls","57","70"
"Bury","E08000002","Asian","ONS 5","Boys","All/Boys/Girls","59","68"
"Bury","E08000002","Black","ONS 5","Boys","All/Boys/Girls","56","62"
"Bury","E08000002","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Bury","E08000002","Mixed","ONS 5","Boys","All/Boys/Girls","42","79"
"Bury","E08000002","White","ONS 5","Boys","All/Boys/Girls","57","71"
"Cheshire East","E06000049","All","ONS 5","Boys","All/Boys/Girls","50","66"
"Cheshire East","E06000049","Asian","ONS 5","Boys","All/Boys/Girls","59","68"
"Cheshire East","E06000049","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Cheshire East","E06000049","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Cheshire East","E06000049","Mixed","ONS 5","Boys","All/Boys/Girls","63","68"
"Cheshire East","E06000049","White","ONS 5","Boys","All/Boys/Girls","50","66"
"Cheshire West and Chester","E06000050","All","ONS 5","Boys","All/Boys/Girls","50","68"
"Cheshire West and Chester","E06000050","Asian","ONS 5","Boys","All/Boys/Girls","51","87"
"Cheshire West and Chester","E06000050","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Cheshire West and Chester","E06000050","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Cheshire West and Chester","E06000050","Mixed","ONS 5","Boys","All/Boys/Girls","63","81"
"Cheshire West and Chester","E06000050","White","ONS 5","Boys","All/Boys/Girls","49","67"
"Cumbria","E10000006","All","ONS 5","Boys","All/Boys/Girls","50","64"
"Cumbria","E10000006","Asian","ONS 5","Boys","All/Boys/Girls","80","74"
"Cumbria","E10000006","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Cumbria","E10000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Cumbria","E10000006","Mixed","ONS 5","Boys","All/Boys/Girls","41","72"
"Cumbria","E10000006","White","ONS 5","Boys","All/Boys/Girls","50","64"
"Halton","E06000006","All","ONS 5","Boys","All/Boys/Girls","46","61"
"Halton","E06000006","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Halton","E06000006","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Halton","E06000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Halton","E06000006","Mixed","ONS 5","Boys","All/Boys/Girls","58","50"
"Halton","E06000006","White","ONS 5","Boys","All/Boys/Girls","46","62"
"Knowsley","E08000011","All","ONS 5","Boys","All/Boys/Girls","50","66"
"Knowsley","E08000011","Asian","ONS 5","Boys","All/Boys/Girls","78","100"
"Knowsley","E08000011","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Knowsley","E08000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Knowsley","E08000011","Mixed","ONS 5","Boys","All/Boys/Girls","65","80"
"Knowsley","E08000011","White","ONS 5","Boys","All/Boys/Girls","49","65"
"Lancashire","E10000017","All","ONS 5","Boys","All/Boys/Girls","59","74"
"Lancashire","E10000017","Asian","ONS 5","Boys","All/Boys/Girls","63","72"
"Lancashire","E10000017","Black","ONS 5","Boys","All/Boys/Girls","61","84"
"Lancashire","E10000017","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Lancashire","E10000017","Mixed","ONS 5","Boys","All/Boys/Girls","59","75"
"Lancashire","E10000017","White","ONS 5","Boys","All/Boys/Girls","59","74"
"Liverpool","E08000012","All","ONS 5","Boys","All/Boys/Girls","45","61"
"Liverpool","E08000012","Asian","ONS 5","Boys","All/Boys/Girls","55","63"
"Liverpool","E08000012","Black","ONS 5","Boys","All/Boys/Girls","50","58"
"Liverpool","E08000012","Chinese","ONS 5","Boys","All/Boys/Girls","49","78"
"Liverpool","E08000012","Mixed","ONS 5","Boys","All/Boys/Girls","43","69"
"Liverpool","E08000012","White","ONS 5","Boys","All/Boys/Girls","45","62"
"Manchester","E08000003","All","ONS 5","Boys","All/Boys/Girls","57","70"
"Manchester","E08000003","Asian","ONS 5","Boys","All/Boys/Girls","56","70"
"Manchester","E08000003","Black","ONS 5","Boys","All/Boys/Girls","61","75"
"Manchester","E08000003","Chinese","ONS 5","Boys","All/Boys/Girls","76","87"
"Manchester","E08000003","Mixed","ONS 5","Boys","All/Boys/Girls","61","72"
"Manchester","E08000003","White","ONS 5","Boys","All/Boys/Girls","58","69"
"Oldham","E08000004","All","ONS 5","Boys","All/Boys/Girls","52","66"
"Oldham","E08000004","Asian","ONS 5","Boys","All/Boys/Girls","47","64"
"Oldham","E08000004","Black","ONS 5","Boys","All/Boys/Girls","40","58"
"Oldham","E08000004","Chinese","ONS 5","Boys","All/Boys/Girls","70","73"
"Oldham","E08000004","Mixed","ONS 5","Boys","All/Boys/Girls","60","66"
"Oldham","E08000004","White","ONS 5","Boys","All/Boys/Girls","56","70"
"Rochdale","E08000005","All","ONS 5","Boys","All/Boys/Girls","52","70"
"Rochdale","E08000005","Asian","ONS 5","Boys","All/Boys/Girls","48","63"
"Rochdale","E08000005","Black","ONS 5","Boys","All/Boys/Girls","56","59"
"Rochdale","E08000005","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Rochdale","E08000005","Mixed","ONS 5","Boys","All/Boys/Girls","58","67"
"Rochdale","E08000005","White","ONS 5","Boys","All/Boys/Girls","53","74"
"Salford","E08000006","All","ONS 5","Boys","All/Boys/Girls","61","74"
"Salford","E08000006","Asian","ONS 5","Boys","All/Boys/Girls","68","77"
"Salford","E08000006","Black","ONS 5","Boys","All/Boys/Girls","61","77"
"Salford","E08000006","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Salford","E08000006","Mixed","ONS 5","Boys","All/Boys/Girls","62","74"
"Salford","E08000006","White","ONS 5","Boys","All/Boys/Girls","62","75"
"Sefton","E08000014","All","ONS 5","Boys","All/Boys/Girls","54","71"
"Sefton","E08000014","Asian","ONS 5","Boys","All/Boys/Girls","60","81"
"Sefton","E08000014","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Sefton","E08000014","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Sefton","E08000014","Mixed","ONS 5","Boys","All/Boys/Girls","52","76"
"Sefton","E08000014","White","ONS 5","Boys","All/Boys/Girls","55","71"
"St. Helens","E08000013","All","ONS 5","Boys","All/Boys/Girls","50","65"
"St. Helens","E08000013","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"St. Helens","E08000013","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"St. Helens","E08000013","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"St. Helens","E08000013","Mixed","ONS 5","Boys","All/Boys/Girls","55","72"
"St. Helens","E08000013","White","ONS 5","Boys","All/Boys/Girls","50","65"
"Stockport","E08000007","All","ONS 5","Boys","All/Boys/Girls","62","74"
"Stockport","E08000007","Asian","ONS 5","Boys","All/Boys/Girls","73","76"
"Stockport","E08000007","Black","ONS 5","Boys","All/Boys/Girls","63","76"
"Stockport","E08000007","Chinese","ONS 5","Boys","All/Boys/Girls","60","70"
"Stockport","E08000007","Mixed","ONS 5","Boys","All/Boys/Girls","58","82"
"Stockport","E08000007","White","ONS 5","Boys","All/Boys/Girls","61","74"
"Tameside","E08000008","All","ONS 5","Boys","All/Boys/Girls","56","71"
"Tameside","E08000008","Asian","ONS 5","Boys","All/Boys/Girls","56","68"
"Tameside","E08000008","Black","ONS 5","Boys","All/Boys/Girls","64","77"
"Tameside","E08000008","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Tameside","E08000008","Mixed","ONS 5","Boys","All/Boys/Girls","57","77"
"Tameside","E08000008","White","ONS 5","Boys","All/Boys/Girls","55","71"
"Trafford","E08000009","All","ONS 5","Boys","All/Boys/Girls","61","77"
"Trafford","E08000009","Asian","ONS 5","Boys","All/Boys/Girls","60","76"
"Trafford","E08000009","Black","ONS 5","Boys","All/Boys/Girls","62","80"
"Trafford","E08000009","Chinese","ONS 5","Boys","All/Boys/Girls","63","85"
"Trafford","E08000009","Mixed","ONS 5","Boys","All/Boys/Girls","56","71"
"Trafford","E08000009","White","ONS 5","Boys","All/Boys/Girls","61","78"
"Warrington","E06000007","All","ONS 5","Boys","All/Boys/Girls","64","78"
"Warrington","E06000007","Asian","ONS 5","Boys","All/Boys/Girls","60","86"
"Warrington","E06000007","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Warrington","E06000007","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Warrington","E06000007","Mixed","ONS 5","Boys","All/Boys/Girls","70","80"
"Warrington","E06000007","White","ONS 5","Boys","All/Boys/Girls","64","78"
"Wigan","E08000010","All","ONS 5","Boys","All/Boys/Girls","59","75"
"Wigan","E08000010","Asian","ONS 5","Boys","All/Boys/Girls","69","73"
"Wigan","E08000010","Black","ONS 5","Boys","All/Boys/Girls","71","76"
"Wigan","E08000010","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Wigan","E08000010","Mixed","ONS 5","Boys","All/Boys/Girls","65","80"
"Wigan","E08000010","White","ONS 5","Boys","All/Boys/Girls","59","75"
"Wirral","E08000015","All","ONS 5","Boys","All/Boys/Girls","54","71"
"Wirral","E08000015","Asian","ONS 5","Boys","All/Boys/Girls","76","77"
"Wirral","E08000015","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Wirral","E08000015","Chinese","ONS 5","Boys","All/Boys/Girls","44","50"
"Wirral","E08000015","Mixed","ONS 5","Boys","All/Boys/Girls","67","75"
"Wirral","E08000015","White","ONS 5","Boys","All/Boys/Girls","53","72"
"Bracknell Forest","E06000036","All","ONS 5","Boys","All/Boys/Girls","63","74"
"Bracknell Forest","E06000036","Asian","ONS 5","Boys","All/Boys/Girls","79","88"
"Bracknell Forest","E06000036","Black","ONS 5","Boys","All/Boys/Girls","68","73"
"Bracknell Forest","E06000036","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Bracknell Forest","E06000036","Mixed","ONS 5","Boys","All/Boys/Girls","74","79"
"Bracknell Forest","E06000036","White","ONS 5","Boys","All/Boys/Girls","61","73"
"Brighton and Hove","E06000043","All","ONS 5","Boys","All/Boys/Girls","60","73"
"Brighton and Hove","E06000043","Asian","ONS 5","Boys","All/Boys/Girls","71","70"
"Brighton and Hove","E06000043","Black","ONS 5","Boys","All/Boys/Girls","47","82"
"Brighton and Hove","E06000043","Chinese","ONS 5","Boys","All/Boys/Girls","50","100"
"Brighton and Hove","E06000043","Mixed","ONS 5","Boys","All/Boys/Girls","65","67"
"Brighton and Hove","E06000043","White","ONS 5","Boys","All/Boys/Girls","60","74"
"Buckinghamshire","E10000002","All","ONS 5","Boys","All/Boys/Girls","58","73"
"Buckinghamshire","E10000002","Asian","ONS 5","Boys","All/Boys/Girls","56","67"
"Buckinghamshire","E10000002","Black","ONS 5","Boys","All/Boys/Girls","54","73"
"Buckinghamshire","E10000002","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Buckinghamshire","E10000002","Mixed","ONS 5","Boys","All/Boys/Girls","56","74"
"Buckinghamshire","E10000002","White","ONS 5","Boys","All/Boys/Girls","59","74"
"East Sussex","E10000011","All","ONS 5","Boys","All/Boys/Girls","62","76"
"East Sussex","E10000011","Asian","ONS 5","Boys","All/Boys/Girls","69","85"
"East Sussex","E10000011","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"East Sussex","E10000011","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"East Sussex","E10000011","Mixed","ONS 5","Boys","All/Boys/Girls","63","81"
"East Sussex","E10000011","White","ONS 5","Boys","All/Boys/Girls","62","76"
"Hampshire","E10000014","All","ONS 5","Boys","All/Boys/Girls","63","78"
"Hampshire","E10000014","Asian","ONS 5","Boys","All/Boys/Girls","75","79"
"Hampshire","E10000014","Black","ONS 5","Boys","All/Boys/Girls","62","84"
"Hampshire","E10000014","Chinese","ONS 5","Boys","All/Boys/Girls","73","88"
"Hampshire","E10000014","Mixed","ONS 5","Boys","All/Boys/Girls","64","82"
"Hampshire","E10000014","White","ONS 5","Boys","All/Boys/Girls","63","77"
"Isle of Wight","E06000046","All","ONS 5","Boys","All/Boys/Girls","62","75"
"Isle of Wight","E06000046","Asian","ONS 5","Boys","All/Boys/Girls","!","100"
"Isle of Wight","E06000046","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Isle of Wight","E06000046","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Isle of Wight","E06000046","Mixed","ONS 5","Boys","All/Boys/Girls","!","!"
"Isle of Wight","E06000046","White","ONS 5","Boys","All/Boys/Girls","63","74"
"Kent","E10000016","All","ONS 5","Boys","All/Boys/Girls","65","78"
"Kent","E10000016","Asian","ONS 5","Boys","All/Boys/Girls","76","85"
"Kent","E10000016","Black","ONS 5","Boys","All/Boys/Girls","74","86"
"Kent","E10000016","Chinese","ONS 5","Boys","All/Boys/Girls","74","86"
"Kent","E10000016","Mixed","ONS 5","Boys","All/Boys/Girls","72","84"
"Kent","E10000016","White","ONS 5","Boys","All/Boys/Girls","64","78"
"Medway","E06000035","All","ONS 5","Boys","All/Boys/Girls","63","73"
"Medway","E06000035","Asian","ONS 5","Boys","All/Boys/Girls","77","75"
"Medway","E06000035","Black","ONS 5","Boys","All/Boys/Girls","81","87"
"Medway","E06000035","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Medway","E06000035","Mixed","ONS 5","Boys","All/Boys/Girls","72","78"
"Medway","E06000035","White","ONS 5","Boys","All/Boys/Girls","61","72"
"Milton Keynes","E06000042","All","ONS 5","Boys","All/Boys/Girls","57","72"
"Milton Keynes","E06000042","Asian","ONS 5","Boys","All/Boys/Girls","65","80"
"Milton Keynes","E06000042","Black","ONS 5","Boys","All/Boys/Girls","61","78"
"Milton Keynes","E06000042","Chinese","ONS 5","Boys","All/Boys/Girls","77","79"
"Milton Keynes","E06000042","Mixed","ONS 5","Boys","All/Boys/Girls","66","78"
"Milton Keynes","E06000042","White","ONS 5","Boys","All/Boys/Girls","54","69"
"Oxfordshire","E10000025","All","ONS 5","Boys","All/Boys/Girls","54","69"
"Oxfordshire","E10000025","Asian","ONS 5","Boys","All/Boys/Girls","48","64"
"Oxfordshire","E10000025","Black","ONS 5","Boys","All/Boys/Girls","53","69"
"Oxfordshire","E10000025","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Oxfordshire","E10000025","Mixed","ONS 5","Boys","All/Boys/Girls","55","68"
"Oxfordshire","E10000025","White","ONS 5","Boys","All/Boys/Girls","55","70"
"Portsmouth","E06000044","All","ONS 5","Boys","All/Boys/Girls","55","71"
"Portsmouth","E06000044","Asian","ONS 5","Boys","All/Boys/Girls","56","70"
"Portsmouth","E06000044","Black","ONS 5","Boys","All/Boys/Girls","57","68"
"Portsmouth","E06000044","Chinese","ONS 5","Boys","All/Boys/Girls","100","100"
"Portsmouth","E06000044","Mixed","ONS 5","Boys","All/Boys/Girls","57","70"
"Portsmouth","E06000044","White","ONS 5","Boys","All/Boys/Girls","54","72"
"Reading","E06000038","All","ONS 5","Boys","All/Boys/Girls","58","72"
"Reading","E06000038","Asian","ONS 5","Boys","All/Boys/Girls","62","78"
"Reading","E06000038","Black","ONS 5","Boys","All/Boys/Girls","66","71"
"Reading","E06000038","Chinese","ONS 5","Boys","All/Boys/Girls","100","!"
"Reading","E06000038","Mixed","ONS 5","Boys","All/Boys/Girls","54","63"
"Reading","E06000038","White","ONS 5","Boys","All/Boys/Girls","55","73"
"Slough","E06000039","All","ONS 5","Boys","All/Boys/Girls","61","75"
"Slough","E06000039","Asian","ONS 5","Boys","All/Boys/Girls","69","83"
"Slough","E06000039","Black","ONS 5","Boys","All/Boys/Girls","59","85"
"Slough","E06000039","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Slough","E06000039","Mixed","ONS 5","Boys","All/Boys/Girls","60","77"
"Slough","E06000039","White","ONS 5","Boys","All/Boys/Girls","53","62"
"Southampton","E06000045","All","ONS 5","Boys","All/Boys/Girls","61","76"
"Southampton","E06000045","Asian","ONS 5","Boys","All/Boys/Girls","66","80"
"Southampton","E06000045","Black","ONS 5","Boys","All/Boys/Girls","69","72"
"Southampton","E06000045","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Southampton","E06000045","Mixed","ONS 5","Boys","All/Boys/Girls","68","76"
"Southampton","E06000045","White","ONS 5","Boys","All/Boys/Girls","60","76"
"Surrey","E10000030","All","ONS 5","Boys","All/Boys/Girls","62","77"
"Surrey","E10000030","Asian","ONS 5","Boys","All/Boys/Girls","71","79"
"Surrey","E10000030","Black","ONS 5","Boys","All/Boys/Girls","71","84"
"Surrey","E10000030","Chinese","ONS 5","Boys","All/Boys/Girls","85","82"
"Surrey","E10000030","Mixed","ONS 5","Boys","All/Boys/Girls","63","83"
"Surrey","E10000030","White","ONS 5","Boys","All/Boys/Girls","62","76"
"West Berkshire","E06000037","All","ONS 5","Boys","All/Boys/Girls","59","72"
"West Berkshire","E06000037","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"West Berkshire","E06000037","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"West Berkshire","E06000037","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Berkshire","E06000037","Mixed","ONS 5","Boys","All/Boys/Girls","62","82"
"West Berkshire","E06000037","White","ONS 5","Boys","All/Boys/Girls","58","70"
"West Sussex","E10000032","All","ONS 5","Boys","All/Boys/Girls","44","62"
"West Sussex","E10000032","Asian","ONS 5","Boys","All/Boys/Girls","58","70"
"West Sussex","E10000032","Black","ONS 5","Boys","All/Boys/Girls","46","52"
"West Sussex","E10000032","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"West Sussex","E10000032","Mixed","ONS 5","Boys","All/Boys/Girls","50","64"
"West Sussex","E10000032","White","ONS 5","Boys","All/Boys/Girls","43","62"
"Windsor and Maidenhead","E06000040","All","ONS 5","Boys","All/Boys/Girls","66","78"
"Windsor and Maidenhead","E06000040","Asian","ONS 5","Boys","All/Boys/Girls","65","81"
"Windsor and Maidenhead","E06000040","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Windsor and Maidenhead","E06000040","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Windsor and Maidenhead","E06000040","Mixed","ONS 5","Boys","All/Boys/Girls","74","76"
"Windsor and Maidenhead","E06000040","White","ONS 5","Boys","All/Boys/Girls","67","78"
"Wokingham","E06000041","All","ONS 5","Boys","All/Boys/Girls","63","76"
"Wokingham","E06000041","Asian","ONS 5","Boys","All/Boys/Girls","73","85"
"Wokingham","E06000041","Black","ONS 5","Boys","All/Boys/Girls","69","79"
"Wokingham","E06000041","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Wokingham","E06000041","Mixed","ONS 5","Boys","All/Boys/Girls","70","80"
"Wokingham","E06000041","White","ONS 5","Boys","All/Boys/Girls","60","74"
"Bath and North East Somerset","E06000022","All","ONS 5","Boys","All/Boys/Girls","58","71"
"Bath and North East Somerset","E06000022","Asian","ONS 5","Boys","All/Boys/Girls","69","75"
"Bath and North East Somerset","E06000022","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Bath and North East Somerset","E06000022","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Bath and North East Somerset","E06000022","Mixed","ONS 5","Boys","All/Boys/Girls","51","73"
"Bath and North East Somerset","E06000022","White","ONS 5","Boys","All/Boys/Girls","59","70"
"Bournemouth","E06000028","All","ONS 5","Boys","All/Boys/Girls","55","68"
"Bournemouth","E06000028","Asian","ONS 5","Boys","All/Boys/Girls","62","73"
"Bournemouth","E06000028","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Bournemouth","E06000028","Chinese","ONS 5","Boys","All/Boys/Girls","!","!"
"Bournemouth","E06000028","Mixed","ONS 5","Boys","All/Boys/Girls","48","74"
"Bournemouth","E06000028","White","ONS 5","Boys","All/Boys/Girls","55","68"
"Bristol, City of","E06000023","All","ONS 5","Boys","All/Boys/Girls","54","70"
"Bristol, City of","E06000023","Asian","ONS 5","Boys","All/Boys/Girls","60","67"
"Bristol, City of","E06000023","Black","ONS 5","Boys","All/Boys/Girls","45","69"
"Bristol, City of","E06000023","Chinese","ONS 5","Boys","All/Boys/Girls","75","100"
"Bristol, City of","E06000023","Mixed","ONS 5","Boys","All/Boys/Girls","51","67"
"Bristol, City of","E06000023","White","ONS 5","Boys","All/Boys/Girls","55","71"
"Cornwall","E06000052","All","ONS 5","Boys","All/Boys/Girls","57","73"
"Cornwall","E06000052","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"Cornwall","E06000052","Black","ONS 5","Boys","All/Boys/Girls","!","!"
"Cornwall","E06000052","Chinese","ONS 5","Boys","All/Boys/Girls","!","100"
"Cornwall","E06000052","Mixed","ONS 5","Boys","All/Boys/Girls","58","81"
"Cornwall","E06000052","White","ONS 5","Boys","All/Boys/Girls","56","73"
"Devon","E10000008","All","ONS 5","Boys","All/Boys/Girls","55","71"
"Devon","E10000008","Asian","ONS 5","Boys","All/Boys/Girls","56","73"
