"Title","Writing attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value"
"South West","Torbay","E06000027","Mixed","ONS 5","All","All/Boys/Girls","71"
"South West","Wiltshire","E06000054","Mixed","ONS 5","All","All/Boys/Girls","72"
"North East","County Durham","E06000047","Asian","ONS 5","All","All/Boys/Girls","82"
"North East","Darlington","E06000005","Asian","ONS 5","All","All/Boys/Girls","58"
"North East","Gateshead","E08000037","Asian","ONS 5","All","All/Boys/Girls","68"
"North East","Hartlepool","E06000001","Asian","ONS 5","All","All/Boys/Girls","64"
"North East","Middlesbrough","E06000002","Asian","ONS 5","All","All/Boys/Girls","58"
"North East","Newcastle upon Tyne","E08000021","Asian","ONS 5","All","All/Boys/Girls","68"
"North East","North Tyneside","E08000022","Asian","ONS 5","All","All/Boys/Girls","79"
"North East","Northumberland","E06000057","Asian","ONS 5","All","All/Boys/Girls","81"
"North East","Redcar and Cleveland","E06000003","Asian","ONS 5","All","All/Boys/Girls","53"
"North East","South Tyneside","E08000023","Asian","ONS 5","All","All/Boys/Girls","75"
"North East","Stockton-on-Tees","E06000004","Asian","ONS 5","All","All/Boys/Girls","76"
"North East","Sunderland","E08000024","Asian","ONS 5","All","All/Boys/Girls","72"
"North West","Blackburn with Darwen","E06000008","Asian","ONS 5","All","All/Boys/Girls","68"
"North West","Blackpool","E06000009","Asian","ONS 5","All","All/Boys/Girls","55"
"North West","Bolton","E08000001","Asian","ONS 5","All","All/Boys/Girls","69"
"North West","Bury","E08000002","Asian","ONS 5","All","All/Boys/Girls","64"
"North West","Cheshire East","E06000049","Asian","ONS 5","All","All/Boys/Girls","63"
"North West","Cheshire West and Chester","E06000050","Asian","ONS 5","All","All/Boys/Girls","68"
