"Ethnicity","Local Authority","All","Boys","Girls"
"Chinese","Swindon","0.18","!","!"
"Chinese","Tameside","0.62","0.78","0.49"
"Chinese","Telford and Wrekin","0.45","-0.01","0.90"
"Chinese","Thurrock","0.78","!","!"
"Chinese","Torbay","0.54","!","!"
"Chinese","Tower Hamlets","0.99","0.99","1.00"
"Chinese","Trafford","0.51","0.36","0.67"
"Chinese","Wakefield","!","!","!"
"Chinese","Walsall","!","!","!"
"Chinese","Waltham Forest","0.95","1.30","0.68"
"Chinese","Wandsworth","0.54","0.67","0.46"
"Chinese","Warrington","0.52","!","!"
"Chinese","Warwickshire","0.59","0.34","0.88"
"Chinese","West Berkshire","0.74","0.91","0.34"
"Chinese","West Sussex","0.58","0.51","0.63"
"Chinese","Westminster","0.72","0.82","0.58"
"Chinese","Wigan","0.62","!","!"
"Chinese","Wiltshire","0.97","!","!"
"Chinese","Windsor and Maidenhead","0.42","!","!"
"Chinese","Wirral","0.87","0.91","0.84"
"Chinese","Wokingham","0.71","0.94","0.53"
"Chinese","Wolverhampton","!","N/A","!"
"Chinese","Worcestershire","0.68","!","!"
"Chinese","York","0.74","0.86","0.66"
"Black","All - England","0.17","-0.01","0.35"
"Black","Barking and Dagenham","0.36","0.16","0.57"
"Black","Barnet","0.20","0.04","0.37"
"Black","Barnsley","0.64","0.93","0.41"
"Black","Bath and North East Somerset","-0.08","0.35","-0.51"
"Black","Bedford","0.40","0.22","0.58"
"Black","Bexley","0.35","0.22","0.49"
"Black","Birmingham","0.14","-0.14","0.41"
"Black","Blackburn with Darwen","-0.17","-0.61","1.13"
"Black","Blackpool","0.01","0.22","-0.15"
"Black","Bolton","0.29","0.17","0.39"
"Black","Bournemouth","0.36","-0.05","0.68"
"Black","Bracknell Forest","0.06","-0.15","0.27"
"Black","Bradford","0.36","-0.12","0.69"
"Black","Brent","0.02","-0.22","0.23"
"Black","Brighton and Hove","0.36","0.21","0.56"
"Black","Bristol, City of","0.01","-0.09","0.09"
"Black","Bromley","0.26","0.39","0.16"
"Black","Buckinghamshire","0.07","-0.04","0.18"
"Black","Bury","0.32","0.00","0.74"
"Black","Calderdale","0.52","0.50","0.57"
"Black","Cambridgeshire","0.43","0.20","0.71"
"Black","Camden","0.07","-0.27","0.28"
"Black","Central Bedfordshire","0.33","-0.15","0.90"
"Black","Cheshire East","-0.22","-0.18","-0.30"
"Black","Cheshire West and Chester","-0.02","-0.10","0.11"
"Black","City of London","N/A","N/A","N/A"
"Black","Cornwall","-0.14","-0.32","0.10"
