"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Local Authority","Score","Pupils"
"Black","Windsor and Maidenhead","-0.10","20"
"Black","Wirral","0.83","6"
"Black","Wokingham","0.36","67"
"Black","Wolverhampton","0.04","198"
"Black","Worcestershire","0.27","18"
"Black","York","0.69","8"
"Mixed","All - England","-0.04","21,311"
"Mixed","Barking and Dagenham","-0.10","134"
"Mixed","Barnet","0.31","333"
"Mixed","Barnsley","-0.20","29"
"Mixed","Bath and North East Somerset","-0.36","68"
"Mixed","Bedford","-0.04","139"
"Mixed","Bexley","-0.12","151"
"Mixed","Birmingham","-0.05","783"
"Mixed","Blackburn with Darwen","0.11","59"
"Mixed","Blackpool","0.12","24"
"Mixed","Bolton","-0.25","85"
"Mixed","Bournemouth","0.12","62"
"Mixed","Bracknell Forest","0.21","47"
"Mixed","Bradford","-0.35","207"
"Mixed","Brent","-0.11","138"
"Mixed","Brighton and Hove","0.18","162"
"Mixed","Bristol, City of","-0.30","199"
"Mixed","Bromley","0.19","215"
"Mixed","Buckinghamshire","-0.13","276"
"Mixed","Bury","-0.09","96"
"Mixed","Calderdale","-0.05","89"
"Mixed","Cambridgeshire","0.17","179"
"Mixed","Camden","-0.31","138"
"Mixed","Central Bedfordshire","-0.07","101"
"Mixed","Cheshire East","-0.31","88"
"Mixed","Cheshire West and Chester","0.18","63"
"Mixed","City of London","N/A","N/A"
"Mixed","Cornwall","0.09","93"
"Mixed","County Durham","-0.03","36"
"Mixed","Coventry","-0.24","171"
"Mixed","Croydon","-0.08","389"
"Mixed","Cumbria","0.11","44"
"Mixed","Darlington","-0.35","13"
"Mixed","Derby","-0.31","163"
"Mixed","Derbyshire","-0.29","154"
"Mixed","Devon","0.06","82"
"Mixed","Doncaster","-0.04","58"
"Mixed","Dorset","-0.07","77"
"Mixed","Dudley","-0.36","168"
"Mixed","Ealing","0.11","186"
"Mixed","East Riding of Yorkshire","0.09","42"
"Mixed","East Sussex","0.11","156"
"Mixed","Enfield","-0.13","306"
"Mixed","Essex","0.05","511"
"Mixed","Gateshead","0.27","19"
"Mixed","Gloucestershire","-0.25","182"
"Mixed","Greenwich","-0.11","185"
"Mixed","Hackney","0.27","189"
"Mixed","Halton","-0.01","24"
"Mixed","Hammersmith and Fulham","-0.03","123"
"Mixed","Hampshire","-0.09","326"
"Mixed","Haringey","0.18","232"
"Mixed","Harrow","0.10","153"
"Mixed","Hartlepool","-0.12","7"
"Mixed","Havering","-0.14","124"
"Mixed","Herefordshire, County of","0.91","22"
"Mixed","Hertfordshire","0.02","667"
"Mixed","Hillingdon","0.10","285"
"Mixed","Hounslow","0.31","206"
"Mixed","Isle of Wight","-0.31","27"
"Mixed","Isles of Scilly","N/A","0"
"Mixed","Islington","0.04","153"
"Mixed","Kensington and Chelsea","0.26","103"
"Mixed","Kent","0.11","480"
"Mixed","Kingston upon Hull, City of","0.31","40"
"Mixed","Kingston upon Thames","0.37","107"
"Mixed","Kirklees","-0.28","221"
