"Title","Pupil progress (‘Progress 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All pupils","","","Asian","","","Chinese","","","Black","","","Mixed","","","White","",""
"Local Authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"North Tyneside","-0.04","-0.14","0.06","0.27","-0.19","0.48","1.30","1.34","1.27","0.34","0.04","0.84","0.26","0.46","0.09","-0.06","-0.16","0.04"
"North Yorkshire","0.04","-0.09","0.18","0.43","0.31","0.61","0.96","0.46","1.39","0.49","0.11","0.97","0.18","0.14","0.23","0.03","-0.10","0.16"
"Northamptonshire","-0.13","-0.29","0.04","0.45","0.31","0.59","0.78","0.95","0.64","0.27","0.16","0.37","-0.05","-0.20","0.09","-0.18","-0.35","-0.01"
"Northumberland","-0.14","-0.22","-0.05","0.64","0.54","0.77","0.79","!","!","!","!","!","0.24","0.46","0.11","-0.16","-0.24","-0.07"
"Nottingham","-0.35","-0.50","-0.19","0.10","-0.06","0.26","!","1.36","!","-0.06","-0.30","0.17","-0.49","-0.60","-0.39","-0.52","-0.67","-0.37"
"Nottinghamshire","-0.04","-0.17","0.10","0.36","0.26","0.47","!","!","0.74","0.08","-0.12","0.22","-0.20","-0.43","0.06","-0.04","-0.17","0.09"
"Oldham","-0.34","-0.58","-0.09","0.07","-0.16","0.31","1.05","!","!","0.16","0.28","0.01","-0.45","-0.50","-0.42","-0.49","-0.73","-0.24"
"Oxfordshire","0.01","-0.15","0.18","0.32","0.14","0.55","0.91","0.54","1.12","0.37","0.23","0.59","-0.05","-0.09","-0.01","-0.02","-0.19","0.15"
"Peterborough","-0.03","-0.17","0.12","0.20","0.12","0.28","0.55","0.79","0.41","0.49","0.27","0.80","-0.01","-0.29","0.27","-0.10","-0.27","0.06"
"Plymouth","-0.14","-0.30","0.03","0.73","0.81","0.65","1.43","1.82","0.90","0.55","0.26","1.09","0.02","-0.42","0.31","-0.16","-0.32","0.01"
"Poole","0.04","-0.13","0.23","0.87","0.49","1.47","!","!","N/A","0.49","!","!","0.25","0.12","0.39","0.01","-0.16","0.20"
"Portsmouth","-0.17","-0.34","0.02","0.53","0.17","0.78","0.50","0.36","0.69","0.87","0.80","0.96","0.41","0.21","0.57","-0.26","-0.42","-0.08"
"Reading","-0.11","-0.18","-0.03","0.38","0.45","0.34","0.87","0.94","0.79","0.09","0.06","0.11","-0.49","-0.41","-0.57","-0.25","-0.34","-0.12"
"Redbridge","0.28","0.11","0.47","0.43","0.28","0.60","0.82","0.62","1.16","0.21","-0.05","0.44","-0.01","-0.39","0.36","0.14","-0.03","0.31"
"Redcar and Cleveland","-0.30","-0.40","-0.18","0.08","-0.09","0.28","!","N/A","!","!","!","N/A","0.00","-0.26","0.21","-0.31","-0.42","-0.19"
"Richmond upon Thames","0.10","-0.07","0.24","0.42","0.21","0.62","0.96","0.73","1.30","-0.04","-0.31","0.25","-0.02","-0.33","0.28","0.08","-0.05","0.20"
"Rochdale","-0.08","-0.22","0.07","0.23","0.02","0.45","!","!","N/A","0.69","0.42","0.95","0.13","0.14","0.12","-0.22","-0.34","-0.10"
"Rotherham","0.04","-0.06","0.15","0.21","0.07","0.33","0.68","0.94","0.41","0.65","0.61","0.69","-0.19","-0.41","0.09","0.02","-0.08","0.13"
"Rutland","0.29","0.14","0.46","0.53","!","!","N/A","N/A","N/A","0.37","!","!","0.02","-0.33","0.23","0.29","0.14","0.47"
"Salford","-0.30","-0.39","-0.21","0.75","0.70","0.79","0.08","!","!","0.47","0.40","0.56","-0.08","-0.12","-0.04","-0.37","-0.48","-0.27"
"Sandwell","-0.29","-0.39","-0.16","0.20","0.05","0.37","1.11","!","!","-0.14","-0.24","-0.03","-0.39","-0.44","-0.31","-0.52","-0.63","-0.40"
"Sefton","-0.24","-0.39","-0.09","0.48","0.19","0.81","0.11","!","!","0.27","0.02","0.56","-0.07","-0.12","-0.02","-0.21","-0.38","-0.03"
"Sheffield","0.01","-0.14","0.16","0.26","0.08","0.47","0.82","0.20","1.26","0.27","0.16","0.38","-0.12","-0.44","0.19","-0.05","-0.18","0.09"
"Shropshire","-0.05","-0.19","0.10","0.45","!","!","0.85","0.85","0.85","0.16","!","!","0.03","-0.11","0.26","-0.05","-0.20","0.09"
"Slough","0.22","0.07","0.36","0.34","0.21","0.47","0.86","!","!","0.28","0.05","0.53","0.09","-0.14","0.36","-0.05","-0.16","0.06"
"Solihull","-0.09","-0.22","0.05","0.26","0.13","0.42","0.62","0.72","0.47","-0.10","-0.41","0.15","-0.21","-0.24","-0.18","-0.12","-0.25","0.03"
"Somerset","0.03","-0.11","0.17","0.64","0.51","0.79","0.39","!","!","-0.01","-0.38","0.36","0.17","0.09","0.23","0.02","-0.12","0.16"
"South Gloucestershire","-0.23","-0.31","-0.15","0.36","0.19","0.64","0.61","!","!","-0.20","-0.24","-0.12","-0.14","-0.03","-0.29","-0.25","-0.33","-0.16"
"South Tyneside","-0.16","-0.30","-0.02","0.24","-0.23","0.65","N/A","N/A","N/A","-0.18","!","!","-0.32","-0.29","-0.39","-0.17","-0.30","-0.05"
"Southampton","-0.12","-0.25","0.01","0.67","0.56","0.76","0.78","0.78","0.77","0.59","0.61","0.57","-0.09","-0.20","-0.01","-0.23","-0.37","-0.10"
"Southend-on-Sea","-0.01","-0.06","0.05","0.46","0.44","0.48","0.61","0.50","0.74","0.38","0.31","0.44","-0.12","-0.21","-0.04","-0.07","-0.14","-0.01"
"Southwark","0.22","0.15","0.30","0.53","0.34","0.67","0.77","0.67","0.94","0.34","0.23","0.43","0.03","-0.03","0.11","-0.01","-0.09","0.06"
"St. Helens","-0.33","-0.45","-0.20","0.66","0.75","0.60","0.60","!","!","-0.08","!","!","-0.09","-0.55","0.31","-0.33","-0.46","-0.19"
"Staffordshire","-0.10","-0.26","0.07","0.26","0.13","0.41","1.27","0.82","1.59","0.20","-0.20","0.41","-0.06","-0.25","0.11","-0.11","-0.27","0.05"
"Stockport","0.02","-0.11","0.14","0.32","0.10","0.54","0.79","0.53","0.96","0.36","0.19","0.70","0.16","-0.06","0.45","-0.01","-0.14","0.11"
"Stockton-on-Tees","-0.17","-0.31","0.00","0.34","0.00","0.66","!","!","!","!","0.47","!","-0.27","-0.25","-0.30","-0.20","-0.33","-0.05"
"Stoke-on-Trent","-0.08","-0.20","0.04","0.25","0.11","0.41","0.43","!","!","0.10","-0.02","0.23","0.02","-0.09","0.14","-0.15","-0.27","-0.03"
"Suffolk","0.02","-0.09","0.13","0.70","0.67","0.73","0.67","!","!","0.35","0.13","0.51","0.07","-0.11","0.21","0.00","-0.11","0.12"
"Sunderland","-0.17","-0.27","-0.08","0.48","0.39","0.54","0.98","N/A","0.98","0.22","-0.37","0.55","0.09","-0.56","0.60","-0.20","-0.28","-0.12"
"Surrey","0.14","-0.01","0.29","0.57","0.42","0.73","0.76","0.55","1.06","0.32","0.12","0.57","0.20","0.07","0.34","0.10","-0.04","0.25"
"Sutton","0.17","0.00","0.34","0.62","0.48","0.75","0.64","0.56","0.73","0.27","0.09","0.45","0.15","-0.08","0.39","0.00","-0.15","0.16"
"Swindon","-0.17","-0.32","-0.02","0.48","0.48","0.47","0.18","!","!","0.19","0.08","0.30","-0.09","-0.26","0.08","-0.24","-0.40","-0.08"
"Tameside","-0.13","-0.22","-0.04","0.42","0.13","0.71","0.62","0.78","0.49","0.64","0.64","0.64","-0.07","-0.43","0.38","-0.22","-0.28","-0.16"
"Telford and Wrekin","-0.15","-0.29","0.03","0.04","-0.09","0.31","0.45","-0.01","0.90","0.34","0.31","0.36","-0.08","-0.21","0.06","-0.17","-0.32","0.00"
"Thurrock","-0.01","-0.15","0.12","0.49","0.41","0.56","0.78","!","!","0.48","0.44","0.50","0.29","0.15","0.45","-0.11","-0.26","0.04"
"Torbay","-0.09","-0.19","0.03","0.73","0.67","0.78","0.54","!","!","0.40","0.75","0.06","0.27","0.40","0.16","-0.02","-0.13","0.11"
"Tower Hamlets","0.15","0.04","0.26","0.31","0.21","0.41","0.99","0.99","1.00","0.17","0.08","0.26","-0.45","-0.48","-0.41","-0.43","-0.54","-0.30"
"Trafford","0.05","-0.07","0.17","0.23","0.10","0.38","0.51","0.36","0.67","0.08","-0.07","0.22","0.05","0.00","0.10","0.01","-0.12","0.13"
"Wakefield","0.06","-0.09","0.23","0.48","0.08","0.82","!","!","!","0.31","0.34","0.24","0.12","-0.16","0.33","0.04","-0.10","0.20"
