"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","14","361","318","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","58","1534","1392","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","173","4547","4069","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","241","6311","6064","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","52","1358","1196","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","24","621","533","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","13","352","302","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","252","6608","6235","1368","1296"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","774","16157","14018","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","78","1620","1292","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","211","4413","3949","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","131","2731","2647","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","38","800","575","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","44","924","734","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","26","548","424","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","216","4510","3902","1089","982"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","973","1346624","1292419","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","23727","21418","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","17011","14714","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","418","578324","552280","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","219","302718","294705","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","7","10173","8031","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","4950","4321","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","789","759","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","43","59489","55663","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","10580","10596","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","3235","2901","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","18","24294","21648","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","14040","12898","72146","72371"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","215","297294","292485","72146","72371"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","941","1486423","1410439","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","25681","22672","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","21","32902","28963","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","391","617586","584462","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","210","331719","319671","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","9","14754","11484","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5138","4450","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","986","930","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","41","65550","60461","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","7","10597","10648","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","3","3971","3537","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","20","30888","26893","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","15729","14279","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","209","330923","321989","82367","81636"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","785","85390","75623","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","606","517","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","51","5546","4934","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","252","27360","23958","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","174","18933","17147","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","23","2450","1857","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","31","3394","2736","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","4","385","364","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","26","2854","2321","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","7","754","609","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","208","22589","20775","5668","5215"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","789","39722","37051","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","159","7986","7355","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","177","8905","8164","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","132","6666","6295","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","26","1285","1096","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","44","2227","1987","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","34","1724","1515","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","10","495","393","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","193","9694","9548","2625","2560"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","836","20912","19102","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","15","381","327","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","54","1359","1219","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","170","4257","3802","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","238","5943","5687","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","49","1218","1054","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","28","689","565","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","241","6015","5622","1304","1228"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","764","16620","14651","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","76","1660","1366","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","226","4921","4392","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","140","3043","2897","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","28","603","472","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","36","779","635","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","23","511","392","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","201","4364","3906","1134","1034"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","964","1322790","1263227","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","23982","21276","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","16232","13987","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","417","571879","543933","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","216","297016","287555","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","7","9975","7768","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","4875","4247","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","843","811","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","42","57916","54033","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","7","9802","9888","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","3243","2905","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","18","25072","22072","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","13948","12833","71580","71551"
"Average trips per year by mode of transport","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","210","288006","281919","71580","71551"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","932","1457458","1377572","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","17","25947","22751","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","20","31138","27558","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","387","605005","571430","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","208","325730","311800","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","9","14606","11418","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","3","5043","4374","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","970","911","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","41","64637","59163","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","7","10324","10106","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","3","4067","3612","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","20","30760","26819","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","10","15672","14167","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","207","323559","313463","81557","80608"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","775","84748","74540","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","6","627","523","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","50","5491","4735","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","248","27114","23813","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","169","18526","16731","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","23","2470","1873","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","30","3236","2617","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","3","357","340","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","26","2801","2289","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","7","757","631","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","209","22816","20562","5699","5217"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","779","38086","35716","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","138","6740","6452","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","183","8939","8161","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","129","6307","5976","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","24","1179","1069","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","47","2282","1979","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","34","1684","1488","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","10","482","404","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","197","9651","9407","2550","2517"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","847","20813","19103","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","17","425","376","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","49","1216","1066","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","177","4344","3888","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","241","5927","5594","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","51","1256","1104","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","27","665","546","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","244","6009","5770","1282","1215"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","734","15836","14023","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
