"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","272","1800","1588","5450","4980","28482","24685"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1318","16598","13338","5450","4980","137727","112560"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","429","17693","16656","5450","4980","44828","39446"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1397","15598","14061","5450","4980","146010","129996"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","309","7673","6920","5450","4980","32247","27938"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","21","1934","1882","5450","4980","2175","2001"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","379","9268","8202","5450","4980","39575","34272"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","456","14438","11876","5450","4980","47705","39446"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4489","38282","35503","2475","2396","213078","194278"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","329","1239","1123","2475","2396","15597","15011"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1133","6429","5513","2475","2396","53772","46996"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","497","7665","7962","2475","2396","23592","23133"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1222","7702","7188","2475","2396","57988","54193"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","245","2929","2859","2475","2396","11648","10792"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","15","520","506","2475","2396","690","702"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","619","5414","4902","2475","2396","29367","26168"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","430","6384","5450","2475","2396","20424","17284"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","4940","22763","20669","1369","1285","129669","115470"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","243","376","334","1369","1285","6367","5897"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","850","2988","2415","1369","1285","22318","19019"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","360","4301","4214","1369","1285","9456","9076"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2255","6114","5570","1369","1285","59179","53282"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","471","2630","2462","1369","1285","12352","11435"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","29","883","913","1369","1285","772","771"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","339","2215","2022","1369","1285","8898","7527"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","393","3257","2739","1369","1285","10328","8463"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4420","16535","14381","1110","1014","94101","82283"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","364","530","472","1110","1014","7747","7277"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","929","2895","2300","1110","1014","19773","15947"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","392","2775","2619","1110","1014","8353","7312"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1577","3486","3135","1110","1014","33561","30226"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","297","1217","1124","1110","1014","6318","5606"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","35","713","593","1110","1014","743","626"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","347","1677","1451","1110","1014","7387","6641"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","480","3241","2687","1110","1014","10221","8648"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","7029","1375661","1317501","72660","72885","9794847","9403474"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","612","42989","41743","72660","72885","852744","839400"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1338","208500","184671","72660","72885","1864957","1663583"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","304","142318","140800","72660","72885","423073","408839"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2846","371634","369290","72660","72885","3965826","3966021"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","513","131085","124444","72660","72885","714242","676149"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","63515","65811","72660","72885","66205","67553"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","495","138107","133714","72660","72885","689797","659441"
"Average distance per year by trip purpose","2008-2012","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","874","277512","257028","72660","72885","1218002","1122488"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6666","1513551","1442650","82923","82444","10602114","10120133"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","571","46654","44961","82923","82444","907586","887742"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1304","233135","204166","82923","82444","2074059","1836367"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","322","176359","174640","82923","82444","512894","490922"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2661","397816","393437","82923","82444","4231617","4209614"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","482","142078","134853","82923","82444","766608","723986"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","45","66679","68966","82923","82444","70841","72141"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","478","151949","146370","82923","82444","760919","724876"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","803","298881","275257","82923","82444","1277590","1174485"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4547","87485","77766","5646","5216","492407","425906"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","274","1869","1686","5646","5216","29667","26567"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1328","16828","13761","5646","5216","143837","119248"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","406","17850","17142","5646","5216","43950","39612"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1380","15970","14515","5646","5216","149472","133166"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","317","8146","7338","5646","5216","34312","29556"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","20","2223","2192","5646","5216","2112","2017"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","383","9567","8611","5646","5216","41500","36155"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","439","15032","12521","5646","5216","47557","39585"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4386","39794","36917","2617","2530","220162","198310"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","266","1166","1074","2617","2530","13326","12559"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1098","6536","5520","2617","2530","55132","47105"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","534","8682","9032","2617","2530","26826","26124"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1177","7702","7156","2617","2530","59086","54526"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","251","2981","2881","2617","2530","12601","11523"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","12","490","497","2617","2530","626","651"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","626","5787","5245","2617","2530","31419","27772"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","421","6450","5512","2617","2530","21146","18049"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","4831","22474","20713","1368","1296","126772","112757"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","273","451","419","1368","1296","7166","6959"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","794","2753","2273","1368","1296","20821","18147"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","415","4548","4501","1368","1296","10890","10387"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2131","5810","5349","1368","1296","55922","49102"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","483","2560","2399","1368","1296","12663","11651"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","31","922","950","1368","1296","801","805"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","327","2201","2049","1368","1296","8581","7450"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","378","3229","2773","1368","1296","9928","8254"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4579","16157","14018","1089","982","95596","83206"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","355","556","470","1089","982","7414","6949"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","968","2821","2258","1089","982","20209","16329"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","403","2616","2453","1089","982","8406","7073"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1696","3444","3105","1089","982","35399","31740"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","297","1316","1267","1089","982","6203","5588"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","33","676","554","1089","982","688","589"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","359","1572","1361","1089","982","7486","6690"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","469","3157","2550","1089","982","9792","8249"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","6981","1346624","1292419","72146","72371","9659907","9293979"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","614","42553","41266","72146","72371","848987","834051"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1324","204024","180208","72146","72371","1832109","1633805"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","305","142537","141407","72146","72371","422488","407438"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2840","364688","363141","72146","72371","3929752","3939294"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","506","126976","120894","72146","72371","700231","665162"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","62345","64751","72146","72371","66555","68017"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","485","132669","128992","72146","72371","671028","646194"
"Average distance per year by trip purpose","2009-2013","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","859","270832","251760","72146","72371","1188757","1100018"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6622","1486423","1410439","82367","81636","10460669","9932835"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","591","46917","44898","82367","81636","934131","901943"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1310","231858","201545","82367","81636","2069052","1819316"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","330","176511","173788","82367","81636","520909","497049"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2603","388454","383694","82367","81636","4111403","4079689"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","475","139032","130581","82367","81636","750927","702583"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","44","64958","66837","82367","81636","69136","70015"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","481","147575","141277","82367","81636","759797","717945"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","788","291118","267819","82367","81636","1245314","1144294"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4473","85390","75623","5668","5215","486273","418635"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","257","1791","1598","5668","5215","27957","24689"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1369","16961","13858","5668","5215","148799","122936"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","398","17008","16224","5668","5215","43228","38447"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1356","15742","14226","5668","5215","147462","131182"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","292","7593","6786","5668","5215","31746","27127"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","19","2215","2163","5668","5215","2088","1974"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","353","9519","8574","5668","5215","38400","33434"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","429","14562","12194","5668","5215","46594","38845"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4447","39722","37051","2625","2560","223914","203664"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","275","1164","1096","2625","2560","13855","13108"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1105","6519","5512","2625","2560","55635","48030"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","530","9003","9406","2625","2560","26680","26195"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1189","7384","6865","2625","2560","59866","55588"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","251","2999","2912","2625","2560","12646","11737"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","12","545","555","2625","2560","585","622"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","677","5783","5301","2625","2560","34110","30758"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","408","6324","5404","2625","2560","20536","17626"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","4804","20912","19102","1304","1228","120137","105782"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","278","461","408","1304","1228","6948","6547"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","865","2692","2191","1304","1228","21630","18442"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","378","4157","4096","1304","1228","9446","8997"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2022","5371","4941","1304","1228","50551","44298"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","473","2432","2304","1304","1228","11837","10959"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","30","799","775","1304","1228","748","735"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","387","2048","1870","1304","1228","9678","8114"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","372","2952","2517","1304","1228","9298","7690"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4527","16620","14651","1134","1034","98476","87417"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","340","612","519","1134","1034","7393","6978"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","944","2834","2319","1134","1034","20539","17084"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","403","2807","2666","1134","1034","8775","7812"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1640","3335","3098","1134","1034","35668","32564"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","316","1391","1353","1134","1034","6871","6303"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","24","577","532","1134","1034","523","480"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","385","1648","1396","1134","1034","8380","7414"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","475","3417","2768","1134","1034","10327","8781"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","6939","1322790","1263227","71580","71551","9525659","9112339"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","639","42848","41246","71580","71551","877335","850264"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1327","202706","177550","71580","71551","1821232","1611775"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","315","143418","141300","71580","71551","432497","415373"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2779","356405","354374","71580","71551","3815537","3813964"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","501","124534","117169","71580","71551","687463","646181"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","47","60785","62778","71580","71551","65150","66165"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","487","128407","124010","71580","71551","668271","637568"
"Average distance per year by trip purpose","2010-2014","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","844","263686","244800","71580","71551","1158173","1071050"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","6613","1457458","1377572","81557","80608","10344717","9787491"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Business","601","47193","45024","81557","80608","940026","900759"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Commuting","1301","227530","197986","81557","80608","2035463","1790983"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","330","175066","171508","81557","80608","516516","493116"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Leisure","2623","380808","374641","81557","80608","4103097","4053975"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other escort","464","135218","125280","81557","80608","726079","669450"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","44","64876","66589","81557","80608","69373","70144"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Personal business","472","143232","136487","81557","80608","738979","695735"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Shopping","777","283536","260057","81557","80608","1215184","1113327"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Purposes","4460","84748","74540","5699","5217","487472","420688"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Business","246","1928","1651","5699","5217","26902","23385"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Commuting","1371","17093","14006","5699","5217","149821","124347"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Education / escort education","376","16916","16088","5699","5217","41104","37048"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Leisure","1362","15223","13769","5699","5217","148880","133248"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other escort","290","7368","6418","5699","5217","31718","26918"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other including just walk","21","2200","2101","5699","5217","2267","2061"
