"ethnicity","Local authority","%"
"Mixed","York","88"
"White","Barking and Dagenham","79"
"White","Barnet","87"
"White","Barnsley","80"
"White","Bath and North East Somerset","86"
"White","Bedford","81"
"White","Bexley","85"
"White","Birmingham","77"
"White","Blackburn with Darwen","80"
"White","Blackpool","81"
"White","Bolton","80"
"White","Bournemouth","84"
"White","Bracknell Forest","83"
"White","Bradford","78"
"White","Brent","81"
"White","Brighton and Hove","87"
"White","Bristol, City of","82"
"White","Bromley","88"
"White","Buckinghamshire","86"
"White","Bury","83"
"White","Calderdale","81"
"White","Cambridgeshire","82"
"White","Camden","86"
"White","Central Bedfordshire","84"
"White","Cheshire East","83"
"White","Cheshire West and Chester","83"
"White","City of London","!"
"White","Cornwall","85"
"White","County Durham","84"
"White","Coventry","78"
"White","Croydon","86"
"White","Cumbria","84"
"White","Darlington","82"
"White","Derby","78"
"White","Derbyshire","85"
"White","Devon","84"
"White","Doncaster","81"
"White","Dorset","84"
"White","Dudley","81"
"White","Ealing","87"
"White","East Riding of Yorkshire","86"
"White","East Sussex","86"
"White","Enfield","75"
"White","Essex","83"
"White","Gateshead","83"
"White","Gloucestershire","84"
"White","Greenwich","82"
"White","Hackney","85"
"White","Halton","76"
"White","Hammersmith and Fulham","87"
"White","Hampshire","89"
"White","Haringey","84"
"White","Harrow","83"
"White","Hartlepool","81"
"White","Havering","86"
"White","Herefordshire, County of","85"
"White","Hertfordshire","86"
"White","Hillingdon","82"
"White","Hounslow","86"
"White","Isle of Wight","81"
"White","Isles of Scilly","!"
"White","Islington","81"
"White","Kensington and Chelsea","90"
"White","Kent","86"
"White","Kingston upon Hull, City of","81"
"White","Kingston upon Thames","88"
"White","Kirklees","80"
"White","Knowsley","79"
"White","Lambeth","87"
"White","Lancashire","83"
"White","Leeds","78"
"White","Leicester","75"
"White","Leicestershire","83"
"White","Lewisham","90"
"White","Lincolnshire","82"
"White","Liverpool","75"
"White","Luton","77"
"White","Manchester","79"
"White","Medway","82"
"White","Merton","87"
"White","Middlesbrough","77"
"White","Milton Keynes","83"
"White","Newcastle upon Tyne","82"
"White","Newham","80"
"White","Norfolk","84"
"White","North East Lincolnshire","82"
"White","North Lincolnshire","83"
"White","North Somerset","89"
"White","North Tyneside","84"
"White","North Yorkshire","84"
"White","Northamptonshire","82"
"White","Northumberland","86"
"White","Nottingham","75"
"White","Nottinghamshire","83"
"White","Oldham","80"
"White","Oxfordshire","86"
"White","Peterborough","78"
"White","Plymouth","81"
"White","Poole","86"
"White","Portsmouth","84"
"White","Reading","80"
"White","Redbridge","80"
"White","Redcar and Cleveland","84"
"White","Richmond upon Thames","92"
"White","Rochdale","79"
"White","Rotherham","81"
"White","Rutland","88"
"White","Salford","83"
"White","Sandwell","77"
"White","Sefton","84"
"White","Sheffield","82"
"White","Shropshire","85"
"White","Slough","78"
"White","Solihull","84"
"White","Somerset","87"
"White","South Gloucestershire","88"
"White","South Tyneside","80"
"White","Southampton","79"
"White","Southend-on-Sea","86"
"White","Southwark","85"
"White","St. Helens","78"
"White","Staffordshire","85"
"White","Stockport","86"
"White","Stockton-on-Tees","86"
"White","Stoke-on-Trent","78"
"White","Suffolk","82"
"White","Sunderland","83"
"White","Surrey","87"
"White","Sutton","84"
"White","Swindon","84"
"White","Tameside","81"
"White","Telford and Wrekin","84"
"White","Thurrock","77"
"White","Torbay","81"
"White","Tower Hamlets","81"
"White","Trafford","89"
"White","Wakefield","80"
"White","Walsall","76"
"White","Waltham Forest","86"
"White","Wandsworth","91"
"White","Warrington","87"
"White","Warwickshire","84"
"White","West Berkshire","87"
"White","West Sussex","80"
"White","Westminster","88"
"White","Wigan","83"
"White","Wiltshire","83"
"White","Windsor and Maidenhead","89"
"White","Wirral","82"
"White","Wokingham","92"
"White","Wolverhampton","79"
"White","Worcestershire","85"
"White","York","87"
