"Title","Mathematics attainments for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"Yorkshire and The Humber","Doncaster","E08000017","Asian","ONS 5","Boys","All/Boys/Girls","68","67"
"South West","Dorset","E10000009","Asian","ONS 5","Boys","All/Boys/Girls","65","60"
"West Midlands","Dudley","E08000027","Asian","ONS 5","Boys","All/Boys/Girls","70","72"
"London","Ealing","E09000009","Asian","ONS 5","Boys","All/Boys/Girls","73","76"
"Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","East Sussex","E10000011","Asian","ONS 5","Boys","All/Boys/Girls","84","85"
"London","Enfield","E09000010","Asian","ONS 5","Boys","All/Boys/Girls","85","85"
"East","Essex","E10000012","Asian","ONS 5","Boys","All/Boys/Girls","79","85"
"North East","Gateshead","E08000037","Asian","ONS 5","Boys","All/Boys/Girls","73","72"
"South West","Gloucestershire","E10000013","Asian","ONS 5","Boys","All/Boys/Girls","74","81"
"London","Greenwich","E09000011","Asian","ONS 5","Boys","All/Boys/Girls","87","90"
"London","Hackney","E09000012","Asian","ONS 5","Boys","All/Boys/Girls","85","85"
"North West","Halton","E06000006","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Hammersmith and Fulham","E09000013","Asian","ONS 5","Boys","All/Boys/Girls","78","80"
"South East","Hampshire","E10000014","Asian","ONS 5","Boys","All/Boys/Girls","80","81"
"London","Haringey","E09000014","Asian","ONS 5","Boys","All/Boys/Girls","80","90"
"London","Harrow","E09000015","Asian","ONS 5","Boys","All/Boys/Girls","83","88"
"North East","Hartlepool","E06000001","Asian","ONS 5","Boys","All/Boys/Girls","74","67"
"London","Havering","E09000016","Asian","ONS 5","Boys","All/Boys/Girls","82","91"
"West Midlands","Herefordshire, County of","E06000019","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"East","Hertfordshire","E10000015","Asian","ONS 5","Boys","All/Boys/Girls","77","82"
"London","Hillingdon","E09000017","Asian","ONS 5","Boys","All/Boys/Girls","77","85"
"London","Hounslow","E09000018","Asian","ONS 5","Boys","All/Boys/Girls","84","87"
"South East","Isle of Wight","E06000046","Asian","ONS 5","Boys","All/Boys/Girls","!","100"
"South West","Isles of Scilly","E06000053","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Islington","E09000019","Asian","ONS 5","Boys","All/Boys/Girls","70","72"
"London","Kensington and Chelsea","E09000020","Asian","ONS 5","Boys","All/Boys/Girls","80","86"
"South East","Kent","E10000016","Asian","ONS 5","Boys","All/Boys/Girls","84","82"
"Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Asian","ONS 5","Boys","All/Boys/Girls","88","68"
"London","Kingston upon Thames","E09000021","Asian","ONS 5","Boys","All/Boys/Girls","80","74"
"Yorkshire and The Humber","Kirklees","E08000034","Asian","ONS 5","Boys","All/Boys/Girls","67","69"
"North West","Knowsley","E08000011","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Lambeth","E09000022","Asian","ONS 5","Boys","All/Boys/Girls","68","83"
"North West","Lancashire","E10000017","Asian","ONS 5","Boys","All/Boys/Girls","71","69"
"Yorkshire and The Humber","Leeds","E08000035","Asian","ONS 5","Boys","All/Boys/Girls","65","63"
"East Midlands","Leicester","E06000016","Asian","ONS 5","Boys","All/Boys/Girls","72","74"
"East Midlands","Leicestershire","E10000018","Asian","ONS 5","Boys","All/Boys/Girls","81","75"
"London","Lewisham","E09000023","Asian","ONS 5","Boys","All/Boys/Girls","84","78"
"East Midlands","Lincolnshire","E10000019","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Liverpool","E08000012","Asian","ONS 5","Boys","All/Boys/Girls","69","71"
"East","Luton","E06000032","Asian","ONS 5","Boys","All/Boys/Girls","68","72"
"North West","Manchester","E08000003","Asian","ONS 5","Boys","All/Boys/Girls","68","74"
"South East","Medway","E06000035","Asian","ONS 5","Boys","All/Boys/Girls","88","75"
"London","Merton","E09000024","Asian","ONS 5","Boys","All/Boys/Girls","79","78"
"North East","Middlesbrough","E06000002","Asian","ONS 5","Boys","All/Boys/Girls","63","67"
"South East","Milton Keynes","E06000042","Asian","ONS 5","Boys","All/Boys/Girls","77","81"
"North East","Newcastle upon Tyne","E08000021","Asian","ONS 5","Boys","All/Boys/Girls","71","76"
"London","Newham","E09000025","Asian","ONS 5","Boys","All/Boys/Girls","82","85"
"East","Norfolk","E10000020","Asian","ONS 5","Boys","All/Boys/Girls","77","89"
"Yorkshire and The Humber","North East Lincolnshire","E06000012","Asian","ONS 5","Boys","All/Boys/Girls","100","!"
"Yorkshire and The Humber","North Lincolnshire","E06000013","Asian","ONS 5","Boys","All/Boys/Girls","76","92"
"South West","North Somerset","E06000024","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"North East","North Tyneside","E08000022","Asian","ONS 5","Boys","All/Boys/Girls","76","76"
"Yorkshire and The Humber","North Yorkshire","E10000023","Asian","ONS 5","Boys","All/Boys/Girls","72","79"
"East Midlands","Northamptonshire","E10000021","Asian","ONS 5","Boys","All/Boys/Girls","76","77"
"North East","Northumberland","E06000057","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"East Midlands","Nottingham","E06000018","Asian","ONS 5","Boys","All/Boys/Girls","71","75"
"East Midlands","Nottinghamshire","E10000024","Asian","ONS 5","Boys","All/Boys/Girls","70","69"
"North West","Oldham","E08000004","Asian","ONS 5","Boys","All/Boys/Girls","59","64"
"South East","Oxfordshire","E10000025","Asian","ONS 5","Boys","All/Boys/Girls","63","62"
"East","Peterborough","E06000031","Asian","ONS 5","Boys","All/Boys/Girls","64","70"
"South West","Plymouth","E06000026","Asian","ONS 5","Boys","All/Boys/Girls","!","100"
"South West","Poole","E06000029","Asian","ONS 5","Boys","All/Boys/Girls","82","86"
"South East","Portsmouth","E06000044","Asian","ONS 5","Boys","All/Boys/Girls","69","76"
"South East","Reading","E06000038","Asian","ONS 5","Boys","All/Boys/Girls","70","76"
"London","Redbridge","E09000026","Asian","ONS 5","Boys","All/Boys/Girls","81","81"
"North East","Redcar and Cleveland","E06000003","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Richmond upon Thames","E09000027","Asian","ONS 5","Boys","All/Boys/Girls","77","80"
"North West","Rochdale","E08000005","Asian","ONS 5","Boys","All/Boys/Girls","68","68"
"Yorkshire and The Humber","Rotherham","E08000018","Asian","ONS 5","Boys","All/Boys/Girls","66","77"
"East Midlands","Rutland","E06000017","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"North West","Salford","E08000006","Asian","ONS 5","Boys","All/Boys/Girls","70","71"
"West Midlands","Sandwell","E08000028","Asian","ONS 5","Boys","All/Boys/Girls","71","74"
"North West","Sefton","E08000014","Asian","ONS 5","Boys","All/Boys/Girls","73","75"
"Yorkshire and The Humber","Sheffield","E08000019","Asian","ONS 5","Boys","All/Boys/Girls","66","72"
"West Midlands","Shropshire","E06000051","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"South East","Slough","E06000039","Asian","ONS 5","Boys","All/Boys/Girls","81","81"
"West Midlands","Solihull","E08000029","Asian","ONS 5","Boys","All/Boys/Girls","79","77"
"South West","Somerset","E10000027","Asian","ONS 5","Boys","All/Boys/Girls","60","83"
"South West","South Gloucestershire","E06000025","Asian","ONS 5","Boys","All/Boys/Girls","85","75"
"North East","South Tyneside","E08000023","Asian","ONS 5","Boys","All/Boys/Girls","90","83"
"South East","Southampton","E06000045","Asian","ONS 5","Boys","All/Boys/Girls","73","80"
"East","Southend-on-Sea","E06000033","Asian","ONS 5","Boys","All/Boys/Girls","71","86"
"London","Southwark","E09000028","Asian","ONS 5","Boys","All/Boys/Girls","82","82"
"North West","St. Helens","E08000013","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Staffordshire","E10000028","Asian","ONS 5","Boys","All/Boys/Girls","76","75"
"North West","Stockport","E08000007","Asian","ONS 5","Boys","All/Boys/Girls","75","74"
"North East","Stockton-on-Tees","E06000004","Asian","ONS 5","Boys","All/Boys/Girls","70","83"
"West Midlands","Stoke-on-Trent","E06000021","Asian","ONS 5","Boys","All/Boys/Girls","63","76"
"East","Suffolk","E10000029","Asian","ONS 5","Boys","All/Boys/Girls","79","66"
"North East","Sunderland","E08000024","Asian","ONS 5","Boys","All/Boys/Girls","68","79"
"South East","Surrey","E10000030","Asian","ONS 5","Boys","All/Boys/Girls","80","79"
"London","Sutton","E09000029","Asian","ONS 5","Boys","All/Boys/Girls","86","87"
"South West","Swindon","E06000030","Asian","ONS 5","Boys","All/Boys/Girls","76","79"
"North West","Tameside","E08000008","Asian","ONS 5","Boys","All/Boys/Girls","67","62"
"West Midlands","Telford and Wrekin","E06000020","Asian","ONS 5","Boys","All/Boys/Girls","65","76"
"East","Thurrock","E06000034","Asian","ONS 5","Boys","All/Boys/Girls","75","84"
"South West","Torbay","E06000027","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Tower Hamlets","E09000030","Asian","ONS 5","Boys","All/Boys/Girls","74","77"
"North West","Trafford","E08000009","Asian","ONS 5","Boys","All/Boys/Girls","73","82"
"Yorkshire and The Humber","Wakefield","E08000036","Asian","ONS 5","Boys","All/Boys/Girls","60","75"
"West Midlands","Walsall","E08000030","Asian","ONS 5","Boys","All/Boys/Girls","71","76"
"London","Waltham Forest","E09000031","Asian","ONS 5","Boys","All/Boys/Girls","82","82"
"London","Wandsworth","E09000032","Asian","ONS 5","Boys","All/Boys/Girls","80","85"
"North West","Warrington","E06000007","Asian","ONS 5","Boys","All/Boys/Girls","75","74"
"West Midlands","Warwickshire","E10000031","Asian","ONS 5","Boys","All/Boys/Girls","80","83"
"South East","West Berkshire","E06000037","Asian","ONS 5","Boys","All/Boys/Girls","69","82"
"South East","West Sussex","E10000032","Asian","ONS 5","Boys","All/Boys/Girls","73","75"
"London","Westminster","E09000033","Asian","ONS 5","Boys","All/Boys/Girls","77","81"
