"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","All pupils","All pupils","36","3261","NA","NA","","32","1709","40","1552"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","All pupils","All pupils","42","5585","NA","NA","","37","2913","48","2672"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","26","2470","NA","NA","","18","1209","33","1261"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Worcestershire","Local Authority","E10000034","All pupils","All pupils","39","5565","NA","NA","","35","2818","43","2747"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Bedford","Local Authority","E06000055","All pupils","All pupils","31","1862","NA","NA","","26","942","37","920"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","41","5707","NA","NA","","36","2898","47","2809"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","36","2596","NA","NA","","30","1279","42","1317"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Essex","Local Authority","E10000012","All pupils","All pupils","38","14607","NA","NA","","33","7474","43","7133"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","46","12613","NA","NA","","42","6510","50","6103"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Luton","Local Authority","E06000032","All pupils","All pupils","33","2442","NA","NA","","35","1253","31","1189"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Norfolk","Local Authority","E10000020","All pupils","All pupils","36","8014","NA","NA","","30","4112","42","3902"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Peterborough","Local Authority","E06000031","All pupils","All pupils","38","2292","NA","NA","","31","1155","45","1137"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","42","2047","NA","NA","","38","1024","46","1023"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Suffolk","Local Authority","E10000029","All pupils","All pupils","30","7158","NA","NA","","27","3661","34","3497"
