"Title","Government-funded learners in further education by ethnicity"
"Location","England"
"Time period","2002/03 - 2015/16"
"Data source","Further education and skills "
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"Adult education students","2013/14","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","87090"
"Adult education students","2013/14","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","74580"
"Adult education students","2013/14","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3095990"
"Adult education students","2014/15","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","289230"
"Adult education students","2014/15","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","228440"
"Adult education students","2014/15","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","102010"
"Adult education students","2014/15","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","63300"
"Adult education students","2014/15","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","71980"
"Adult education students","2014/15","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2821900"
"Adult education students","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","271500"
"Adult education students","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","206750"
"Adult education students","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","95240"
"Adult education students","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","2559790"
"Adult education students","2015/16","Academic Year","Other Ethnic group","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","68330"
"Adult education students","2015/16","Academic Year","Unknown ethnicity","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","73290"
