"Measure","Measure name","year","level","country_code","country_name","school_type","characteristic_desc","characteristic_1","Ethnicity","characteristic_2","headcount","num_excl","Value"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_African","Black - African","Total","4075","215","5.3"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_Caribbean","Black - Caribbean","Total","1555","500","32.01"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Black_Total","Black","Total","6700","845","12.62"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Chinese","Chinese","Total","310","!","!"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Gypsy_Roma","White - Gypsy/Roma","Total","325","70","22.02"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Indian","Asian- Indian","Total","1745","35","1.95"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Irish","Irish","Total","275","50","17.88"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Minority_Ethnic_Groups","All ethnic minorities","Total","27345","2490","9.11"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_missing_unknown","Unknown","Total","1475","140","9.37"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Mixed_Total","Mixed","Total","5325","1070","20.14"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Pakistani","Asian - Pakistani","Total","4575","105","2.32"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_Traveller_of_Irish_heritage","White - Traveller of Irish Heritage","Total","110","45","38.39"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Asian","Mixed - White and Asian","Total","935","70","7.48"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Black_African","Mixed - White and Black African","Total","665","120","18.22"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_and_Black_Caribbean","Mixed - White and Black Caribbean","Total","1685","470","27.85"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_British","White British","Total","72895","10855","14.89"
"Fixed period exclusion","Fixed period exclusion","201516","National","E92000001","England","Special","Ethnicity","Ethnicity_White_Total","White","Total","76950","11140","14.47"
