"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"Mixed","Hampshire","30","350"
"Mixed","Haringey","32","253"
"Mixed","Harrow","28","163"
"Mixed","Hartlepool","!","8"
"Mixed","Havering","32","127"
"Mixed","Herefordshire, County of","28","25"
"Mixed","Hertfordshire","32","702"
"Mixed","Hillingdon","26","299"
"Mixed","Hounslow","43","224"
"Mixed","Isle of Wight","19","27"
"Mixed","Isles of Scilly","N/A","0"
"Mixed","Islington","23","158"
"Mixed","Kensington and Chelsea","38","113"
"Mixed","Kent","40","536"
"Mixed","Kingston upon Hull, City of","25","44"
"Mixed","Kingston upon Thames","58","115"
"Mixed","Kirklees","16","225"
"Mixed","Knowsley","24","21"
"Mixed","Lambeth","22","228"
"Mixed","Lancashire","23","277"
"Mixed","Leeds","22","335"
"Mixed","Leicester","19","210"
"Mixed","Leicestershire","21","246"
"Mixed","Lewisham","27","286"
"Mixed","Lincolnshire","40","134"
"Mixed","Liverpool","17","203"
"Mixed","Luton","14","192"
"Mixed","Manchester","16","344"
"Mixed","Medway","31","125"
"Mixed","Merton","30","155"
"Mixed","Middlesbrough","17","53"
"Mixed","Milton Keynes","25","187"
"Mixed","Newcastle upon Tyne","32","65"
"Mixed","Newham","23","199"
"Mixed","Norfolk","19","178"
"Mixed","North East Lincolnshire","24","38"
"Mixed","North Lincolnshire","16","19"
"Mixed","North Somerset","36","66"
"Mixed","North Tyneside","40","35"
"Mixed","North Yorkshire","32","124"
"Mixed","Northamptonshire","22","327"
"Mixed","Northumberland","17","36"
"Mixed","Nottingham","19","231"
"Mixed","Nottinghamshire","26","255"
"Mixed","Oldham","10","90"
"Mixed","Oxfordshire","22","288"
"Mixed","Peterborough","28","105"
"Mixed","Plymouth","33","43"
"Mixed","Poole","32","47"
"Mixed","Portsmouth","24","54"
"Mixed","Reading","18","98"
"Mixed","Redbridge","29","230"
"Mixed","Redcar and Cleveland","40","20"
"Mixed","Richmond upon Thames","44","135"
"Mixed","Rochdale","24","83"
"Mixed","Rotherham","19","58"
"Mixed","Rutland","44","9"
"Mixed","Salford","25","80"
"Mixed","Sandwell","11","223"
"Mixed","Sefton","22","60"
"Mixed","Sheffield","19","265"
"Mixed","Shropshire","25","53"
"Mixed","Slough","24","112"
"Mixed","Solihull","22","181"
"Mixed","Somerset","24","100"
"Mixed","South Gloucestershire","17","109"
"Mixed","South Tyneside","24","17"
"Mixed","Southampton","14","95"
"Mixed","Southend-on-Sea","37","91"
"Mixed","Southwark","35","255"
"Mixed","St. Helens","!","15"
"Mixed","Staffordshire","23","189"
"Mixed","Stockport","30","105"
"Mixed","Stockton-on-Tees","32","25"
"Mixed","Stoke-on-Trent","7","69"
"Mixed","Suffolk","20","305"
"Mixed","Sunderland","26","27"
"Mixed","Surrey","36","473"
"Mixed","Sutton","50","201"
"Mixed","Swindon","20","60"
"Mixed","Tameside","16","74"
"Mixed","Telford and Wrekin","30","70"
"Mixed","Thurrock","43","61"
"Mixed","Torbay","35","40"
"Mixed","Tower Hamlets","17","129"
"Mixed","Trafford","36","132"
"Mixed","Wakefield","20","64"
"Mixed","Walsall","19","155"
"Mixed","Waltham Forest","24","227"
"Mixed","Wandsworth","34","188"
"Mixed","Warrington","23","35"
"Mixed","Warwickshire","31","187"
"Mixed","West Berkshire","33","75"
"Mixed","West Sussex","26","258"
"Mixed","Westminster","34","130"
"Mixed","Wigan","26","66"
"Mixed","Wiltshire","34","115"
"Mixed","Windsor and Maidenhead","34","99"
"Mixed","Wirral","44","69"
"Mixed","Wokingham","26","89"
"Mixed","Wolverhampton","9","223"
"Mixed","Worcestershire","26","169"
"Mixed","York","42","33"
"White","All - England","24","421,440"
"White","Barking and Dagenham","19","1,051"
"White","Barnet","42","1,835"
"White","Barnsley","18","2,018"
"White","Bath and North East Somerset","34","1,863"
"White","Bedford","19","1,308"
"White","Bexley","24","2,183"
"White","Birmingham","24","4,492"
"White","Blackburn with Darwen","16","922"
"White","Blackpool","9","1,270"
"White","Bolton","16","2,354"
"White","Bournemouth","27","1,429"
"White","Bracknell Forest","22","946"
"White","Bradford","18","2,979"
"White","Brent","28","579"
"White","Brighton and Hove","25","1,802"
"White","Bristol, City of","18","2,316"
"White","Bromley","36","2,419"
"White","Buckinghamshire","37","4,220"
"White","Bury","26","1,636"
"White","Calderdale","26","2,021"
"White","Cambridgeshire","26","5,139"
"White","Camden","34","549"
"White","Central Bedfordshire","19","2,376"
"White","Cheshire East","27","3,509"
