"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","89,100","£","20",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","28,500","£","20",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Administrative officers and assistants","UK","UK","18,800","£","37,300",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Executive officer","UK","UK","25,200","£","23,260",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","35,100","£","410",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior and higher executive officer","UK","UK","33,600","£","20,480",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Senior Civil Service","UK","UK","81,600","£","1,150",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2016","Year","Unknown grade","UK","UK","30,200","£","7,530",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","19,700","£","149,550",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","25,400","£","110,770",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","33,800","£","98,850",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,500","£","41,370",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","81,500","£","5,100",""
