"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North East","Region","20,300","£","6,310",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","North West","Region","23,300","£","11,200",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Yorkshire and The Humber","Region","23,700","£","5,870",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East Midlands","Region","23,600","£","4,300",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","West Midlands","Region","23,300","£","5,870",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","East","Region","24,900","£","4,470",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","London","Region","32,900","£","19,520",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South East","Region","25,300","£","8,740",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","South West","Region","26,100","£","8,280",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Wales","Region","20,900","£","7,430",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Scotland","Region","23,000","£","12,050",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Northern Ireland","Region","20,100","£","770",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2017","Year","All grades","Unknown","Region","31,600","£","2,250",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","22,800","£","28,790",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","24,500","£","52,790",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","25,400","£","32,400",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","24,500","£","19,500",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","24,700","£","27,070",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","26,100","£","21,720",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","33,900","£","83,530",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","26,800","£","38,180",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","29,300","£","39,180",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","24,500","£","32,830",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","24,700","£","43,120",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","23,800","£","3,540",""
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","31,100","£","2,870",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","20,500","£","240",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","20,500","£","1,570",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","23,600","£","1,580",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","22,700","£","1,260",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","23,400","£","2,780",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","24,500","£","820",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","29,000","£","10,030",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","25,000","£","950",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","29,700","£","450",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","23,600","£","280",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","23,800","£","340",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","21,700","£","10",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","24,500","£","30",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","20,200","£","70",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","22,400","£","410",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","24,500","£","340",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","23,800","£","310",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","23,800","£","790",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","26,700","£","380",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","28,800","£","6,950",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","25,600","£","450",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","28,200","£","320",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","23,800","£","140",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","22,300","£","140",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","27,500","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","19,700","£","40",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","22,600","£","110",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","21,600","£","50",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","23,800","£","20",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","24,900","£","40",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","29,400","£","50",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","33,700","£","440",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","25,100","£","80",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","26,100","£","50",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","23,800","£","50",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","22,700","£","40",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","N/A","£","0",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","23,800","£","150",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","24,000","£","480",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","25,200","£","310",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","24,500","£","210",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","24,500","£","320",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","26,000","£","240",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","32,900","£","2,000",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","26,500","£","380",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","29,600","£","340",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","24,500","£","260",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","26,100","£","180",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","29,100","£","10",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","31,100","£","10",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","23,800","£","21,670",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","24,500","£","38,130",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","26,100","£","22,990",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","25,400","£","12,840",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","26,000","£","16,260",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","26,700","£","14,880",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","38,700","£","39,730",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","26,800","£","26,650",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","29,700","£","28,050",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","24,900","£","25,240",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","25,400","£","30,630",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","23,800","£","2,940",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","26,100","£","670",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","24,000","£","40",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","24,500","£","130",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","26,100","£","90",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","25,600","£","50",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","25,200","£","100",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","27,900","£","110",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","31,400","£","780",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","26,100","£","150",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","29,200","£","100",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","24,700","£","90",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","26,100","£","90",""
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","!","£","!","suppressed due to small headcount"
"Median gross annual salary of civil servants (in pounds)","Other","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","24,500","£","10",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North East","Region","20,400","£","6,580",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","North West","Region","22,300","£","11,960",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Yorkshire and The Humber","Region","24,500","£","7,050",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East Midlands","Region","22,300","£","4,810",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","West Midlands","Region","24,200","£","6,780",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","East","Region","25,700","£","5,250",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","London","Region","32,800","£","23,610",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South East","Region","25,900","£","9,520",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","South West","Region","26,100","£","9,870",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Wales","Region","22,000","£","6,780",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Scotland","Region","23,000","£","11,700",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Northern Ireland","Region","23,200","£","580",""
"Median gross annual salary of civil servants (in pounds)","Unknown","Asian, Black, Chinese, Mixed, White, Other","2018","Year","All grades","Unknown","Region","31,900","£","2,150",""
