"Ethnicity","Local authority","All","Boys","Girls"
"Chinese","Somerset","72.7","73.1","72.0"
"Chinese","South Gloucestershire","62.7","!","!"
"Chinese","Swindon","59.8","!","!"
"Chinese","Torbay","!","!","!"
"Chinese","Wiltshire","60.2","56.2","67.4"
"Chinese","All - England","63.0","61.0","65.1"
"Mixed","County Durham","50.0","43.5","58.3"
"Mixed","Darlington","!","!","!"
"Mixed","Gateshead","58.7","57.6","59.6"
"Mixed","Hartlepool","!","!","!"
"Mixed","Middlesbrough","!","!","!"
"Mixed","Newcastle upon Tyne","47.4","46.9","48.0"
"Mixed","North Tyneside","53.3","52.8","53.8"
"Mixed","Northumberland","50.6","57.6","46.4"
"Mixed","Redcar and Cleveland","50.2","49.5","50.9"
"Mixed","South Tyneside","47.2","!","!"
"Mixed","Stockton-on-Tees","!","!","!"
"Mixed","Sunderland","41.0","38.1","45.0"
"Mixed","Blackburn with Darwen","44.5","!","!"
"Mixed","Blackpool","40.0","!","!"
"Mixed","Bolton","43.3","!","!"
"Mixed","Bury","46.2","44.2","47.8"
"Mixed","Cheshire East","48.9","47.7","50.2"
"Mixed","Cheshire West and Chester","50.5","44.2","55.4"
"Mixed","Cumbria","53.7","51.1","56.3"
"Mixed","Halton","48.0","51.4","46.5"
"Mixed","Knowsley","40.5","39.8","41.6"
"Mixed","Lancashire","47.2","45.4","49.0"
"Mixed","Liverpool","46.3","43.6","48.3"
"Mixed","Manchester","42.8","38.5","46.6"
"Mixed","Oldham","41.7","40.3","43.2"
"Mixed","Rochdale","38.5","!","!"
"Mixed","Salford","44.6","41.9","47.1"
"Mixed","Sefton","45.8","40.9","50.0"
"Mixed","St. Helens","47.1","42.4","51.8"
"Mixed","Stockport","48.1","46.4","49.7"
"Mixed","Tameside","45.7","42.7","48.1"
"Mixed","Trafford","54.9","52.9","57.5"
"Mixed","Warrington","47.5","37.7","55.0"
"Mixed","Wigan","49.0","47.1","50.8"
"Mixed","Wirral","54.4","51.4","57.5"
"Mixed","Barnsley","48.5","47.1","49.5"
"Mixed","Bradford","40.3","36.2","43.8"
"Mixed","Calderdale","45.7","44.9","46.5"
"Mixed","Doncaster","43.0","40.4","45.9"
"Mixed","East Riding of Yorkshire","49.8","45.5","51.9"
"Mixed","Kingston upon Hull, City of","45.5","41.3","50.8"
"Mixed","Kirklees","39.3","35.9","42.6"
"Mixed","Leeds","43.9","41.8","46.3"
"Mixed","North East Lincolnshire","47.5","52.9","45.9"
"Mixed","North Lincolnshire","52.4","47.2","57.3"
"Mixed","North Yorkshire","51.8","47.3","56.0"
"Mixed","Rotherham","47.8","45.4","50.2"
"Mixed","Sheffield","41.7","39.1","44.4"
"Mixed","Wakefield","45.1","42.7","47.4"
"Mixed","York","49.4","47.2","53.6"
"Mixed","Derby","39.1","35.5","42.7"
"Mixed","Derbyshire","48.7","48.3","49.0"
"Mixed","Leicester","!","!","!"
"Mixed","Leicestershire","44.2","41.8","47.1"
"Mixed","Lincolnshire","50.7","44.5","57.8"
"Mixed","Northamptonshire","44.5","40.8","48.1"
"Mixed","Nottingham","39.1","36.7","41.4"
"Mixed","Nottinghamshire","49.2","44.8","53.5"
"Mixed","Rutland","!","!","!"
"Mixed","Birmingham","45.9","42.6","49.3"
"Mixed","Coventry","39.7","36.1","43.4"
"Mixed","Dudley","43.5","41.3","46.3"
"Mixed","Herefordshire, County of","!","!","!"
"Mixed","Sandwell","!","!","!"
"Mixed","Shropshire","46.9","!","!"
"Mixed","Solihull","45.3","42.7","47.9"
"Mixed","Staffordshire","43.3","40.2","46.9"
"Mixed","Stoke-on-Trent","42.9","39.8","45.6"
"Mixed","Telford and Wrekin","47.6","45.0","50.2"
"Mixed","Walsall","42.2","!","!"
"Mixed","Warwickshire","50.3","49.9","50.7"
"Mixed","Wolverhampton","40.0","36.2","43.9"
"Mixed","Worcestershire","45.7","43.8","47.4"
"Mixed","Bedford","40.4","37.7","43.4"
"Mixed","Cambridgeshire","50.1","48.4","52.1"
"Mixed","Central Bedfordshire","43.0","42.6","43.5"
"Mixed","Essex","48.7","47.2","50.1"
"Mixed","Hertfordshire","50.5","46.1","54.5"
"Mixed","Luton","39.6","39.0","40.4"
"Mixed","Norfolk","48.5","46.2","51.0"
"Mixed","Peterborough","41.0","36.5","45.3"
"Mixed","Southend-on-Sea","53.1","50.2","55.8"
"Mixed","Suffolk","43.6","40.1","47.8"
"Mixed","Thurrock","45.9","44.6","47.4"
"Mixed","Camden","49.3","!","!"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Hackney","48.2","46.6","49.2"
"Mixed","Hammersmith and Fulham","46.2","!","!"
"Mixed","Haringey","47.0","!","!"
"Mixed","Islington","44.8","!","!"
"Mixed","Kensington and Chelsea","54.5","!","!"
"Mixed","Lambeth","43.0","39.5","47.3"
"Mixed","Lewisham","45.8","43.9","48.1"
"Mixed","Newham","44.6","41.5","47.8"
"Mixed","Southwark","48.8","47.6","49.8"
"Mixed","Tower Hamlets","44.5","39.0","49.8"
"Mixed","Wandsworth","51.3","50.2","52.4"
"Mixed","Westminster","53.4","46.9","58.8"
"Mixed","Barking and Dagenham","45.6","!","!"
"Mixed","Barnet","54.9","51.1","58.8"
"Mixed","Bexley","50.6","49.4","51.4"
"Mixed","Brent","45.8","!","!"
"Mixed","Bromley","51.4","47.3","54.6"
"Mixed","Croydon","47.2","44.8","49.1"
"Mixed","Ealing","48.7","!","!"
"Mixed","Enfield","47.7","47.6","47.7"
"Mixed","Greenwich","45.7","44.2","47.3"
"Mixed","Harrow","49.0","48.5","49.6"
"Mixed","Havering","48.2","!","!"
"Mixed","Hillingdon","48.6","!","!"
"Mixed","Hounslow","48.3","45.2","52.0"
"Mixed","Kingston upon Thames","54.9","56.6","53.7"
"Mixed","Merton","51.7","47.1","56.2"
"Mixed","Redbridge","48.8","46.3","51.9"
"Mixed","Richmond upon Thames","54.0","50.5","57.9"
"Mixed","Sutton","58.7","57.5","59.8"
"Mixed","Waltham Forest","44.2","42.6","46.2"
"Mixed","Bracknell Forest","42.9","39.7","45.4"
"Mixed","Brighton and Hove","46.3","43.7","48.7"
"Mixed","Buckinghamshire","52.7","49.1","56.6"
"Mixed","East Sussex","46.8","41.0","53.0"
"Mixed","Hampshire","48.2","45.5","50.9"
"Mixed","Isle of Wight","45.7","47.1","44.2"
"Mixed","Kent","51.1","46.8","55.3"
"Mixed","Medway","48.4","44.5","52.8"
"Mixed","Milton Keynes","44.3","42.7","46.5"
"Mixed","Oxfordshire","46.2","43.3","49.7"
"Mixed","Portsmouth","46.8","43.3","50.4"
"Mixed","Reading","46.6","42.0","51.2"
"Mixed","Slough","50.1","49.4","50.7"
"Mixed","Southampton","47.3","43.4","50.5"
"Mixed","Surrey","51.8","50.1","53.7"
"Mixed","West Berkshire","47.9","40.8","54.0"
"Mixed","West Sussex","48.8","46.1","52.2"
"Mixed","Windsor and Maidenhead","45.2","43.8","45.9"
"Mixed","Wokingham","49.7","49.7","49.7"
"Mixed","Bath and North East Somerset","44.5","39.4","47.4"
"Mixed","Bournemouth","48.6","49.3","47.4"
"Mixed","Bristol, City of","44.8","40.3","48.3"
"Mixed","Cornwall","48.2","43.8","51.8"
"Mixed","Devon","51.5","49.1","53.7"
"Mixed","Dorset","46.7","42.5","51.7"
"Mixed","Gloucestershire","48.4","45.4","51.3"
"Mixed","Isles of Scilly","!","!","!"
"Mixed","North Somerset","50.8","50.0","51.9"
"Mixed","Plymouth","44.6","37.3","51.9"
"Mixed","Poole","55.8","54.0","57.4"
"Mixed","Somerset","47.8","45.1","51.5"
"Mixed","South Gloucestershire","42.8","39.0","46.6"
"Mixed","Swindon","44.8","40.9","48.0"
"Mixed","Torbay","!","!","!"
"Mixed","Wiltshire","52.9","51.7","54.3"
"Mixed","All - England","47.1","44.4","49.9"
"White","County Durham","44.8","42.5","47.3"
"White","Darlington","45.2","42.9","47.4"
"White","Gateshead","46.3","43.6","49.2"
"White","Hartlepool","43.7","40.6","47.0"
"White","Middlesbrough","42.5","40.0","45.4"
"White","Newcastle upon Tyne","42.6","40.9","44.4"
"White","North Tyneside","46.8","43.6","50.2"
"White","Northumberland","44.6","41.6","47.7"
"White","Redcar and Cleveland","44.1","40.4","47.6"
"White","South Tyneside","43.0","40.4","45.8"
"White","Stockton-on-Tees","45.4","42.9","47.9"
"White","Sunderland","43.5","41.5","45.8"
"White","Blackburn with Darwen","43.3","41.5","44.9"
"White","Blackpool","38.6","35.8","41.0"
"White","Bolton","42.5","39.4","45.6"
"White","Bury","46.0","43.2","48.9"
"White","Cheshire East","48.8","46.4","51.2"
"White","Cheshire West and Chester","46.4","44.1","49.0"
"White","Cumbria","46.3","43.7","48.8"
"White","Halton","44.8","41.3","48.1"
"White","Knowsley","37.5","35.5","39.7"
"White","Lancashire","45.4","42.5","48.5"
"White","Liverpool","43.5","40.9","46.1"
"White","Manchester","40.5","37.0","44.1"
"White","Oldham","43.4","40.9","46.0"
"White","Rochdale","42.3","39.9","44.8"
"White","Salford","41.2","37.7","44.7"
"White","Sefton","45.5","43.4","47.8"
"White","St. Helens","44.4","42.2","46.5"
"White","Stockport","47.9","45.4","50.4"
"White","Tameside","44.2","42.1","46.3"
"White","Trafford","54.8","52.1","57.5"
"White","Warrington","47.0","44.4","49.7"
"White","Wigan","46.1","43.1","49.2"
"White","Wirral","47.7","45.1","50.3"
"White","Barnsley","43.9","41.7","46.3"
"White","Bradford","42.0","39.8","44.2"
"White","Calderdale","48.1","46.3","50.0"
"White","Doncaster","43.2","41.2","45.1"
"White","East Riding of Yorkshire","47.0","44.9","49.2"
"White","Kingston upon Hull, City of","42.5","40.2","45.2"
"White","Kirklees","46.0","43.2","48.9"
"White","Leeds","46.1","44.2","48.1"
"White","North East Lincolnshire","44.1","42.1","46.2"
"White","North Lincolnshire","44.5","41.7","47.3"
"White","North Yorkshire","49.4","46.5","52.4"
"White","Rotherham","44.9","42.6","47.3"
"White","Sheffield","44.6","42.5","46.9"
"White","Wakefield","45.4","43.3","47.5"
"White","York","49.0","46.0","52.2"
"White","Derby","42.0","39.5","44.8"
"White","Derbyshire","45.5","43.0","48.1"
"White","Leicester","38.1","35.1","41.4"
"White","Leicestershire","44.9","42.5","47.4"
"White","Lincolnshire","46.0","43.8","48.4"
"White","Northamptonshire","44.3","42.3","46.3"
"White","Nottingham","38.5","36.2","41.1"
"White","Nottinghamshire","47.6","45.1","50.1"
"White","Rutland","52.1","51.4","52.9"
"White","Birmingham","45.6","42.6","48.4"
"White","Coventry","41.2","38.1","44.3"
"White","Dudley","43.9","42.1","45.9"
"White","Herefordshire, County of","45.4","42.8","48.0"
"White","Sandwell","41.6","40.0","43.1"
"White","Shropshire","46.3","43.8","48.9"
"White","Solihull","46.8","44.4","49.2"
"White","Staffordshire","44.8","41.9","47.9"
"White","Stoke-on-Trent","43.0","39.5","46.4"
"White","Telford and Wrekin","46.0","43.8","48.4"
"White","Walsall","41.9","39.8","43.9"
"White","Warwickshire","48.5","45.8","51.3"
"White","Wolverhampton","43.0","37.5","48.2"
"White","Worcestershire","46.4","43.7","49.1"
"White","Bedford","46.8","43.9","49.5"
"White","Cambridgeshire","47.6","44.7","50.6"
"White","Central Bedfordshire","45.5","42.5","48.9"
"White","Essex","46.0","43.1","48.8"
"White","Hertfordshire","49.2","46.4","52.1"
"White","Luton","41.4","39.2","43.6"
"White","Norfolk","44.8","42.4","47.3"
"White","Peterborough","41.6","39.1","44.1"
"White","Southend-on-Sea","48.7","46.9","50.6"
"White","Suffolk","44.7","42.4","47.0"
"White","Thurrock","43.2","40.7","45.7"
"White","Camden","49.7","46.2","52.2"
"White","City of London","N/A","N/A","N/A"
"White","Hackney","52.2","48.9","55.1"
"White","Hammersmith and Fulham","56.6","53.7","59.0"
"White","Haringey","48.6","47.7","49.7"
"White","Islington","44.7","43.6","46.0"
"White","Kensington and Chelsea","56.9","58.6","53.9"
"White","Lambeth","47.6","45.3","50.8"
"White","Lewisham","45.2","42.1","48.8"
"White","Newham","43.2","39.8","46.5"
"White","Southwark","52.2","52.3","52.2"
"White","Tower Hamlets","40.7","38.9","42.6"
"White","Wandsworth","52.9","51.1","55.4"
"White","Westminster","56.2","46.3","62.0"
"White","Barking and Dagenham","43.3","40.9","46.1"
"White","Barnet","53.9","50.8","57.2"
"White","Bexley","45.8","43.8","48.0"
"White","Brent","46.7","43.7","49.5"
"White","Bromley","50.3","47.6","52.8"
"White","Croydon","45.6","41.7","49.0"
"White","Ealing","50.0","47.5","52.7"
"White","Enfield","45.2","43.0","47.7"
"White","Greenwich","44.6","41.7","48.0"
"White","Harrow","47.6","43.2","51.7"
"White","Havering","46.5","44.9","48.3"
"White","Hillingdon","44.4","41.1","48.0"
"White","Hounslow","47.9","46.8","49.0"
"White","Kingston upon Thames","53.0","50.9","54.9"
"White","Merton","50.5","47.7","53.4"
"White","Redbridge","46.9","44.1","50.0"
"White","Richmond upon Thames","53.4","50.0","56.6"
"White","Sutton","51.4","49.9","53.0"
"White","Waltham Forest","46.0","42.6","49.4"
"White","Bracknell Forest","46.2","44.0","48.4"
"White","Brighton and Hove","46.6","43.8","49.8"
"White","Buckinghamshire","52.8","49.9","55.8"
"White","East Sussex","45.1","42.8","47.7"
"White","Hampshire","46.8","44.0","49.8"
"White","Isle of Wight","39.9","37.4","42.8"
"White","Kent","45.4","42.9","48.0"
"White","Medway","44.4","42.8","46.1"
"White","Milton Keynes","44.3","41.7","47.0"
"White","Oxfordshire","47.7","44.9","50.5"
"White","Portsmouth","41.0","38.0","44.4"
"White","Reading","48.9","48.2","49.8"
"White","Slough","47.7","42.7","52.6"
"White","Southampton","43.1","40.7","45.4"
"White","Surrey","49.5","47.1","52.1"
"White","West Berkshire","48.0","45.2","51.1"
"White","West Sussex","46.7","43.8","49.8"
"White","Windsor and Maidenhead","49.9","47.9","51.7"
"White","Wokingham","51.7","48.6","54.9"
"White","Bath and North East Somerset","47.7","43.5","52.0"
"White","Bournemouth","47.7","45.2","50.4"
"White","Bristol, City of","44.3","40.5","48.2"
"White","Cornwall","45.7","43.3","48.3"
"White","Devon","46.4","43.7","49.3"
"White","Dorset","45.1","42.4","48.0"
"White","Gloucestershire","48.3","45.6","51.2"
"White","Isles of Scilly","44.8","36.4","51.5"
"White","North Somerset","45.8","43.1","48.5"
"White","Plymouth","44.3","42.0","46.7"
"White","Poole","51.2","48.5","54.0"
"White","Somerset","45.6","42.9","48.3"
"White","South Gloucestershire","43.6","40.8","46.5"
"White","Swindon","42.6","39.6","45.7"
"White","Torbay","49.7","47.5","52.0"
"White","Wiltshire","46.7","44.2","49.2"
"White","All - England","46.0","43.4","48.7"
