"Title","Maths attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"Chinese","Leeds","91"
"Chinese","Leicester","!"
"Chinese","Leicestershire","!"
"Chinese","Lewisham","93"
"Chinese","Lincolnshire","!"
"Chinese","Liverpool","92"
"Chinese","Luton","!"
"Chinese","Manchester","89"
"Chinese","Medway","!"
"Chinese","Merton","100"
"Chinese","Middlesbrough","N/A"
"Chinese","Milton Keynes","!"
"Chinese","Newcastle upon Tyne","!"
"Chinese","Newham","100"
"Chinese","Norfolk","88"
"Chinese","North East Lincolnshire","!"
"Chinese","North Lincolnshire","!"
"Chinese","North Somerset","100"
"Chinese","North Tyneside","!"
"Chinese","North Yorkshire","!"
"Chinese","Northamptonshire","88"
"Chinese","Northumberland","100"
"Chinese","Nottingham","!"
"Chinese","Nottinghamshire","!"
"Chinese","Oldham","!"
"Chinese","Oxfordshire","77"
"Chinese","Peterborough","100"
"Chinese","Plymouth","75"
"Chinese","Poole","!"
"Chinese","Portsmouth","67"
"Chinese","Reading","!"
"Chinese","Redbridge","!"
"Chinese","Redcar and Cleveland","!"
"Chinese","Richmond upon Thames","!"
"Chinese","Rochdale","!"
"Chinese","Rotherham","100"
"Chinese","Rutland","!"
"Chinese","Salford","!"
"Chinese","Sandwell","!"
"Chinese","Sefton","63"
"Chinese","Sheffield","!"
"Chinese","Shropshire","100"
"Chinese","Slough","!"
"Chinese","Solihull","!"
"Chinese","Somerset","!"
"Chinese","South Gloucestershire","!"
"Chinese","South Tyneside","!"
"Chinese","Southampton","100"
"Chinese","Southend-on-Sea","!"
"Chinese","Southwark","!"
"Chinese","St. Helens","!"
"Chinese","Staffordshire","87"
"Chinese","Stockport","81"
"Chinese","Stockton-on-Tees","!"
"Chinese","Stoke-on-Trent","!"
"Chinese","Suffolk","!"
"Chinese","Sunderland","100"
"Chinese","Surrey","92"
"Chinese","Sutton","88"
"Chinese","Swindon","!"
"Chinese","Tameside","70"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","!"
"Chinese","Torbay","!"
"Chinese","Tower Hamlets","!"
"Chinese","Trafford","!"
"Chinese","Wakefield","!"
"Chinese","Walsall","100"
"Chinese","Waltham Forest","!"
"Chinese","Wandsworth","!"
"Chinese","Warrington","100"
"Chinese","Warwickshire","!"
"Chinese","West Berkshire","!"
"Chinese","West Sussex","86"
"Chinese","Westminster","100"
"Chinese","Wigan","!"
"Chinese","Wiltshire","!"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wirral","!"
"Chinese","Wokingham","!"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","100"
"Chinese","York","!"
"Mixed","Barking and Dagenham","78"
"Mixed","Barnet","79"
"Mixed","Barnsley","76"
"Mixed","Bath and North East Somerset","68"
"Mixed","Bedford","70"
"Mixed","Bexley","75"
"Mixed","Birmingham","67"
"Mixed","Blackburn with Darwen","79"
"Mixed","Blackpool","86"
"Mixed","Bolton","72"
"Mixed","Bournemouth","81"
"Mixed","Bracknell Forest","73"
"Mixed","Bradford","68"
"Mixed","Brent","75"
"Mixed","Brighton and Hove","78"
"Mixed","Bristol, City of","67"
"Mixed","Bromley","85"
"Mixed","Buckinghamshire","69"
"Mixed","Bury","74"
"Mixed","Calderdale","78"
"Mixed","Cambridgeshire","76"
"Mixed","Camden","79"
"Mixed","Central Bedfordshire","72"
"Mixed","Cheshire East","70"
"Mixed","Cheshire West and Chester","73"
"Mixed","City of London","!"
"Mixed","Cornwall","77"
"Mixed","County Durham","91"
"Mixed","Coventry","71"
"Mixed","Croydon","76"
"Mixed","Cumbria","84"
"Mixed","Darlington","82"
"Mixed","Derby","73"
"Mixed","Derbyshire","73"
"Mixed","Devon","70"
"Mixed","Doncaster","77"
"Mixed","Dorset","75"
"Mixed","Dudley","72"
"Mixed","Ealing","78"
"Mixed","East Riding of Yorkshire","80"
"Mixed","East Sussex","71"
"Mixed","Enfield","79"
"Mixed","Essex","77"
"Mixed","Gateshead","87"
"Mixed","Gloucestershire","74"
"Mixed","Greenwich","82"
"Mixed","Hackney","84"
"Mixed","Halton","74"
"Mixed","Hammersmith and Fulham","86"
"Mixed","Hampshire","78"
"Mixed","Haringey","78"
"Mixed","Harrow","82"
"Mixed","Hartlepool","!"
"Mixed","Havering","84"
"Mixed","Herefordshire, County of","68"
"Mixed","Hertfordshire","76"
"Mixed","Hillingdon","81"
"Mixed","Hounslow","81"
"Mixed","Isle of Wight","73"
"Mixed","Isles of Scilly","N/A"
"Mixed","Islington","78"
"Mixed","Kensington and Chelsea","90"
"Mixed","Kent","78"
"Mixed","Kingston upon Hull, City of","86"
"Mixed","Kingston upon Thames","84"
"Mixed","Kirklees","64"
"Mixed","Knowsley","64"
"Mixed","Lambeth","82"
"Mixed","Lancashire","74"
"Mixed","Leeds","66"
"Mixed","Leicester","74"
"Mixed","Leicestershire","74"
"Mixed","Lewisham","74"
"Mixed","Lincolnshire","78"
"Mixed","Liverpool","76"
"Mixed","Luton","77"
"Mixed","Manchester","71"
"Mixed","Medway","73"
"Mixed","Merton","79"
"Mixed","Middlesbrough","68"
"Mixed","Milton Keynes","75"
"Mixed","Newcastle upon Tyne","82"
"Mixed","Newham","84"
"Mixed","Norfolk","67"
"Mixed","North East Lincolnshire","78"
"Mixed","North Lincolnshire","83"
"Mixed","North Somerset","74"
"Mixed","North Tyneside","84"
"Mixed","North Yorkshire","72"
"Mixed","Northamptonshire","72"
"Mixed","Northumberland","80"
"Mixed","Nottingham","76"
"Mixed","Nottinghamshire","73"
"Mixed","Oldham","76"
"Mixed","Oxfordshire","77"
"Mixed","Peterborough","67"
"Mixed","Plymouth","77"
"Mixed","Poole","75"
"Mixed","Portsmouth","83"
"Mixed","Reading","64"
"Mixed","Redbridge","80"
"Mixed","Redcar and Cleveland","83"
"Mixed","Richmond upon Thames","86"
"Mixed","Rochdale","77"
"Mixed","Rotherham","82"
"Mixed","Rutland","!"
"Mixed","Salford","69"
"Mixed","Sandwell","72"
"Mixed","Sefton","75"
"Mixed","Sheffield","68"
"Mixed","Shropshire","82"
"Mixed","Slough","75"
"Mixed","Solihull","71"
"Mixed","Somerset","71"
"Mixed","South Gloucestershire","68"
"Mixed","South Tyneside","88"
"Mixed","Southampton","76"
"Mixed","Southend-on-Sea","86"
"Mixed","Southwark","77"
"Mixed","St. Helens","72"
"Mixed","Staffordshire","77"
"Mixed","Stockport","80"
"Mixed","Stockton-on-Tees","87"
"Mixed","Stoke-on-Trent","75"
"Mixed","Suffolk","71"
"Mixed","Sunderland","80"
"Mixed","Surrey","81"
"Mixed","Sutton","83"
"Mixed","Swindon","75"
"Mixed","Tameside","72"
"Mixed","Telford and Wrekin","72"
"Mixed","Thurrock","72"
"Mixed","Torbay","70"
"Mixed","Tower Hamlets","74"
"Mixed","Trafford","81"
"Mixed","Wakefield","73"
"Mixed","Walsall","65"
"Mixed","Waltham Forest","77"
"Mixed","Wandsworth","75"
"Mixed","Warrington","86"
"Mixed","Warwickshire","75"
"Mixed","West Berkshire","71"
"Mixed","West Sussex","74"
"Mixed","Westminster","83"
"Mixed","Wigan","83"
"Mixed","Wiltshire","71"
"Mixed","Windsor and Maidenhead","75"
"Mixed","Wirral","84"
"Mixed","Wokingham","79"
"Mixed","Wolverhampton","72"
"Mixed","Worcestershire","74"
"Mixed","York","77"
"White","Barking and Dagenham","78"
"White","Barnet","84"
"White","Barnsley","75"
"White","Bath and North East Somerset","76"
"White","Bedford","68"
"White","Bexley","74"
"White","Birmingham","71"
"White","Blackburn with Darwen","74"
"White","Blackpool","77"
"White","Bolton","76"
"White","Bournemouth","75"
"White","Bracknell Forest","69"
"White","Bradford","70"
"White","Brent","81"
"White","Brighton and Hove","75"
"White","Bristol, City of","75"
"White","Bromley","85"
"White","Buckinghamshire","76"
"White","Bury","79"
"White","Calderdale","74"
"White","Cambridgeshire","72"
"White","Camden","83"
"White","Central Bedfordshire","73"
"White","Cheshire East","77"
"White","Cheshire West and Chester","73"
"White","City of London","!"
"White","Cornwall","71"
"White","County Durham","78"
"White","Coventry","70"
"White","Croydon","79"
"White","Cumbria","73"
