"Measure","Year","Ethnicity","Ethnicity_type","Type of offence","Type of sentence","Numerator","Denominator","Value ","Value_Type","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Fine","237","1490","15.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Immediate custody","475","1490","31.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Otherwise dealt with","34","1490","2.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Theft Offences","Suspended sentence","190","1490","12.8%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Community sentence","130","652","19.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Conditional discharge","15","652","2.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Fine","32","652","4.9%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Immediate custody","302","652","46.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Otherwise dealt with","15","652","2.3%","%","","","","","","",""
"Sentences","2017","Mixed","ONS 2001 5+1","Violence against the person","Suspended sentence","158","652","24.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Absolute discharge","1","15","6.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Community sentence","4","15","26.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Compensation","1","15","6.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Conditional discharge","2","15","13.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Immediate custody","2","15","13.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Otherwise dealt with","2","15","13.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Criminal damage and arson","Suspended sentence","3","15","20.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Absolute discharge","2","454","0.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Community sentence","60","454","13.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Conditional discharge","48","454","10.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Fine","170","454","37.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Immediate custody","123","454","27.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Otherwise dealt with","15","454","3.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Drug offences","Suspended sentence","36","454","7.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Fraud Offences","Community sentence","25","99","25.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Fraud Offences","Conditional discharge","5","99","5.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Fraud Offences","Fine","10","99","10.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Fraud Offences","Immediate custody","34","99","34.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Fraud Offences","Suspended sentence","25","99","25.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Absolute discharge","2","332","0.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Community sentence","36","332","10.8%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Compensation","1","332","0.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Conditional discharge","9","332","2.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Fine","36","332","10.8%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Immediate custody","144","332","43.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Otherwise dealt with","24","332","7.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Miscellaneous crimes against society","Suspended sentence","80","332","24.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Community sentence","41","150","27.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Conditional discharge","2","150","1.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Fine","8","150","5.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Immediate custody","54","150","36.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Otherwise dealt with","2","150","1.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Possession of weapons","Suspended sentence","43","150","28.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Community sentence","33","127","26.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Conditional discharge","6","127","4.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Fine","26","127","20.5%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Immediate custody","37","127","29.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Otherwise dealt with","7","127","5.5%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Public order offences","Suspended sentence","18","127","14.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Robbery","Community sentence","14","43","32.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Robbery","Immediate custody","25","43","58.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Robbery","Otherwise dealt with","2","43","4.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Robbery","Suspended sentence","2","43","4.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Community sentence","24","107","22.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Compensation","2","107","1.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Conditional discharge","2","107","1.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Fine","1","107","0.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Immediate custody","59","107","55.1%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Otherwise dealt with","1","107","0.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Sexual offences","Suspended sentence","18","107","16.8%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Absolute discharge","1","657","0.2%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Community sentence","140","657","21.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Compensation","10","657","1.5%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Conditional discharge","108","657","16.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Fine","122","657","18.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Immediate custody","195","657","29.7%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Otherwise dealt with","16","657","2.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Theft Offences","Suspended sentence","65","657","9.9%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Absolute discharge","1","236","0.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Community sentence","55","236","23.3%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Compensation","1","236","0.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Conditional discharge","9","236","3.8%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Fine","8","236","3.4%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Immediate custody","103","236","43.6%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Otherwise dealt with","7","236","3.0%","%","","","","","","",""
"Sentences","2017","Other inc Chinese","ONS 2001 5+1","Violence against the person","Suspended sentence","52","236","22.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Absolute discharge","8","1361","0.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Community sentence","362","1361","26.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Compensation","29","1361","2.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Conditional discharge","137","1361","10.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Fine","98","1361","7.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Immediate custody","454","1361","33.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Otherwise dealt with","65","1361","4.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Criminal damage and arson","Suspended sentence","208","1361","15.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Absolute discharge","119","19336","0.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Community sentence","2444","19336","12.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Conditional discharge","2527","19336","13.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Fine","6963","19336","36.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Immediate custody","3957","19336","20.5%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Otherwise dealt with","818","19336","4.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Drug offences","Suspended sentence","2508","19336","13.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Absolute discharge","2","3422","0.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Community sentence","816","3422","23.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Compensation","53","3422","1.5%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Conditional discharge","338","3422","9.9%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Fine","315","3422","9.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Immediate custody","988","3422","28.9%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Otherwise dealt with","47","3422","1.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Fraud Offences","Suspended sentence","863","3422","25.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Absolute discharge","88","15700","0.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Community sentence","2469","15700","15.7%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Compensation","16","15700","0.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Conditional discharge","593","15700","3.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Fine","2921","15700","18.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Immediate custody","4770","15700","30.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Otherwise dealt with","1190","15700","7.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Miscellaneous crimes against society","Suspended sentence","3653","15700","23.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Absolute discharge","4","7270","0.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Community sentence","1948","7270","26.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Conditional discharge","169","7270","2.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Fine","480","7270","6.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Immediate custody","2498","7270","34.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Otherwise dealt with","96","7270","1.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Possession of weapons","Suspended sentence","2075","7270","28.5%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Absolute discharge","57","11192","0.5%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Community sentence","2606","11192","23.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Compensation","16","11192","0.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Conditional discharge","624","11192","5.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Fine","2064","11192","18.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Immediate custody","3388","11192","30.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Otherwise dealt with","404","11192","3.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Public order offences","Suspended sentence","2033","11192","18.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Absolute discharge","1","2225","0.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Community sentence","286","2225","12.9%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Conditional discharge","5","2225","0.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Fine","1","2225","0.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Immediate custody","1760","2225","79.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Otherwise dealt with","48","2225","2.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Robbery","Suspended sentence","124","2225","5.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Absolute discharge","9","4410","0.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Community sentence","796","4410","18.0%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Compensation","4","4410","0.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Conditional discharge","35","4410","0.8%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Fine","47","4410","1.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Immediate custody","2686","4410","60.9%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Otherwise dealt with","156","4410","3.5%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Sexual offences","Suspended sentence","677","4410","15.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Absolute discharge","218","54948","0.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Community sentence","12250","54948","22.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Compensation","1159","54948","2.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Conditional discharge","8307","54948","15.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Fine","7461","54948","13.6%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Immediate custody","17169","54948","31.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Otherwise dealt with","1200","54948","2.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Theft Offences","Suspended sentence","7184","54948","13.1%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Absolute discharge","34","18970","0.2%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Community sentence","3663","18970","19.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Compensation","57","18970","0.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Conditional discharge","704","18970","3.7%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Fine","1576","18970","8.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Immediate custody","7835","18970","41.3%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Otherwise dealt with","460","18970","2.4%","%","","","","","","",""
"Sentences","2017","White","ONS 2001 5+1","Violence against the person","Suspended sentence","4641","18970","24.5%","%","","","","","","",""
