"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Boys-Value","Girls-Value"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Merton","Local Authority","E09000024","All pupils","All pupils","42","37","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Redbridge","Local Authority","E09000026","All pupils","All pupils","43","38","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","57","50","63"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Sutton","Local Authority","E09000029","All pupils","All pupils","56","50","62"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","39","29","50"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","38","32","44"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","39","36","42"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","44","40","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","East Sussex","Local Authority","E10000011","All pupils","All pupils","35","30","39"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Hampshire","Local Authority","E10000014","All pupils","All pupils","41","36","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","28","23","35"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Kent","Local Authority","E10000016","All pupils","All pupils","43","38","49"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Medway","Local Authority","E06000035","All pupils","All pupils","37","35","39"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","44","39","49"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","38","30","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Portsmouth","Local Authority","E06000044","All pupils","All pupils","38","37","39"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Reading","Local Authority","E06000038","All pupils","All pupils","37","35","40"
