"Title","EBacc entry by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","49","3,222"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","29","2,018"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","31","2,979"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Calderdale","Local Authority","E08000033","All pupils","All pupils","36","2,021"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Doncaster","Local Authority","E08000017","All pupils","All pupils","27","2,808"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","37","3,222"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","42","2,028"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Kirklees","Local Authority","E08000034","All pupils","All pupils","36","3,029"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","Leeds","Local Authority","E08000035","All pupils","All pupils","41","5,700"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","35","1,486"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","33","1,751"
