"DATE","DURATION","REGION","ETHNICITY","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","Confidence Interval","Supress?"
"Jan12-Dec12","0-3 months","Scotland","White","64000","204100","434","31.4","6.9",""
"Jan12-Dec12","0-3 months","Scotland","Ethnic Minority","?","?","?","?","?","Supress"
"Jan12-Dec12","0-3 months","South East","All","96000","267400","398","35.9","4.7",""
"Jan12-Dec12","0-3 months","South East","White","82300","230000","338","35.8","8.1",""
"Jan12-Dec12","0-3 months","South East","Ethnic Minority","13600","37400","60","36.4","19.2",""
"Jan12-Dec12","0-3 months","South West","All","56700","156000","251","36.3","5.9",""
"Jan12-Dec12","0-3 months","South West","White","53300","146900","238","36.3","9.7",""
"Jan12-Dec12","0-3 months","South West","Ethnic Minority","?","?","?","?","?","Supress"
"Jan12-Dec12","0-3 months","Wales","All","37000","121000","348","30.6","4.8",""
"Jan12-Dec12","0-3 months","Wales","White","34200","113800","330","30.1","7.8",""
"Jan12-Dec12","0-3 months","Wales","Ethnic Minority","?","?","?","?","?","Supress"
"Jan12-Dec12","0-3 months","West Midlands","All","52400","235900","220","22.2","5.5",""
"Jan12-Dec12","0-3 months","West Midlands","White","41500","173800","178","23.9","9.9",""
"Jan12-Dec12","0-3 months","West Midlands","Ethnic Minority","10600","61800","41","17.2","18.3",""
"Jan12-Dec12","0-3 months","Yorkshire and The Humber","All","71600","244800","310","29.3","5.1",""
"Jan12-Dec12","0-3 months","Yorkshire and The Humber","White","60600","205800","276","29.4","8.5",""
"Jan12-Dec12","0-3 months","Yorkshire and The Humber","Ethnic Minority","11100","39000","34","28.4","23.9",""
"Jan13-Dec13","0-3 months","All","All","748000","2362600","3341","31.7","1.6",""
"Jan13-Dec13","0-3 months","All","White","591400","1867800","2806","31.7","2.7",""
"Jan13-Dec13","0-3 months","All","Ethnic Minority","156400","493300","534","31.7","6.2",""
"Jan13-Dec13","0-3 months","East Midlands","All","47700","169700","172","28.1","6.7",""
"Jan13-Dec13","0-3 months","East Midlands","White","38200","142000","132","26.9","12",""
"Jan13-Dec13","0-3 months","East Midlands","Ethnic Minority","9500","27700","40","34.5","23.3",""
"Jan13-Dec13","0-3 months","East of England","All","67000","188400","222","35.6","6.3",""
"Jan13-Dec13","0-3 months","East of England","White","55100","159900","177","34.5","11.1",""
"Jan13-Dec13","0-3 months","East of England","Ethnic Minority","11900","28300","45","42.2","22.8",""
"Jan13-Dec13","0-3 months","London","All","133300","390500","392","34.2","4.7",""
"Jan13-Dec13","0-3 months","London","White","66400","174600","196","38","10.7",""
"Jan13-Dec13","0-3 months","London","Ethnic Minority","66900","215000","196","31.1","10.2",""
"Jan13-Dec13","0-3 months","North East","All","33600","124400","237","27","5.7",""
"Jan13-Dec13","0-3 months","North East","White","31700","118300","228","26.8","9.1",""
"Jan13-Dec13","0-3 months","North East","Ethnic Minority","?","?","?","?","?","Supress"
"Jan13-Dec13","0-3 months","North West","All","79200","273700","394","28.9","4.5",""
"Jan13-Dec13","0-3 months","North West","White","68800","239700","348","28.7","7.5",""
"Jan13-Dec13","0-3 months","North West","Ethnic Minority","10400","34000","46","30.5","21",""
