"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Local authority","%"
"Mixed","Warwickshire","78"
"Mixed","Wolverhampton","74"
"Mixed","Worcestershire","73"
"Mixed","Bedford","65"
"Mixed","Cambridgeshire","77"
"Mixed","Central Bedfordshire","81"
"Mixed","Essex","78"
"Mixed","Hertfordshire","79"
"Mixed","Luton","67"
"Mixed","Norfolk","81"
"Mixed","Peterborough","76"
"Mixed","Southend-on-Sea","88"
"Mixed","Suffolk","75"
"Mixed","Thurrock","70"
"Mixed","Camden","77"
"Mixed","City of London","!"
"Mixed","Hackney","86"
"Mixed","Hammersmith and Fulham","73"
"Mixed","Haringey","88"
"Mixed","Islington","82"
"Mixed","Kensington and Chelsea","79"
"Mixed","Lambeth","81"
"Mixed","Lewisham","78"
"Mixed","Newham","83"
"Mixed","Southwark","76"
"Mixed","Tower Hamlets","82"
"Mixed","Wandsworth","79"
"Mixed","Westminster","82"
"Mixed","Barking and Dagenham","75"
"Mixed","Barnet","73"
"Mixed","Bexley","85"
"Mixed","Brent","78"
"Mixed","Bromley","83"
"Mixed","Croydon","80"
"Mixed","Ealing","73"
"Mixed","Enfield","80"
"Mixed","Greenwich","84"
"Mixed","Harrow","75"
"Mixed","Havering","85"
"Mixed","Hillingdon","76"
"Mixed","Hounslow","76"
"Mixed","Kingston upon Thames","78"
"Mixed","Merton","64"
"Mixed","Redbridge","78"
"Mixed","Richmond upon Thames","83"
"Mixed","Sutton","83"
"Mixed","Waltham Forest","81"
"Mixed","Bracknell Forest","86"
"Mixed","Brighton and Hove","77"
"Mixed","Buckinghamshire","71"
"Mixed","East Sussex","81"
"Mixed","Hampshire","81"
"Mixed","Isle of Wight","71"
"Mixed","Kent","85"
"Mixed","Medway","76"
"Mixed","Milton Keynes","78"
"Mixed","Oxfordshire","70"
"Mixed","Portsmouth","75"
"Mixed","Reading","73"
"Mixed","Slough","82"
"Mixed","Southampton","78"
"Mixed","Surrey","79"
"Mixed","West Berkshire","73"
"Mixed","West Sussex","70"
"Mixed","Windsor and Maidenhead","78"
"Mixed","Wokingham","68"
"Mixed","Bath and North East Somerset","71"
"Mixed","Bournemouth","77"
"Mixed","Bristol, City of","71"
"Mixed","Cornwall","70"
"Mixed","Devon","78"
"Mixed","Dorset","66"
"Mixed","Gloucestershire","77"
"Mixed","Isles of Scilly","!"
"Mixed","North Somerset","81"
"Mixed","Plymouth","82"
"Mixed","Poole","76"
"Mixed","Somerset","84"
"Mixed","South Gloucestershire","70"
"Mixed","Swindon","63"
"Mixed","Torbay","74"
"Mixed","Wiltshire","79"
"White","County Durham","78"
"White","Darlington","74"
"White","Gateshead","82"
"White","Hartlepool","76"
"White","Middlesbrough","68"
"White","Newcastle upon Tyne","78"
"White","North Tyneside","76"
"White","Northumberland","80"
"White","Redcar and Cleveland","79"
"White","South Tyneside","81"
"White","Stockton-on-Tees","76"
"White","Sunderland","80"
"White","Blackburn with Darwen","74"
"White","Blackpool","76"
"White","Bolton","75"
"White","Bury","74"
"White","Cheshire East","63"
"White","Cheshire West and Chester","69"
"White","Cumbria","70"
"White","Halton","66"
"White","Knowsley","67"
"White","Lancashire","77"
"White","Liverpool","63"
"White","Manchester","73"
"White","Oldham","68"
"White","Rochdale","74"
"White","Salford","80"
"White","Sefton","75"
"White","St. Helens","73"
"White","Stockport","76"
"White","Tameside","73"
"White","Trafford","81"
"White","Warrington","80"
"White","Wigan","78"
"White","Wirral","72"
"White","Barnsley","76"
"White","Bradford","70"
"White","Calderdale","60"
"White","Doncaster","73"
"White","East Riding of Yorkshire","76"
"White","Kingston upon Hull, City of","79"
"White","Kirklees","70"
"White","Leeds","67"
"White","North East Lincolnshire","79"
"White","North Lincolnshire","77"
"White","North Yorkshire","72"
"White","Rotherham","78"
"White","Sheffield","73"
"White","Wakefield","73"
"White","York","70"
"White","Derby","69"
"White","Derbyshire","75"
"White","Leicester","73"
"White","Leicestershire","74"
"White","Lincolnshire","73"
"White","Northamptonshire","72"
"White","Nottingham","70"
"White","Nottinghamshire","75"
"White","Rutland","73"
"White","Birmingham","68"
"White","Coventry","70"
"White","Dudley","73"
"White","Herefordshire, County of","74"
"White","Sandwell","71"
"White","Shropshire","68"
"White","Solihull","79"
"White","Staffordshire","74"
"White","Stoke-on-Trent","71"
"White","Telford and Wrekin","74"
"White","Walsall","75"
"White","Warwickshire","77"
"White","Wolverhampton","72"
"White","Worcestershire","69"
"White","Bedford","67"
"White","Cambridgeshire","71"
"White","Central Bedfordshire","76"
"White","Essex","76"
"White","Hertfordshire","79"
"White","Luton","69"
"White","Norfolk","76"
"White","Peterborough","71"
"White","Southend-on-Sea","78"
"White","Suffolk","70"
"White","Thurrock","74"
"White","Camden","77"
"White","City of London","100"
