"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Wandsworth,E09000032,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,381
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Westminster,E09000033,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,203
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barking and Dagenham,E09000002,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,560
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barnet,E09000003,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,475
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bexley,E09000004,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,200
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Brent,E09000005,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,979
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bromley,E09000006,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,89,%,141
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Croydon,E09000008,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,663
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Ealing,E09000009,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,"1,129"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Enfield,E09000010,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,326
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Greenwich,E09000011,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,90,%,255
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Harrow,E09000015,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,"1,261"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Havering,E09000016,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,92,%,157
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hillingdon,E09000017,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,864
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hounslow,E09000018,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,851
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kingston upon Thames,E09000021,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,285
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Merton,E09000024,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,457
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Redbridge,E09000026,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,"1,952"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Richmond upon Thames,E09000027,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,172
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Sutton,E09000029,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,92,%,334
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Waltham Forest,E09000031,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,845
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Bracknell Forest,E06000036,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,80
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Brighton and Hove,E06000043,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,84
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Buckinghamshire,E10000002,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,889
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,East Sussex,E10000011,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,74
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Hampshire,E10000014,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,393
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Isle of Wight,E06000046,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,56,%,9
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Kent,E10000016,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,89,%,597
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Medway,E06000035,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,126
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Milton Keynes,E06000042,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,370
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Oxfordshire,E10000025,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,62,%,386
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Portsmouth,E06000044,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,86,%,125
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Reading,E06000038,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,299
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Slough,E06000039,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,887
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Southampton,E06000045,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,270
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Surrey,E10000030,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,681
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Berkshire,E06000037,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,44
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Sussex,E10000032,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,386
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Windsor and Maidenhead,E06000040,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,178
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Wokingham,E06000041,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,240
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bath and North East Somerset,E06000022,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,27
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bournemouth,E06000028,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,"Bristol, City of",E06000023,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,320
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Cornwall,E06000052,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Devon,E10000008,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Dorset,E10000009,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,37
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Gloucestershire,E10000013,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,166
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Isles of Scilly,E06000053,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,0
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,North Somerset,E06000024,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,30
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Plymouth,E06000026,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,24
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Poole,E06000029,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,28
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Somerset,E10000027,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,46
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,South Gloucestershire,E06000025,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,67
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Swindon,E06000030,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,60,%,247
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Torbay,E06000027,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,12
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Wiltshire,E06000054,Asian,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,64
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,County Durham,E06000047,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,10
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Darlington,E06000005,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Gateshead,E08000037,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,25
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Hartlepool,E06000001,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,50,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Middlesbrough,E06000002,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,17
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Newcastle upon Tyne,E08000021,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,108
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,North Tyneside,E08000022,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Northumberland,E06000057,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Redcar and Cleveland,E06000003,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,3
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,South Tyneside,E08000023,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Stockton-on-Tees,E06000004,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,41
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Sunderland,E08000024,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,13
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackburn with Darwen,E06000008,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,23
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackpool,E06000009,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,5
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bolton,E08000001,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,138
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bury,E08000002,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,66,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire East,E06000049,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire West and Chester,E06000050,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,62,%,13
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cumbria,E10000006,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,57,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Halton,E06000006,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,3
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Knowsley,E08000011,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,18
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Lancashire,E10000017,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,52
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Liverpool,E08000012,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,60,%,219
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Manchester,E08000003,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"1,045"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Oldham,E08000004,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,82
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Rochdale,E08000005,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,93
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Salford,E08000006,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,140
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Sefton,E08000014,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,56,%,9
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,St. Helens,E08000013,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Stockport,E08000007,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,50,%,30
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Tameside,E08000008,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,59
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Trafford,E08000009,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,99
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Warrington,E06000007,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,11
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wigan,E08000010,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,45
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Wirral,E08000015,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Barnsley,E08000016,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,15
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Bradford,E08000032,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,91
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Calderdale,E08000033,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,19
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Doncaster,E08000017,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,30
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,5
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,61,%,44
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Kirklees,E08000034,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,95
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Leeds,E08000035,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,561
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North East Lincolnshire,E06000012,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,3
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Lincolnshire,E06000013,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,11
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,North Yorkshire,E10000023,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,11
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Rotherham,E08000018,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Sheffield,E08000019,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,296
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,Wakefield,E08000036,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,35
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,Yorkshire and The Humber,York,E06000014,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derby,E06000015,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,104
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Derbyshire,E10000007,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,24
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicester,E06000016,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,452
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Leicestershire,E10000018,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,64
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Lincolnshire,E10000019,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,24
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Northamptonshire,E10000021,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,427
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottingham,E06000018,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,344
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Nottinghamshire,E10000024,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,79
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East Midlands,Rutland,E06000017,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,3
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Birmingham,E08000025,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,"1,866"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Coventry,E08000026,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,450
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Dudley,E08000027,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,88
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,"Herefordshire, County of",E06000019,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,5
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Sandwell,E08000028,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,381
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Shropshire,E06000051,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,57,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Solihull,E08000029,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,43
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Staffordshire,E10000028,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,55
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Stoke-on-Trent,E06000021,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,90
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Telford and Wrekin,E06000020,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,49
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Walsall,E08000030,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,140
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Warwickshire,E10000031,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,70,%,54
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Wolverhampton,E08000031,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,291
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,West Midlands,Worcestershire,E10000034,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,24
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Bedford,E06000055,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,119
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Cambridgeshire,E10000003,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,56,%,64
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Central Bedfordshire,E06000056,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,82
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Essex,E10000012,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,410
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Hertfordshire,E10000015,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,540
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Luton,E06000032,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,380
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Norfolk,E10000020,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,49
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Peterborough,E06000031,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,78
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Southend-on-Sea,E06000033,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,53
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Suffolk,E10000029,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,72
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,East,Thurrock,E06000034,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,356
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Camden,E09000007,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,332
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,City of London,E09000001,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hackney,E09000012,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,82,%,909
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hammersmith and Fulham,E09000013,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,353
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Haringey,E09000014,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,883
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Islington,E09000019,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,420
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kensington and Chelsea,E09000020,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,179
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lambeth,E09000022,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,"1,290"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Lewisham,E09000023,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,330"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Newham,E09000025,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,"1,132"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Southwark,E09000028,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,"1,485"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Tower Hamlets,E09000030,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,281
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Wandsworth,E09000032,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,568
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Westminster,E09000033,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,249
