"Title","Reading attainments for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wigan","E08000010","Asian","DFE","All","All/Boys/Girls","62","%","34"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wirral","E08000015","Asian","DFE","All","All/Boys/Girls","67","%","90"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Barnsley","E08000016","Asian","DFE","All","All/Boys/Girls","73","%","11"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Bradford","E08000032","Asian","DFE","All","All/Boys/Girls","54","%","3,122"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Calderdale","E08000033","Asian","DFE","All","All/Boys/Girls","59","%","411"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Doncaster","E08000017","Asian","DFE","All","All/Boys/Girls","49","%","92"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Asian","DFE","All","All/Boys/Girls","83","%","18"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Asian","DFE","All","All/Boys/Girls","80","%","45"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kirklees","E08000034","Asian","DFE","All","All/Boys/Girls","55","%","1,400"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Leeds","E08000035","Asian","DFE","All","All/Boys/Girls","56","%","1,010"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","Asian","DFE","All","All/Boys/Girls","63","%","16"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","Asian","DFE","All","All/Boys/Girls","58","%","77"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","Asian","DFE","All","All/Boys/Girls","70","%","63"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Rotherham","E08000018","Asian","DFE","All","All/Boys/Girls","61","%","244"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Sheffield","E08000019","Asian","DFE","All","All/Boys/Girls","56","%","705"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Wakefield","E08000036","Asian","DFE","All","All/Boys/Girls","49","%","140"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","York","E06000014","Asian","DFE","All","All/Boys/Girls","79","%","29"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derby","E06000015","Asian","DFE","All","All/Boys/Girls","59","%","516"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derbyshire","E10000007","Asian","DFE","All","All/Boys/Girls","61","%","89"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicester","E06000016","Asian","DFE","All","All/Boys/Girls","63","%","1,620"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicestershire","E10000018","Asian","DFE","All","All/Boys/Girls","68","%","543"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Lincolnshire","E10000019","Asian","DFE","All","All/Boys/Girls","72","%","72"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Northamptonshire","E10000021","Asian","DFE","All","All/Boys/Girls","58","%","353"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottingham","E06000018","Asian","DFE","All","All/Boys/Girls","62","%","521"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottinghamshire","E10000024","Asian","DFE","All","All/Boys/Girls","66","%","208"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Rutland","E06000017","Asian","DFE","All","All/Boys/Girls","!","%","!"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Birmingham","E08000025","Asian","DFE","All","All/Boys/Girls","58","%","5,568"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Coventry","E08000026","Asian","DFE","All","All/Boys/Girls","62","%","717"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Dudley","E08000027","Asian","DFE","All","All/Boys/Girls","61","%","388"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Herefordshire, County of","E06000019","Asian","DFE","All","All/Boys/Girls","!","%","7"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Sandwell","E08000028","Asian","DFE","All","All/Boys/Girls","63","%","1,216"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Shropshire","E06000051","Asian","DFE","All","All/Boys/Girls","70","%","20"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Solihull","E08000029","Asian","DFE","All","All/Boys/Girls","73","%","274"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Staffordshire","E10000028","Asian","DFE","All","All/Boys/Girls","61","%","304"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Stoke-on-Trent","E06000021","Asian","DFE","All","All/Boys/Girls","57","%","428"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Telford and Wrekin","E06000020","Asian","DFE","All","All/Boys/Girls","64","%","141"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Walsall","E08000030","Asian","DFE","All","All/Boys/Girls","61","%","861"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Warwickshire","E10000031","Asian","DFE","All","All/Boys/Girls","73","%","329"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Wolverhampton","E08000031","Asian","DFE","All","All/Boys/Girls","65","%","620"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Worcestershire","E10000034","Asian","DFE","All","All/Boys/Girls","62","%","224"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Bedford","E06000055","Asian","DFE","All","All/Boys/Girls","48","%","304"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Cambridgeshire","E10000003","Asian","DFE","All","All/Boys/Girls","72","%","217"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Central Bedfordshire","E06000056","Asian","DFE","All","All/Boys/Girls","66","%","76"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Essex","E10000012","Asian","DFE","All","All/Boys/Girls","76","%","322"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Hertfordshire","E10000015","Asian","DFE","All","All/Boys/Girls","76","%","963"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Luton","E06000032","Asian","DFE","All","All/Boys/Girls","52","%","1,335"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Norfolk","E10000020","Asian","DFE","All","All/Boys/Girls","75","%","93"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Peterborough","E06000031","Asian","DFE","All","All/Boys/Girls","54","%","498"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Southend-on-Sea","E06000033","Asian","DFE","All","All/Boys/Girls","68","%","87"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Suffolk","E10000029","Asian","DFE","All","All/Boys/Girls","59","%","125"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East","Thurrock","E06000034","Asian","DFE","All","All/Boys/Girls","63","%","89"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Camden","E09000007","Asian","DFE","All","All/Boys/Girls","70","%","327"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","City of London","E09000001","Asian","DFE","All","All/Boys/Girls","!","%","10"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hackney","E09000012","Asian","DFE","All","All/Boys/Girls","68","%","318"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hammersmith and Fulham","E09000013","Asian","DFE","All","All/Boys/Girls","77","%","103"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Haringey","E09000014","Asian","DFE","All","All/Boys/Girls","61","%","181"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Islington","E09000019","Asian","DFE","All","All/Boys/Girls","66","%","145"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Kensington and Chelsea","E09000020","Asian","DFE","All","All/Boys/Girls","81","%","36"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Lambeth","E09000022","Asian","DFE","All","All/Boys/Girls","80","%","138"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Lewisham","E09000023","Asian","DFE","All","All/Boys/Girls","71","%","207"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Newham","E09000025","Asian","DFE","All","All/Boys/Girls","73","%","1,975"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Southwark","E09000028","Asian","DFE","All","All/Boys/Girls","72","%","176"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Tower Hamlets","E09000030","Asian","DFE","All","All/Boys/Girls","71","%","2,033"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Wandsworth","E09000032","Asian","DFE","All","All/Boys/Girls","68","%","381"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Westminster","E09000033","Asian","DFE","All","All/Boys/Girls","70","%","203"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Barking and Dagenham","E09000002","Asian","DFE","All","All/Boys/Girls","73","%","560"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Barnet","E09000003","Asian","DFE","All","All/Boys/Girls","74","%","475"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Bexley","E09000004","Asian","DFE","All","All/Boys/Girls","75","%","200"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Brent","E09000005","Asian","DFE","All","All/Boys/Girls","66","%","979"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Bromley","E09000006","Asian","DFE","All","All/Boys/Girls","90","%","141"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Croydon","E09000008","Asian","DFE","All","All/Boys/Girls","71","%","663"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Ealing","E09000009","Asian","DFE","All","All/Boys/Girls","62","%","1,129"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Enfield","E09000010","Asian","DFE","All","All/Boys/Girls","73","%","326"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Greenwich","E09000011","Asian","DFE","All","All/Boys/Girls","77","%","255"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Harrow","E09000015","Asian","DFE","All","All/Boys/Girls","75","%","1,261"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Havering","E09000016","Asian","DFE","All","All/Boys/Girls","76","%","157"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hillingdon","E09000017","Asian","DFE","All","All/Boys/Girls","69","%","864"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Hounslow","E09000018","Asian","DFE","All","All/Boys/Girls","73","%","851"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Kingston upon Thames","E09000021","Asian","DFE","All","All/Boys/Girls","72","%","285"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Merton","E09000024","Asian","DFE","All","All/Boys/Girls","74","%","457"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Redbridge","E09000026","Asian","DFE","All","All/Boys/Girls","71","%","1,952"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Richmond upon Thames","E09000027","Asian","DFE","All","All/Boys/Girls","80","%","172"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Sutton","E09000029","Asian","DFE","All","All/Boys/Girls","81","%","334"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","London","Waltham Forest","E09000031","Asian","DFE","All","All/Boys/Girls","64","%","845"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Bracknell Forest","E06000036","Asian","DFE","All","All/Boys/Girls","73","%","80"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Brighton and Hove","E06000043","Asian","DFE","All","All/Boys/Girls","64","%","84"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Buckinghamshire","E10000002","Asian","DFE","All","All/Boys/Girls","66","%","889"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","East Sussex","E10000011","Asian","DFE","All","All/Boys/Girls","64","%","74"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Hampshire","E10000014","Asian","DFE","All","All/Boys/Girls","72","%","393"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Isle of Wight","E06000046","Asian","DFE","All","All/Boys/Girls","33","%","9"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Kent","E10000016","Asian","DFE","All","All/Boys/Girls","75","%","597"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Medway","E06000035","Asian","DFE","All","All/Boys/Girls","69","%","126"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Milton Keynes","E06000042","Asian","DFE","All","All/Boys/Girls","75","%","370"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Oxfordshire","E10000025","Asian","DFE","All","All/Boys/Girls","58","%","386"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Portsmouth","E06000044","Asian","DFE","All","All/Boys/Girls","71","%","125"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Reading","E06000038","Asian","DFE","All","All/Boys/Girls","69","%","299"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Slough","E06000039","Asian","DFE","All","All/Boys/Girls","70","%","888"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Southampton","E06000045","Asian","DFE","All","All/Boys/Girls","61","%","271"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Surrey","E10000030","Asian","DFE","All","All/Boys/Girls","72","%","681"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","West Berkshire","E06000037","Asian","DFE","All","All/Boys/Girls","77","%","44"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","West Sussex","E10000032","Asian","DFE","All","All/Boys/Girls","61","%","386"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Windsor and Maidenhead","E06000040","Asian","DFE","All","All/Boys/Girls","62","%","178"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South East","Wokingham","E06000041","Asian","DFE","All","All/Boys/Girls","78","%","240"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bath and North East Somerset","E06000022","Asian","DFE","All","All/Boys/Girls","74","%","27"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bournemouth","E06000028","Asian","DFE","All","All/Boys/Girls","63","%","41"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Bristol, City of","E06000023","Asian","DFE","All","All/Boys/Girls","63","%","320"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Cornwall","E06000052","Asian","DFE","All","All/Boys/Girls","57","%","14"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Devon","E10000008","Asian","DFE","All","All/Boys/Girls","73","%","41"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Dorset","E10000009","Asian","DFE","All","All/Boys/Girls","62","%","37"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Gloucestershire","E10000013","Asian","DFE","All","All/Boys/Girls","69","%","166"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Isles of Scilly","E06000053","Asian","DFE","All","All/Boys/Girls","!","%","0"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","North Somerset","E06000024","Asian","DFE","All","All/Boys/Girls","77","%","30"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Plymouth","E06000026","Asian","DFE","All","All/Boys/Girls","50","%","24"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Poole","E06000029","Asian","DFE","All","All/Boys/Girls","75","%","28"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Somerset","E10000027","Asian","DFE","All","All/Boys/Girls","74","%","46"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","South Gloucestershire","E06000025","Asian","DFE","All","All/Boys/Girls","76","%","67"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Swindon","E06000030","Asian","DFE","All","All/Boys/Girls","62","%","247"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Torbay","E06000027","Asian","DFE","All","All/Boys/Girls","50","%","12"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","South West","Wiltshire","E06000054","Asian","DFE","All","All/Boys/Girls","61","%","64"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","County Durham","E06000047","Black","DFE","All","All/Boys/Girls","!","%","10"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Darlington","E06000005","Black","DFE","All","All/Boys/Girls","!","%","!"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Gateshead","E08000037","Black","DFE","All","All/Boys/Girls","80","%","25"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Hartlepool","E06000001","Black","DFE","All","All/Boys/Girls","!","%","6"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Middlesbrough","E06000002","Black","DFE","All","All/Boys/Girls","71","%","17"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Newcastle upon Tyne","E08000021","Black","DFE","All","All/Boys/Girls","53","%","108"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","North Tyneside","E08000022","Black","DFE","All","All/Boys/Girls","57","%","14"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Northumberland","E06000057","Black","DFE","All","All/Boys/Girls","!","%","!"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Redcar and Cleveland","E06000003","Black","DFE","All","All/Boys/Girls","!","%","3"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","South Tyneside","E08000023","Black","DFE","All","All/Boys/Girls","!","%","7"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Stockton-on-Tees","E06000004","Black","DFE","All","All/Boys/Girls","78","%","41"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North East","Sunderland","E08000024","Black","DFE","All","All/Boys/Girls","77","%","13"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackburn with Darwen","E06000008","Black","DFE","All","All/Boys/Girls","70","%","23"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Blackpool","E06000009","Black","DFE","All","All/Boys/Girls","!","%","5"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bolton","E08000001","Black","DFE","All","All/Boys/Girls","56","%","138"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Bury","E08000002","Black","DFE","All","All/Boys/Girls","49","%","35"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire East","E06000049","Black","DFE","All","All/Boys/Girls","!","%","7"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cheshire West and Chester","E06000050","Black","DFE","All","All/Boys/Girls","69","%","13"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Cumbria","E10000006","Black","DFE","All","All/Boys/Girls","57","%","7"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Halton","E06000006","Black","DFE","All","All/Boys/Girls","!","%","3"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Knowsley","E08000011","Black","DFE","All","All/Boys/Girls","50","%","18"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Lancashire","E10000017","Black","DFE","All","All/Boys/Girls","54","%","52"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Liverpool","E08000012","Black","DFE","All","All/Boys/Girls","57","%","219"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Manchester","E08000003","Black","DFE","All","All/Boys/Girls","64","%","1,045"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Oldham","E08000004","Black","DFE","All","All/Boys/Girls","51","%","82"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Rochdale","E08000005","Black","DFE","All","All/Boys/Girls","55","%","93"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Salford","E08000006","Black","DFE","All","All/Boys/Girls","56","%","140"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Sefton","E08000014","Black","DFE","All","All/Boys/Girls","67","%","9"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","St. Helens","E08000013","Black","DFE","All","All/Boys/Girls","!","%","4"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Stockport","E08000007","Black","DFE","All","All/Boys/Girls","37","%","30"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Tameside","E08000008","Black","DFE","All","All/Boys/Girls","61","%","59"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Trafford","E08000009","Black","DFE","All","All/Boys/Girls","79","%","99"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Warrington","E06000007","Black","DFE","All","All/Boys/Girls","!","%","11"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wigan","E08000010","Black","DFE","All","All/Boys/Girls","62","%","45"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","North West","Wirral","E08000015","Black","DFE","All","All/Boys/Girls","!","%","14"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Barnsley","E08000016","Black","DFE","All","All/Boys/Girls","80","%","15"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Bradford","E08000032","Black","DFE","All","All/Boys/Girls","57","%","91"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Calderdale","E08000033","Black","DFE","All","All/Boys/Girls","58","%","19"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Doncaster","E08000017","Black","DFE","All","All/Boys/Girls","63","%","30"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","Black","DFE","All","All/Boys/Girls","!","%","5"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","Black","DFE","All","All/Boys/Girls","59","%","44"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Kirklees","E08000034","Black","DFE","All","All/Boys/Girls","52","%","95"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Leeds","E08000035","Black","DFE","All","All/Boys/Girls","50","%","561"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North East Lincolnshire","E06000012","Black","DFE","All","All/Boys/Girls","!","%","3"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Lincolnshire","E06000013","Black","DFE","All","All/Boys/Girls","45","%","11"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","North Yorkshire","E10000023","Black","DFE","All","All/Boys/Girls","64","%","11"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Rotherham","E08000018","Black","DFE","All","All/Boys/Girls","67","%","36"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Sheffield","E08000019","Black","DFE","All","All/Boys/Girls","54","%","296"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","Wakefield","E08000036","Black","DFE","All","All/Boys/Girls","49","%","35"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","Yorkshire and The Humber","York","E06000014","Black","DFE","All","All/Boys/Girls","!","%","6"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derby","E06000015","Black","DFE","All","All/Boys/Girls","58","%","104"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Derbyshire","E10000007","Black","DFE","All","All/Boys/Girls","79","%","24"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicester","E06000016","Black","DFE","All","All/Boys/Girls","58","%","452"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Leicestershire","E10000018","Black","DFE","All","All/Boys/Girls","66","%","64"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Lincolnshire","E10000019","Black","DFE","All","All/Boys/Girls","58","%","24"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Northamptonshire","E10000021","Black","DFE","All","All/Boys/Girls","56","%","427"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottingham","E06000018","Black","DFE","All","All/Boys/Girls","63","%","345"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Nottinghamshire","E10000024","Black","DFE","All","All/Boys/Girls","54","%","79"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","East Midlands","Rutland","E06000017","Black","DFE","All","All/Boys/Girls","!","%","3"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Birmingham","E08000025","Black","DFE","All","All/Boys/Girls","55","%","1,866"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Coventry","E08000026","Black","DFE","All","All/Boys/Girls","58","%","450"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Dudley","E08000027","Black","DFE","All","All/Boys/Girls","57","%","88"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Herefordshire, County of","E06000019","Black","DFE","All","All/Boys/Girls","!","%","5"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Sandwell","E08000028","Black","DFE","All","All/Boys/Girls","55","%","381"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Shropshire","E06000051","Black","DFE","All","All/Boys/Girls","!","%","7"
"% of pupils reaching the expected standard in reading","2015 to 2016","Academic year","West Midlands","Solihull","E08000029","Black","DFE","All","All/Boys/Girls","60","%","43"
