"Title","Mathematics attainments for children aged 6 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-05-04"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Redcar and Cleveland","E06000003","All","75","%","1516"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Hartlepool","E06000001","All","71","%","1184"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Middlesbrough","E06000002","All","65","%","1863"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Newcastle upon Tyne","E08000021","All","73","%","3126"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Middlesbrough","E06000002","All","70","%","1928"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Sunderland","E08000024","All","76","%","3122"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Northumberland","E06000057","All","79","%","3332"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","South Tyneside","E08000023","All","77","%","1670"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","County Durham","E06000047","All","78","%","5784"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Darlington","E06000005","All","75","%","1317"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","South Tyneside","E08000023","All","78","%","1689"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Gateshead","E08000037","All","74","%","2246"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","Stockton-on-Tees","E06000004","All","77","%","2550"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","County Durham","E06000047","All","75","%","5445"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North East","North Tyneside","E08000022","All","79","%","2385"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North East","Northumberland","E06000057","All","76","%","3297"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wirral","E08000015","All","72","%","3767"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Halton","E06000006","All","65","%","1604"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wigan","E08000010","All","75","%","3867"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wigan","E08000010","All","73","%","3832"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bury","E08000002","All","72","%","2387"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackpool","E06000009","All","74","%","1632"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cumbria","E10000006","All","73","%","5175"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Manchester","E08000003","All","71","%","7075"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Warrington","E06000007","All","76","%","2541"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire West and Chester","E06000050","All","73","%","3928"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackburn with Darwen","E06000008","All","74","%","2235"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Knowsley","E08000011","All","71","%","1817"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Rochdale","E08000005","All","72","%","3016"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire East","E06000049","All","75","%","4203"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Manchester","E08000003","All","72","%","7198"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Halton","E06000006","All","64","%","1454"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Blackpool","E06000009","All","75","%","1706"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wirral","E08000015","All","70","%","3741"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Tameside","E08000008","All","72","%","3136"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Stockport","E08000007","All","76","%","3475"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Warrington","E06000007","All","78","%","2624"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire West and Chester","E06000050","All","70","%","3778"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bolton","E08000001","All","73","%","4012"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Trafford","E08000009","All","77","%","2959"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Trafford","E08000009","All","79","%","3019"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Salford","E08000006","All","73","%","3070"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Oldham","E08000004","All","69","%","3534"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Stockport","E08000007","All","73","%","3473"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2016/2017","Academic year","North West","Salford","E08000006","All","75","%","3141"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Knowsley","E08000011","All","67","%","1831"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire East","E06000049","All","71","%","4127"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Sefton","E08000014","All","74","%","2965"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Bury","E08000002","All","71","%","2400"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Rochdale","E08000005","All","70","%","3027"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Lancashire","E10000017","All","72","%","14020"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cumbria","E10000006","All","67","%","5228"
