"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Local authority",""
"Chinese","Redcar and Cleveland","!"
"Chinese","South Tyneside","!"
"Chinese","Stockton-on-Tees","!"
"Chinese","Sunderland","!"
"Chinese","Blackburn with Darwen","100"
"Chinese","Blackpool","70"
"Chinese","Bolton","!"
"Chinese","Bury","100"
"Chinese","Cheshire East","!"
"Chinese","Cheshire West and Chester","100"
"Chinese","Cumbria","!"
"Chinese","Halton","!"
"Chinese","Knowsley","100"
"Chinese","Lancashire","88"
"Chinese","Liverpool","76"
"Chinese","Manchester","93"
"Chinese","Oldham","67"
"Chinese","Rochdale","!"
"Chinese","Salford","!"
"Chinese","Sefton","!"
"Chinese","St. Helens","!"
"Chinese","Stockport","75"
"Chinese","Tameside","70"
"Chinese","Trafford","90"
"Chinese","Warrington","!"
"Chinese","Wigan","!"
"Chinese","Wirral","76"
"Chinese","Barnsley","!"
"Chinese","Bradford","!"
"Chinese","Calderdale","!"
"Chinese","Doncaster","84"
"Chinese","East Riding of Yorkshire","100"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kirklees","81"
"Chinese","Leeds","79"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","!"
"Chinese","North Yorkshire","82"
"Chinese","Rotherham","73"
"Chinese","Sheffield","91"
"Chinese","Wakefield","!"
"Chinese","York","!"
"Chinese","Derby","!"
"Chinese","Derbyshire","82"
"Chinese","Leicester","!"
"Chinese","Leicestershire","83"
"Chinese","Lincolnshire","!"
"Chinese","Northamptonshire","!"
"Chinese","Nottingham","!"
"Chinese","Nottinghamshire","89"
"Chinese","Rutland","!"
"Chinese","Birmingham","92"
"Chinese","Coventry","!"
"Chinese","Dudley","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Sandwell","!"
"Chinese","Shropshire","100"
"Chinese","Solihull","!"
"Chinese","Staffordshire","!"
"Chinese","Stoke-on-Trent","!"
"Chinese","Telford and Wrekin","100"
"Chinese","Walsall","!"
"Chinese","Warwickshire","!"
"Chinese","Wolverhampton","!"
"Chinese","Worcestershire","78"
"Chinese","Bedford","100"
"Chinese","Cambridgeshire","91"
"Chinese","Central Bedfordshire","100"
"Chinese","Essex","92"
"Chinese","Hertfordshire","93"
"Chinese","Luton","58"
"Chinese","Norfolk","!"
"Chinese","Peterborough","!"
"Chinese","Southend-on-Sea","100"
"Chinese","Suffolk","100"
"Chinese","Thurrock","!"
"Chinese","Camden","76"
"Chinese","City of London","!"
"Chinese","Hackney","!"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Haringey","!"
"Chinese","Islington","!"
"Chinese","Kensington and Chelsea","!"
"Chinese","Lambeth","88"
"Chinese","Lewisham","81"
"Chinese","Newham","!"
"Chinese","Southwark","90"
"Chinese","Tower Hamlets","!"
"Chinese","Wandsworth","88"
"Chinese","Westminster","100"
"Chinese","Barking and Dagenham","!"
"Chinese","Barnet","84"
"Chinese","Bexley","!"
"Chinese","Brent","!"
"Chinese","Bromley","!"
"Chinese","Croydon","!"
"Chinese","Ealing","100"
"Chinese","Enfield","81"
"Chinese","Greenwich","!"
"Chinese","Harrow","!"
"Chinese","Havering","!"
"Chinese","Hillingdon","!"
"Chinese","Hounslow","85"
"Chinese","Kingston upon Thames","86"
"Chinese","Merton","!"
"Chinese","Redbridge","!"
"Chinese","Richmond upon Thames","100"
"Chinese","Sutton","!"
"Chinese","Waltham Forest","84"
"Chinese","Bracknell Forest","!"
"Chinese","Brighton and Hove","!"
"Chinese","Buckinghamshire","84"
"Chinese","East Sussex","!"
"Chinese","Hampshire","88"
"Chinese","Isle of Wight","!"
"Chinese","Kent","88"
"Chinese","Medway","100"
"Chinese","Milton Keynes","85"
"Chinese","Oxfordshire","91"
"Chinese","Portsmouth","100"
"Chinese","Reading","100"
"Chinese","Slough","!"
"Chinese","Southampton","85"
"Chinese","Surrey","91"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","88"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wokingham","!"
"Chinese","Bath and North East Somerset","100"
"Chinese","Bournemouth","!"
"Chinese","Bristol, City of","!"
"Chinese","Cornwall","100"
"Chinese","Devon","!"
"Chinese","Dorset","!"
"Chinese","Gloucestershire","!"
"Chinese","Isles of Scilly","!"
"Chinese","North Somerset","!"
"Chinese","Plymouth","!"
"Chinese","Poole","100"
"Chinese","Somerset","67"
"Chinese","South Gloucestershire","84"
"Chinese","Swindon","!"
"Chinese","Torbay","!"
"Chinese","Wiltshire","84"
"Mixed","County Durham","76"
"Mixed","Darlington","86"
"Mixed","Gateshead","77"
"Mixed","Hartlepool","56"
"Mixed","Middlesbrough","64"
"Mixed","Newcastle upon Tyne","80"
"Mixed","North Tyneside","71"
"Mixed","Northumberland","73"
"Mixed","Redcar and Cleveland","70"
"Mixed","South Tyneside","69"
"Mixed","Stockton-on-Tees","74"
"Mixed","Sunderland","71"
"Mixed","Blackburn with Darwen","67"
"Mixed","Blackpool","74"
"Mixed","Bolton","71"
"Mixed","Bury","71"
"Mixed","Cheshire East","66"
"Mixed","Cheshire West and Chester","78"
"Mixed","Cumbria","66"
"Mixed","Halton","70"
"Mixed","Knowsley","70"
"Mixed","Lancashire","70"
"Mixed","Liverpool","64"
"Mixed","Manchester","73"
"Mixed","Oldham","66"
"Mixed","Rochdale","73"
"Mixed","Salford","74"
"Mixed","Sefton","73"
"Mixed","St. Helens","65"
"Mixed","Stockport","77"
"Mixed","Tameside","74"
"Mixed","Trafford","71"
"Mixed","Warrington","75"
"Mixed","Wigan","81"
"Mixed","Wirral","80"
"Mixed","Barnsley","70"
"Mixed","Bradford","70"
"Mixed","Calderdale","67"
"Mixed","Doncaster","70"
"Mixed","East Riding of Yorkshire","76"
"Mixed","Kingston upon Hull, City of","79"
"Mixed","Kirklees","67"
"Mixed","Leeds","59"
"Mixed","North East Lincolnshire","80"
"Mixed","North Lincolnshire","81"
"Mixed","North Yorkshire","67"
"Mixed","Rotherham","70"
"Mixed","Sheffield","70"
"Mixed","Wakefield","74"
"Mixed","York","71"
"Mixed","Derby","68"
"Mixed","Derbyshire","71"
"Mixed","Leicester","64"
"Mixed","Leicestershire","72"
"Mixed","Lincolnshire","80"
"Mixed","Northamptonshire","70"
"Mixed","Nottingham","67"
"Mixed","Nottinghamshire","70"
"Mixed","Rutland","69"
"Mixed","Birmingham","66"
"Mixed","Coventry","70"
"Mixed","Dudley","75"
"Mixed","Herefordshire, County of","83"
"Mixed","Sandwell","71"
"Mixed","Shropshire","74"
"Mixed","Solihull","75"
"Mixed","Staffordshire","75"
"Mixed","Stoke-on-Trent","72"
"Mixed","Telford and Wrekin","71"
"Mixed","Walsall","69"
"Mixed","Warwickshire","75"
"Mixed","Wolverhampton","71"
"Mixed","Worcestershire","70"
"Mixed","Bedford","69"
"Mixed","Cambridgeshire","72"
"Mixed","Central Bedfordshire","68"
"Mixed","Essex","75"
"Mixed","Hertfordshire","78"
"Mixed","Luton","74"
"Mixed","Norfolk","74"
"Mixed","Peterborough","68"
"Mixed","Southend-on-Sea","71"
"Mixed","Suffolk","71"
"Mixed","Thurrock","73"
"Mixed","Camden","75"
"Mixed","City of London","!"
"Mixed","Hackney","85"
"Mixed","Hammersmith and Fulham","74"
"Mixed","Haringey","83"
"Mixed","Islington","79"
"Mixed","Kensington and Chelsea","79"
"Mixed","Lambeth","79"
"Mixed","Lewisham","80"
"Mixed","Newham","85"
"Mixed","Southwark","70"
"Mixed","Tower Hamlets","78"
"Mixed","Wandsworth","73"
"Mixed","Westminster","80"
"Mixed","Barking and Dagenham","73"
"Mixed","Barnet","72"
"Mixed","Bexley","81"
"Mixed","Brent","78"
"Mixed","Bromley","78"
"Mixed","Croydon","74"
"Mixed","Ealing","78"
"Mixed","Enfield","76"
"Mixed","Greenwich","82"
"Mixed","Harrow","76"
"Mixed","Havering","76"
"Mixed","Hillingdon","77"
"Mixed","Hounslow","81"
"Mixed","Kingston upon Thames","72"
"Mixed","Merton","68"
"Mixed","Redbridge","75"
"Mixed","Richmond upon Thames","77"
"Mixed","Sutton","81"
"Mixed","Waltham Forest","81"
"Mixed","Bracknell Forest","84"
"Mixed","Brighton and Hove","74"
"Mixed","Buckinghamshire","71"
"Mixed","East Sussex","75"
"Mixed","Hampshire","77"
"Mixed","Isle of Wight","73"
"Mixed","Kent","82"
"Mixed","Medway","79"
"Mixed","Milton Keynes","74"
"Mixed","Oxfordshire","71"
"Mixed","Portsmouth","71"
"Mixed","Reading","72"
"Mixed","Slough","74"
"Mixed","Southampton","75"
"Mixed","Surrey","78"
"Mixed","West Berkshire","81"
"Mixed","West Sussex","65"
"Mixed","Windsor and Maidenhead","81"
"Mixed","Wokingham","81"
"Mixed","Bath and North East Somerset","74"
"Mixed","Bournemouth","74"
"Mixed","Bristol, City of","66"
"Mixed","Cornwall","77"
"Mixed","Devon","70"
"Mixed","Dorset","73"
"Mixed","Gloucestershire","70"
"Mixed","Isles of Scilly","!"
"Mixed","North Somerset","84"
"Mixed","Plymouth","66"
"Mixed","Poole","78"
"Mixed","Somerset","74"
"Mixed","South Gloucestershire","74"
"Mixed","Swindon","71"
"Mixed","Torbay","78"
"Mixed","Wiltshire","74"
"White","County Durham","75"
"White","Darlington","75"
"White","Gateshead","74"
"White","Hartlepool","72"
"White","Middlesbrough","65"
"White","Newcastle upon Tyne","73"
"White","North Tyneside","75"
"White","Northumberland","76"
"White","Redcar and Cleveland","76"
"White","South Tyneside","78"
"White","Stockton-on-Tees","76"
"White","Sunderland","76"
"White","Blackburn with Darwen","75"
"White","Blackpool","74"
"White","Bolton","73"
"White","Bury","72"
"White","Cheshire East","71"
"White","Cheshire West and Chester","69"
"White","Cumbria","66"
"White","Halton","64"
"White","Knowsley","66"
"White","Lancashire","73"
"White","Liverpool","62"
"White","Manchester","71"
"White","Oldham","69"
"White","Rochdale","71"
"White","Salford","75"
"White","Sefton","74"
"White","St. Helens","67"
"White","Stockport","73"
"White","Tameside","70"
"White","Trafford","78"
"White","Warrington","76"
"White","Wigan","74"
"White","Wirral","70"
"White","Barnsley","71"
"White","Bradford","69"
"White","Calderdale","68"
"White","Doncaster","71"
"White","East Riding of Yorkshire","74"
"White","Kingston upon Hull, City of","72"
"White","Kirklees","72"
"White","Leeds","66"
