"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Gender","Gender_type","Value","Value_girls"
"South East","East Sussex","E10000011","White","Boys","All/Boys/Girls","72","80"
"South East","East Sussex","E10000011","Mixed","Boys","All/Boys/Girls","70","81"
"South East","East Sussex","E10000011","Asian","Boys","All/Boys/Girls","79","83"
"South East","East Sussex","E10000011","Black","Boys","All/Boys/Girls","53","100"
"South East","East Sussex","E10000011","Chinese","Boys","All/Boys/Girls","!","!"
"South East","East Sussex","E10000011","All","Boys","All/Boys/Girls","71","80"
"London","Enfield","E09000010","White","Boys","All/Boys/Girls","67","74"
"London","Enfield","E09000010","Mixed","Boys","All/Boys/Girls","75","84"
"London","Enfield","E09000010","Asian","Boys","All/Boys/Girls","83","88"
"London","Enfield","E09000010","Black","Boys","All/Boys/Girls","67","80"
"London","Enfield","E09000010","Chinese","Boys","All/Boys/Girls","77","77"
"London","Enfield","E09000010","All","Boys","All/Boys/Girls","69","77"
"East","Essex","E10000012","White","Boys","All/Boys/Girls","72","82"
"East","Essex","E10000012","Mixed","Boys","All/Boys/Girls","73","83"
"East","Essex","E10000012","Asian","Boys","All/Boys/Girls","81","87"
"East","Essex","E10000012","Black","Boys","All/Boys/Girls","73","88"
"East","Essex","E10000012","Chinese","Boys","All/Boys/Girls","80","88"
"East","Essex","E10000012","All","Boys","All/Boys/Girls","72","82"
"North East","Gateshead","E08000037","White","Boys","All/Boys/Girls","72","82"
"North East","Gateshead","E08000037","Mixed","Boys","All/Boys/Girls","79","67"
"North East","Gateshead","E08000037","Asian","Boys","All/Boys/Girls","73","76"
"North East","Gateshead","E08000037","Black","Boys","All/Boys/Girls","!","!"
"North East","Gateshead","E08000037","Chinese","Boys","All/Boys/Girls","!","!"
"North East","Gateshead","E08000037","All","Boys","All/Boys/Girls","73","81"
"South West","Gloucestershire","E10000013","White","Boys","All/Boys/Girls","70","76"
"South West","Gloucestershire","E10000013","Mixed","Boys","All/Boys/Girls","70","73"
"South West","Gloucestershire","E10000013","Asian","Boys","All/Boys/Girls","67","82"
"South West","Gloucestershire","E10000013","Black","Boys","All/Boys/Girls","67","67"
"South West","Gloucestershire","E10000013","Chinese","Boys","All/Boys/Girls","!","!"
"South West","Gloucestershire","E10000013","All","Boys","All/Boys/Girls","70","76"
"London","Greenwich","E09000011","White","Boys","All/Boys/Girls","72","81"
"London","Greenwich","E09000011","Mixed","Boys","All/Boys/Girls","76","85"
"London","Greenwich","E09000011","Asian","Boys","All/Boys/Girls","86","92"
"London","Greenwich","E09000011","Black","Boys","All/Boys/Girls","82","88"
"London","Greenwich","E09000011","Chinese","Boys","All/Boys/Girls","81","85"
"London","Greenwich","E09000011","All","Boys","All/Boys/Girls","77","85"
"London","Hackney","E09000012","White","Boys","All/Boys/Girls","78","85"
"London","Hackney","E09000012","Mixed","Boys","All/Boys/Girls","84","89"
"London","Hackney","E09000012","Asian","Boys","All/Boys/Girls","85","85"
"London","Hackney","E09000012","Black","Boys","All/Boys/Girls","75","85"
"London","Hackney","E09000012","Chinese","Boys","All/Boys/Girls","!","!"
"London","Hackney","E09000012","All","Boys","All/Boys/Girls","77","85"
"North West","Halton","E06000006","White","Boys","All/Boys/Girls","61","72"
"North West","Halton","E06000006","Mixed","Boys","All/Boys/Girls","79","67"
"North West","Halton","E06000006","Asian","Boys","All/Boys/Girls","!","!"
"North West","Halton","E06000006","Black","Boys","All/Boys/Girls","!","!"
"North West","Halton","E06000006","Chinese","Boys","All/Boys/Girls","!","!"
"North West","Halton","E06000006","All","Boys","All/Boys/Girls","61","72"
"London","Hammersmith and Fulham","E09000013","White","Boys","All/Boys/Girls","78","83"
"London","Hammersmith and Fulham","E09000013","Mixed","Boys","All/Boys/Girls","72","80"
"London","Hammersmith and Fulham","E09000013","Asian","Boys","All/Boys/Girls","81","85"
"London","Hammersmith and Fulham","E09000013","Black","Boys","All/Boys/Girls","72","79"
"London","Hammersmith and Fulham","E09000013","Chinese","Boys","All/Boys/Girls","!","!"
"London","Hammersmith and Fulham","E09000013","All","Boys","All/Boys/Girls","75","81"
"South East","Hampshire","E10000014","White","Boys","All/Boys/Girls","77","84"
"South East","Hampshire","E10000014","Mixed","Boys","All/Boys/Girls","78","85"
"South East","Hampshire","E10000014","Asian","Boys","All/Boys/Girls","81","82"
"South East","Hampshire","E10000014","Black","Boys","All/Boys/Girls","78","89"
"South East","Hampshire","E10000014","Chinese","Boys","All/Boys/Girls","77","85"
"South East","Hampshire","E10000014","All","Boys","All/Boys/Girls","77","84"
"London","Haringey","E09000014","White","Boys","All/Boys/Girls","74","79"
"London","Haringey","E09000014","Mixed","Boys","All/Boys/Girls","80","84"
"London","Haringey","E09000014","Asian","Boys","All/Boys/Girls","78","87"
"London","Haringey","E09000014","Black","Boys","All/Boys/Girls","72","85"
"London","Haringey","E09000014","Chinese","Boys","All/Boys/Girls","!","!"
"London","Haringey","E09000014","All","Boys","All/Boys/Girls","74","81"
"London","Harrow","E09000015","White","Boys","All/Boys/Girls","61","75"
"London","Harrow","E09000015","Mixed","Boys","All/Boys/Girls","80","78"
"London","Harrow","E09000015","Asian","Boys","All/Boys/Girls","79","89"
"London","Harrow","E09000015","Black","Boys","All/Boys/Girls","66","84"
"London","Harrow","E09000015","Chinese","Boys","All/Boys/Girls","!","100"
"London","Harrow","E09000015","All","Boys","All/Boys/Girls","72","83"
"North East","Hartlepool","E06000001","White","Boys","All/Boys/Girls","66","80"
"North East","Hartlepool","E06000001","Mixed","Boys","All/Boys/Girls","!","!"
"North East","Hartlepool","E06000001","Asian","Boys","All/Boys/Girls","!","!"
"North East","Hartlepool","E06000001","Black","Boys","All/Boys/Girls","100","!"
"North East","Hartlepool","E06000001","Chinese","Boys","All/Boys/Girls","!","!"
"North East","Hartlepool","E06000001","All","Boys","All/Boys/Girls","66","80"
"London","Havering","E09000016","White","Boys","All/Boys/Girls","71","81"
"London","Havering","E09000016","Mixed","Boys","All/Boys/Girls","75","88"
"London","Havering","E09000016","Asian","Boys","All/Boys/Girls","74","92"
"London","Havering","E09000016","Black","Boys","All/Boys/Girls","76","91"
"London","Havering","E09000016","Chinese","Boys","All/Boys/Girls","!","!"
"London","Havering","E09000016","All","Boys","All/Boys/Girls","72","82"
"West Midlands","Herefordshire, County of","E06000019","White","Boys","All/Boys/Girls","71","80"
"West Midlands","Herefordshire, County of","E06000019","Mixed","Boys","All/Boys/Girls","!","!"
"West Midlands","Herefordshire, County of","E06000019","Asian","Boys","All/Boys/Girls","!","!"
"West Midlands","Herefordshire, County of","E06000019","Black","Boys","All/Boys/Girls","!","!"
"West Midlands","Herefordshire, County of","E06000019","Chinese","Boys","All/Boys/Girls","!","!"
"West Midlands","Herefordshire, County of","E06000019","All","Boys","All/Boys/Girls","71","80"
"East","Hertfordshire","E10000015","White","Boys","All/Boys/Girls","74","83"
"East","Hertfordshire","E10000015","Mixed","Boys","All/Boys/Girls","78","85"
"East","Hertfordshire","E10000015","Asian","Boys","All/Boys/Girls","75","86"
"East","Hertfordshire","E10000015","Black","Boys","All/Boys/Girls","74","84"
"East","Hertfordshire","E10000015","Chinese","Boys","All/Boys/Girls","!","!"
"East","Hertfordshire","E10000015","All","Boys","All/Boys/Girls","75","83"
"London","Hillingdon","E09000017","White","Boys","All/Boys/Girls","67","76"
"London","Hillingdon","E09000017","Mixed","Boys","All/Boys/Girls","71","81"
"London","Hillingdon","E09000017","Asian","Boys","All/Boys/Girls","73","88"
"London","Hillingdon","E09000017","Black","Boys","All/Boys/Girls","69","80"
"London","Hillingdon","E09000017","Chinese","Boys","All/Boys/Girls","!","!"
"London","Hillingdon","E09000017","All","Boys","All/Boys/Girls","70","80"
