"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2016","Asian","Yorkshire and The Humber","5.4","1,360","","","","","","","",""
"2016","Asian","East Midlands","8.2","1,230","","","","","","","",""
"2016","Asian","West Midlands","11.8","2,430","","","","","","","",""
"2016","Asian","East","4.6","790","","","","","","","",""
"2016","Asian","London","16.3","9,500","","","","","","","",""
"2016","Asian","South East","3","920","","","","","","","",""
"2016","Asian","South West","1.2","340","","","","","","","",""
"2016","Asian","Wales","0.8","200","","","","","","","",""
"2016","Asian","Scotland","0.9","290","","","","","","","",""
"2016","Asian","Northern Ireland","0.2","10","","","","","","","",""
"2016","Asian","Unknown","N/A","10","","","","","","","",""
"2016","Black","UK","3.1","9,950","","","","","","","",""
"2016","Black","North East","0.3","60","","","","","","","",""
"2016","Black","North West","0.8","340","","","","","","","",""
"2016","Black","Yorkshire and The Humber","1.2","300","","","","","","","",""
"2016","Black","East Midlands","1.9","290","","","","","","","",""
"2016","Black","West Midlands","3.8","790","","","","","","","",""
"2016","Black","East","2.2","370","","","","","","","",""
"2016","Black","London","11.8","6,910","","","","","","","",""
"2016","Black","South East","1.4","420","","","","","","","",""
"2016","Black","South West","0.8","220","","","","","","","",""
"2016","Black","Wales","0.4","90","","","","","","","",""
"2016","Black","Scotland","0.3","90","","","","","","","",""
"2016","Black","Northern Ireland","!","!","","","","","","","",""
"2016","Black","Unknown","N/A","!","","","","","","","",""
"2016","Chinese","UK","0.3","880","","","","","","","",""
"2016","Chinese","North East","0.1","30","","","","","","","",""
"2016","Chinese","North West","0.3","100","","","","","","","",""
"2016","Chinese","Yorkshire and The Humber","0.2","50","","","","","","","",""
"2016","Chinese","East Midlands","0.1","10","","","","","","","",""
"2016","Chinese","West Midlands","0.2","30","","","","","","","",""
"2016","Chinese","East","0.3","50","","","","","","","",""
"2016","Chinese","London","0.7","390","","","","","","","",""
"2016","Chinese","South East","0.3","80","","","","","","","",""
"2016","Chinese","South West","0.2","60","","","","","","","",""
"2016","Chinese","Wales","0.2","40","","","","","","","",""
"2016","Chinese","Scotland","0.1","30","","","","","","","",""
"2016","Chinese","Northern Ireland","!","!","","","","","","","",""
"2016","Chinese","Unknown","N/A","0","","","","","","","",""
"2016","Mixed","UK","1.4","4,460","","","","","","","",""
"2016","Mixed","North East","0.6","140","","","","","","","",""
"2016","Mixed","North West","1.1","430","","","","","","","",""
"2016","Mixed","Yorkshire and The Humber","1.1","270","","","","","","","",""
"2016","Mixed","East Midlands","1.3","200","","","","","","","",""
