"Title","Temporary exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Local authority","%"
"Chinese","Middlesbrough","0.00"
"Chinese","Redcar and Cleveland","0.00"
"Chinese","Stockton-on-Tees","0.00"
"Chinese","Kingston upon Hull City of","0.00"
"Chinese","East Riding of Yorkshire","0.00"
"Chinese","North East Lincolnshire","0.00"
"Chinese","North Lincolnshire","0.00"
"Chinese","North Yorkshire","0.00"
"Chinese","York","0.00"
"Chinese","Luton","0.00"
"Chinese","Bedford","0.00"
"Chinese","Central Bedfordshire","0.00"
"Chinese","Buckinghamshire","!"
"Chinese","Milton Keynes","!"
"Chinese","Derbyshire","0.00"
"Chinese","Derby","!"
"Chinese","Dorset","!"
"Chinese","Poole","0.00"
"Chinese","Bournemouth","!"
"Chinese","Durham","0.00"
"Chinese","Darlington","0.00"
"Chinese","East Sussex","2.07"
"Chinese","Brighton and Hove","0.00"
"Chinese","Hampshire","!"
"Chinese","Portsmouth","0.00"
"Chinese","Southampton","0.00"
"Chinese","Leicestershire","0.00"
"Chinese","Leicester","!"
"Chinese","Rutland","0.00"
"Chinese","Staffordshire","0.88"
"Chinese","Stoke-on-Trent","!"
"Chinese","Wiltshire","0.00"
"Chinese","Swindon","0.00"
"Chinese","Bracknell Forest","!"
"Chinese","Windsor and Maidenhead","0.00"
"Chinese","West Berkshire","!"
"Chinese","Reading","!"
"Chinese","Slough","0.00"
"Chinese","Wokingham","0.00"
"Chinese","Cambridgeshire","0.67"
"Chinese","Peterborough","0.00"
"Chinese","Halton","0.00"
"Chinese","Warrington","0.00"
"Chinese","Devon","!"
"Chinese","Plymouth","!"
"Chinese","Torbay","!"
"Chinese","Essex","0.97"
"Chinese","Southend-on-Sea","7.98"
"Chinese","Thurrock","0.00"
"Chinese","Herefordshire","0.00"
"Chinese","Worcestershire","0.00"
"Chinese","Kent","0.37"
"Chinese","Medway","6.29"
"Chinese","Lancashire","0.00"
"Chinese","Blackburn with Darwen","0.00"
"Chinese","Blackpool","!"
"Chinese","Nottinghamshire","!"
"Chinese","Nottingham","0.00"
"Chinese","Shropshire","0.00"
"Chinese","Telford and Wrekin","8.94"
"Chinese","Cheshire East","0.00"
"Chinese","Cheshire West and Chester","0.00"
"Chinese","Cornwall","0.00"
"Chinese","Cumbria","0.00"
"Chinese","Gloucestershire","0.00"
"Chinese","Hertfordshire","!"
"Chinese","Isle of Wight","0.00"
"Chinese","Lincolnshire","!"
"Chinese","Norfolk","1.15"
"Chinese","Northamptonshire","0.00"
"Chinese","Northumberland","0.00"
"Chinese","Oxfordshire","0.86"
"Chinese","Somerset","!"
"Chinese","Suffolk","0.00"
"Chinese","Surrey","1.20"
"Chinese","Warwickshire","0.00"
"Chinese","West Sussex","!"
"Mixed","City of London","6.52"
"Mixed","Camden","5.02"
"Mixed","Greenwich","6.25"
"Mixed","Hackney","6.70"
"Mixed","Hammersmith and Fulham","5.21"
"Mixed","Islington","6.55"
"Mixed","Kensington and Chelsea","5.38"
"Mixed","Lambeth","3.76"
"Mixed","Lewisham","4.57"
"Mixed","Southwark","4.85"
"Mixed","Tower Hamlets","4.02"
"Mixed","Wandsworth","4.25"
"Mixed","Westminster","5.91"
"Mixed","Barking and Dagenham","2.54"
"Mixed","Barnet","4.69"
"Mixed","Bexley","5.41"
"Mixed","Brent","4.90"
"Mixed","Bromley","3.11"
"Mixed","Croydon","4.34"
"Mixed","Ealing","5.12"
"Mixed","Enfield","5.94"
"Mixed","Haringey","4.58"
"Mixed","Harrow","3.36"
"Mixed","Havering","3.51"
"Mixed","Hillingdon","3.03"
"Mixed","Hounslow","5.50"
"Mixed","Kingston upon Thames","2.82"
"Mixed","Merton","4.26"
"Mixed","Newham","6.89"
"Mixed","Redbridge","5.04"
"Mixed","Richmond upon Thames","4.08"
"Mixed","Sutton","3.01"
"Mixed","Waltham Forest","5.38"
"Mixed","Birmingham","6.88"
"Mixed","Coventry","9.89"
"Mixed","Dudley","7.75"
"Mixed","Sandwell","7.98"
"Mixed","Solihull","8.89"
"Mixed","Walsall","6.23"
"Mixed","Wolverhampton","7.06"
"Mixed","Knowsley","3.19"
"Mixed","Liverpool","5.36"
"Mixed","St. Helens","7.00"
"Mixed","Sefton","3.14"
"Mixed","Wirral","4.79"
"Mixed","Bolton","5.88"
"Mixed","Bury","10.56"
"Mixed","Manchester","7.18"
"Mixed","Oldham","6.31"
"Mixed","Rochdale","6.85"
"Mixed","Salford","2.46"
"Mixed","Stockport","6.14"
"Mixed","Tameside","10.08"
"Mixed","Trafford","5.01"
"Mixed","Wigan","3.99"
"Mixed","Barnsley","5.89"
"Mixed","Doncaster","13.99"
"Mixed","Rotherham","9.82"
"Mixed","Sheffield","12.81"
"Mixed","Bradford","5.53"
"Mixed","Calderdale","6.25"
"Mixed","Kirklees","9.88"
"Mixed","Leeds","6.75"
"Mixed","Wakefield","6.33"
"Mixed","Gateshead","2.30"
"Mixed","Newcastle upon Tyne","3.90"
"Mixed","North Tyneside","1.09"
"Mixed","South Tyneside","3.50"
"Mixed","Sunderland","2.23"
"Mixed","Isles Of Scilly","0.00"
"Mixed","Bath and North East Somerset","10.51"
"Mixed","Bristol City of","9.53"
"Mixed","North Somerset","4.10"
"Mixed","South Gloucestershire","9.84"
"Mixed","Hartlepool","6.95"
"Mixed","Middlesbrough","7.87"
"Mixed","Redcar and Cleveland","6.65"
"Mixed","Stockton-on-Tees","4.40"
"Mixed","Kingston upon Hull City of","1.71"
"Mixed","East Riding of Yorkshire","3.08"
"Mixed","North East Lincolnshire","10.10"
"Mixed","North Lincolnshire","3.28"
"Mixed","North Yorkshire","5.04"
"Mixed","York","4.35"
"Mixed","Luton","10.01"
"Mixed","Bedford","6.23"
"Mixed","Central Bedfordshire","6.19"
"Mixed","Buckinghamshire","6.69"
"Mixed","Milton Keynes","5.31"
"Mixed","Derbyshire","4.41"
"Mixed","Derby","6.52"
"Mixed","Dorset","6.66"
"Mixed","Poole","2.42"
"Mixed","Bournemouth","7.90"
"Mixed","Durham","1.86"
"Mixed","Darlington","7.18"
"Mixed","East Sussex","6.62"
"Mixed","Brighton and Hove","5.88"
"Mixed","Hampshire","4.33"
"Mixed","Portsmouth","10.34"
"Mixed","Southampton","4.90"
"Mixed","Leicestershire","4.53"
"Mixed","Leicester","6.22"
"Mixed","Rutland","2.07"
"Mixed","Staffordshire","7.20"
"Mixed","Stoke-on-Trent","10.13"
"Mixed","Wiltshire","6.17"
"Mixed","Swindon","5.87"
"Mixed","Bracknell Forest","6.61"
"Mixed","Windsor and Maidenhead","3.38"
"Mixed","West Berkshire","10.11"
"Mixed","Reading","11.19"
"Mixed","Slough","5.79"
"Mixed","Wokingham","3.86"
"Mixed","Cambridgeshire","5.04"
"Mixed","Peterborough","4.07"
"Mixed","Halton","1.07"
"Mixed","Warrington","1.64"
"Mixed","Devon","6.59"
"Mixed","Plymouth","3.26"
"Mixed","Torbay","6.68"
"Mixed","Essex","4.60"
"Mixed","Southend-on-Sea","4.11"
"Mixed","Thurrock","1.76"
"Mixed","Herefordshire","2.86"
"Mixed","Worcestershire","5.42"
"Mixed","Kent","4.18"
"Mixed","Medway","6.03"
"Mixed","Lancashire","4.62"
"Mixed","Blackburn with Darwen","3.83"
