"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"Asian","Wolverhampton","40","30","50"
"Asian","Worcestershire","27","15","39"
"Asian","York","73","!","!"
"Black","All - England","43","36","51"
"Black","Barking and Dagenham","39","29","47"
"Black","Barnet","55","50","59"
"Black","Barnsley","33","!","!"
"Black","Bath and North East Somerset","38","36","40"
"Black","Bedford","28","19","36"
"Black","Bexley","59","46","72"
"Black","Birmingham","39","27","50"
"Black","Blackburn with Darwen","20","!","!"
"Black","Blackpool","33","!","!"
"Black","Bolton","38","32","43"
"Black","Bournemouth","41","50","36"
"Black","Bracknell Forest","54","46","62"
"Black","Bradford","31","21","41"
"Black","Brent","44","40","49"
"Black","Brighton and Hove","46","41","53"
"Black","Bristol, City of","24","17","30"
"Black","Bromley","45","33","55"
"Black","Buckinghamshire","34","27","41"
"Black","Bury","50","35","69"
"Black","Calderdale","40","25","63"
"Black","Cambridgeshire","36","28","46"
"Black","Camden","40","35","43"
"Black","Central Bedfordshire","61","52","70"
"Black","Cheshire East","!","!","!"
"Black","Cheshire West and Chester","42","!","!"
"Black","City of London","N/A","N/A","N/A"
"Black","Cornwall","33","!","!"
"Black","County Durham","50","!","!"
"Black","Coventry","46","41","51"
"Black","Croydon","44","34","54"
"Black","Cumbria","46","!","!"
"Black","Darlington","!","!","N/A"
"Black","Derby","22","15","28"
"Black","Derbyshire","!","!","!"
"Black","Devon","50","43","57"
"Black","Doncaster","43","41","44"
"Black","Dorset","33","!","!"
"Black","Dudley","43","36","50"
"Black","Ealing","49","44","54"
"Black","East Riding of Yorkshire","!","!","!"
"Black","East Sussex","36","!","!"
"Black","Enfield","50","46","54"
"Black","Essex","55","47","62"
"Black","Gateshead","36","!","!"
"Black","Gloucestershire","18","11","26"
"Black","Greenwich","52","47","58"
"Black","Hackney","49","38","57"
"Black","Halton","!","!","!"
"Black","Hammersmith and Fulham","55","53","58"
"Black","Hampshire","44","34","55"
"Black","Haringey","30","23","38"
"Black","Harrow","53","44","62"
"Black","Hartlepool","!","!","!"
"Black","Havering","56","50","62"
"Black","Herefordshire, County of","!","!","!"
"Black","Hertfordshire","51","44","57"
"Black","Hillingdon","42","36","48"
"Black","Hounslow","54","52","55"
"Black","Isle of Wight","N/A","N/A","N/A"
"Black","Isles of Scilly","N/A","N/A","N/A"
"Black","Islington","47","47","48"
"Black","Kensington and Chelsea","43","41","47"
"Black","Kent","54","46","61"
"Black","Kingston upon Hull, City of","44","50","39"
"Black","Kingston upon Thames","45","42","50"
"Black","Kirklees","26","14","37"
"Black","Knowsley","!","!","!"
"Black","Lambeth","51","43","59"
"Black","Lancashire","32","38","24"
"Black","Leeds","37","33","41"
"Black","Leicester","31","26","36"
"Black","Leicestershire","21","15","29"
"Black","Lewisham","38","30","47"
"Black","Lincolnshire","44","33","56"
"Black","Liverpool","42","37","48"
"Black","Luton","35","38","33"
"Black","Manchester","32","24","42"
"Black","Medway","44","30","54"
"Black","Merton","31","26","37"
"Black","Middlesbrough","27","!","!"
"Black","Milton Keynes","54","47","62"
"Black","Newcastle upon Tyne","35","18","51"
"Black","Newham","48","44","53"
"Black","Norfolk","43","33","58"
"Black","North East Lincolnshire","!","!","!"
"Black","North Lincolnshire","36","!","!"
"Black","North Somerset","20","!","!"
"Black","North Tyneside","73","!","!"
"Black","North Yorkshire","44","40","50"
"Black","Northamptonshire","45","34","56"
"Black","Northumberland","!","!","!"
"Black","Nottingham","31","23","39"
"Black","Nottinghamshire","55","49","61"
"Black","Oldham","15","14","16"
"Black","Oxfordshire","32","22","45"
"Black","Peterborough","51","43","61"
"Black","Plymouth","50","!","!"
"Black","Poole","!","!","!"
"Black","Portsmouth","46","53","38"
"Black","Reading","23","18","28"
"Black","Redbridge","32","25","38"
"Black","Redcar and Cleveland","!","!","!"
"Black","Richmond upon Thames","48","42","54"
"Black","Rochdale","37","32","41"
"Black","Rotherham","50","35","67"
"Black","Rutland","!","!","!"
"Black","Salford","47","49","46"
"Black","Sandwell","21","16","26"
"Black","Sefton","60","63","57"
"Black","Sheffield","38","32","44"
"Black","Shropshire","!","!","!"
"Black","Slough","27","24","31"
"Black","Solihull","44","29","58"
"Black","Somerset","29","!","!"
"Black","South Gloucestershire","26","17","43"
"Black","South Tyneside","!","!","!"
"Black","Southampton","43","52","36"
"Black","Southend-on-Sea","62","59","66"
"Black","Southwark","58","48","67"
"Black","St. Helens","!","!","!"
"Black","Staffordshire","32","21","39"
"Black","Stockport","38","29","57"
"Black","Stockton-on-Tees","!","38","!"
"Black","Stoke-on-Trent","38","31","46"
"Black","Suffolk","25","12","36"
"Black","Sunderland","63","!","!"
"Black","Surrey","49","41","60"
"Black","Sutton","64","59","68"
"Black","Swindon","36","38","33"
"Black","Tameside","29","24","33"
"Black","Telford and Wrekin","39","33","47"
"Black","Thurrock","51","47","54"
"Black","Torbay","!","!","!"
"Black","Tower Hamlets","44","41","46"
"Black","Trafford","36","28","44"
"Black","Wakefield","21","!","!"
"Black","Walsall","37","27","50"
"Black","Waltham Forest","32","22","41"
"Black","Wandsworth","53","41","66"
"Black","Warrington","43","!","!"
"Black","Warwickshire","32","14","45"
"Black","West Berkshire","32","39","25"
"Black","West Sussex","34","28","41"
"Black","Westminster","44","32","58"
"Black","Wigan","69","!","!"
"Black","Wiltshire","40","27","56"
"Black","Windsor and Maidenhead","35","!","!"
"Black","Wirral","!","!","!"
"Black","Wokingham","47","41","53"
"Black","Wolverhampton","20","19","20"
"Black","Worcestershire","20","!","!"
"Black","York","67","!","!"
"Chinese","All - England","64","57","71"
"Chinese","Barking and Dagenham","!","!","!"
"Chinese","Barnet","78","71","84"
"Chinese","Barnsley","N/A","N/A","N/A"
"Chinese","Bath and North East Somerset","!","!","!"
"Chinese","Bedford","!","!","!"
"Chinese","Bexley","73","68","78"
"Chinese","Birmingham","67","48","83"
"Chinese","Blackburn with Darwen","!","!","N/A"
"Chinese","Blackpool","!","!","!"
"Chinese","Bolton","57","!","!"
"Chinese","Bournemouth","!","!","!"
"Chinese","Bracknell Forest","!","!","!"
"Chinese","Bradford","!","N/A","!"
"Chinese","Brent","!","!","!"
"Chinese","Brighton and Hove","100","!","!"
"Chinese","Bristol, City of","33","!","!"
"Chinese","Bromley","72","!","!"
"Chinese","Buckinghamshire","67","!","!"
"Chinese","Bury","!","!","!"
"Chinese","Calderdale","!","!","!"
"Chinese","Cambridgeshire","77","59","100"
"Chinese","Camden","!","!","!"
"Chinese","Central Bedfordshire","50","!","!"
"Chinese","Cheshire East","60","!","!"
