"Title","Phonics attainments for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"

"Ethnicity","Local authority","%"
"Mixed","Southampton","85"
"Mixed","Surrey","86"
"Mixed","West Berkshire","78"
"Mixed","West Sussex","79"
"Mixed","Windsor and Maidenhead","83"
"Mixed","Wokingham","84"
"Mixed","Bath and North East Somerset","80"
"Mixed","Bournemouth","87"
"Mixed","Bristol, City of","76"
"Mixed","Cornwall","81"
"Mixed","Devon","81"
"Mixed","Dorset","80"
"Mixed","Gloucestershire","82"
"Mixed","Isles of Scilly","!"
"Mixed","North Somerset","80"
"Mixed","Plymouth","82"
"Mixed","Poole","81"
"Mixed","Somerset","75"
"Mixed","South Gloucestershire","82"
"Mixed","Swindon","83"
"Mixed","Torbay","88"
"Mixed","Wiltshire","80"
"White","County Durham","82"
"White","Darlington","86"
"White","Gateshead","80"
"White","Hartlepool","85"
"White","Middlesbrough","74"
"White","Newcastle upon Tyne","81"
"White","North Tyneside","81"
"White","Northumberland","84"
"White","Redcar and Cleveland","82"
"White","South Tyneside","81"
"White","Stockton-on-Tees","84"
"White","Sunderland","81"
"White","Blackburn with Darwen","77"
"White","Blackpool","80"
"White","Bolton","79"
"White","Bury","83"
"White","Cheshire East","83"
"White","Cheshire West and Chester","80"
"White","Cumbria","77"
"White","Halton","76"
"White","Knowsley","78"
"White","Lancashire","81"
"White","Liverpool","76"
"White","Manchester","78"
"White","Oldham","78"
"White","Rochdale","83"
"White","Salford","79"
"White","Sefton","78"
"White","St. Helens","79"
"White","Stockport","82"
"White","Tameside","77"
"White","Trafford","87"
"White","Warrington","83"
"White","Wigan","83"
"White","Wirral","80"
"White","Barnsley","79"
"White","Bradford","78"
"White","Calderdale","82"
"White","Doncaster","77"
"White","East Riding of Yorkshire","81"
"White","Kingston upon Hull, City of","77"
"White","Kirklees","78"
"White","Leeds","77"
"White","North East Lincolnshire","79"
"White","North Lincolnshire","83"
"White","North Yorkshire","78"
"White","Rotherham","79"
"White","Sheffield","78"
"White","Wakefield","76"
"White","York","82"
"White","Derby","78"
"White","Derbyshire","79"
"White","Leicester","71"
"White","Leicestershire","80"
"White","Lincolnshire","83"
"White","Northamptonshire","81"
"White","Nottingham","74"
"White","Nottinghamshire","77"
"White","Rutland","85"
"White","Birmingham","78"
"White","Coventry","77"
"White","Dudley","79"
"White","Herefordshire, County of","81"
"White","Sandwell","78"
"White","Shropshire","81"
"White","Solihull","83"
"White","Staffordshire","83"
"White","Stoke-on-Trent","80"
"White","Telford and Wrekin","84"
"White","Walsall","82"
"White","Warwickshire","82"
"White","Wolverhampton","77"
"White","Worcestershire","81"
"White","Bedford","75"
"White","Cambridgeshire","78"
"White","Central Bedfordshire","80"
"White","Essex","81"
"White","Hertfordshire","82"
"White","Luton","77"
"White","Norfolk","78"
"White","Peterborough","75"
"White","Southend-on-Sea","80"
"White","Suffolk","79"
"White","Thurrock","81"
"White","Camden","80"
"White","City of London","!"
"White","Hackney","86"
"White","Hammersmith and Fulham","86"
"White","Haringey","82"
"White","Islington","81"
"White","Kensington and Chelsea","88"
"White","Lambeth","85"
"White","Lewisham","84"
"White","Newham","84"
"White","Southwark","84"
"White","Tower Hamlets","77"
"White","Wandsworth","87"
"White","Westminster","88"
"White","Barking and Dagenham","77"
"White","Barnet","83"
"White","Bexley","82"
"White","Brent","83"
"White","Bromley","85"
"White","Croydon","78"
"White","Ealing","84"
"White","Enfield","76"
"White","Greenwich","82"
"White","Harrow","79"
"White","Havering","84"
"White","Hillingdon","79"
"White","Hounslow","83"
"White","Kingston upon Thames","87"
"White","Merton","78"
"White","Redbridge","75"
"White","Richmond upon Thames","89"
"White","Sutton","81"
"White","Waltham Forest","82"
"White","Bracknell Forest","83"
"White","Brighton and Hove","80"
"White","Buckinghamshire","82"
"White","East Sussex","81"
"White","Hampshire","81"
"White","Isle of Wight","76"
"White","Kent","81"
"White","Medway","81"
"White","Milton Keynes","78"
"White","Oxfordshire","80"
"White","Portsmouth","81"
"White","Reading","77"
"White","Slough","75"
"White","Southampton","81"
"White","Surrey","82"
"White","West Berkshire","80"
"White","West Sussex","77"
"White","Windsor and Maidenhead","80"
"White","Wokingham","82"
"White","Bath and North East Somerset","79"
"White","Bournemouth","80"
"White","Bristol, City of","80"
"White","Cornwall","80"
"White","Devon","82"
"White","Dorset","80"
"White","Gloucestershire","80"
"White","Isles of Scilly","!"
"White","North Somerset","83"
"White","Plymouth","80"
"White","Poole","83"
"White","Somerset","79"
"White","South Gloucestershire","81"
"White","Swindon","76"
"White","Torbay","81"
"White","Wiltshire","78"
