"Title","Apprenticeship starts by ethnicity"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","Apprenticeship statistics https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value"
"All England apprenticeship starts","2014/15","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","21510"
"All England apprenticeship starts","2014/15","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","4380"
"All England apprenticeship starts","2014/15","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","499900"
"All England apprenticeship starts","2014/15","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","53190"
"All England apprenticeship starts","2015/16","Academic Year","White","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","448830"
"All England apprenticeship starts","2015/16","Academic Year","Other","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","3500"
"All England apprenticeship starts","2015/16","Academic Year","Mixed","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","11100"
"All England apprenticeship starts","2015/16","Academic Year","Black","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","17500"
"All England apprenticeship starts","2015/16","Academic Year","Asian","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","21380"
"All England apprenticeship starts","2015/16","Academic Year","Unknown","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","7060"
"All England apprenticeship starts","2015/16","Academic Year","All England ","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","509400"
"All England apprenticeship starts","2015/16","Academic Year","Ethnic minority (excl. White minorities)","ONS 5+1","K02000001","ONS geography code","All","Male/Female/All","16+","Labour force age brackets","53480  "
