"Title","Number of arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2015/2016"
"Data source","Arrests open data https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Value2","Notes"
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","30260","2248123","13.46","0.7989",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","8496","632822","13.43","0.8549",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area","13258","995998","13.31","0.9548",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Kent","Police Force Area","22695","1727665","13.14","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","188","14351","13.1","0.0123",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Sussex","Police Force Area","20785","1606932","12.93","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","9173","713653","12.85","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","290","22581","12.84","0.0292",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area","695","54186","12.83","0.0327",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","13187","1032327","12.77","0.8788",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","134","10522","12.74","0.0259",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","9652","769206","12.55","0.9654",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area","24075","1919138","12.54","0.662",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area","70","5657","12.37","0.0054",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Hampshire","Police Force Area","23227","1897991","12.24","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area","499","40865","12.21","0.0261",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","16372","1343601","12.19","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","75","6190","12.12","0.0086",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","393","32586","12.06","0.011",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area","125","10423","11.99","0.009",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","8350","696484","11.99","0.9573",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area","117","9809","11.93","0.0116",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","8622","726531","11.87","0.8009",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area","637","54037","11.79","0.0584",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area","74","6336","11.68","0.005",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","14187","1217653","11.65","0.8711",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","359","30874","11.63","0.0096",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","239","20791","11.5","0.0147",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area","1249","108784","11.48","0.0563",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Humberside","Police Force Area","10502","917647","11.44","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area","9415","828018","11.37","0.9311",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area","722","63498","11.37","0.0199",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area","10041","885279","11.34","0.9592",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","107","9467","11.3","0.007",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","112","9914","11.3","0.0112",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area","28","2504","11.18","0.0041",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area","17975","1607681","11.18","0.8462",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area","19796","1771378","11.18","0.8918",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area","211","18889","11.17","0.0083",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","83","7456","11.13","0.0083",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area","16641","1505433","11.05","0.8688",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area","51","4670","10.92","0.0071",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area","133","12191","10.91","0.0127",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","189","17379","10.88","0.0278",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","5561","515114","10.8","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","46","4274","10.76","0.0083",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","571","53504","10.67","0.0151",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","5370","504714","10.64","0.9726",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","West Mercia","Police Force Area","12935","1222416","10.58","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area","57","5425","10.51","0.0056",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","239","22747","10.51","0.0452",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area","5094","493551","10.32","0.1401",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","6996","680137","10.29","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area","112","10972","10.21","0.0155",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","55","5444","10.1","0.0055",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Surrey","Police Force Area","11233","1132390","9.92","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area","11664","1176516","9.91","0.9052",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","152","15380","9.88","0.0062",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","5345","545474","9.8","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","39","4006","9.74","0.0057",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","9853","1017697","9.68","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area","548","57352","9.56","0.0247",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","236","24745","9.54","0.0145",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","5990","642869","9.32","0.8809",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area","6441","693195","9.29","0.8932",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","15459","1668218","9.27","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area","193","20911","9.23","0.0087",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","30","3262","9.2","0.0054",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","7254","797704","9.09","0.749",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area","45","4950","9.09","0.003",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","4583","505688","9.06","0.867",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","14559","1627306","8.95","0.9477",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","5339","596984","8.94","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area","9111","1023682","8.9","0.835",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","54","6233","8.66","0.0054",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area","234","27635","8.47","0.0255",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area","151","18687","8.08","0.0138",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","4527","569647","7.95","0.8746",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","1185","155740","7.61","0.1224",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area","296","38954","7.6","0.0322",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Dyfed-Powys","Police Force Area","15","2008","7.47","0.0027",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area","92","15374","5.98","0.01",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area","7912","1608308","4.92","0.8618",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area","36","7493","4.8","0.0034",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","85","19110","4.45","0.0088",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area","78","17871","4.36","0.0029",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area","44","10397","4.23","0.002",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","-","16029","-","0",""
