"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","67"," 5,139 ","NA","NA","","63"," 2,596 ","","71"," 2,543 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","65"," 2,376 ","NA","NA","","60"," 1,172 ","","69"," 1,204 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Essex","Local Authority","E10000012","All pupils","All pupils","64"," 13,142 ","NA","NA","","60"," 6,723 ","","67"," 6,419 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","69"," 10,336 ","NA","NA","","65"," 5,354 ","","74"," 4,982 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Luton","Local Authority","E06000032","All pupils","All pupils","52"," 937 ","NA","NA","","48"," 496 ","","57"," 441 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Norfolk","Local Authority","E10000020","All pupils","All pupils","61"," 7,551 ","NA","NA","","58"," 3,880 ","","64"," 3,671 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Peterborough","Local Authority","E06000031","All pupils","All pupils","54"," 1,698 ","NA","NA","","50"," 841 ","","59"," 857 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","67"," 1,649 ","NA","NA","","63"," 813 ","","70"," 836 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Suffolk","Local Authority","E10000029","All pupils","All pupils","60"," 6,440 ","NA","NA","","57"," 3,326 ","","64"," 3,114 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Thurrock","Local Authority","E06000034","All pupils","All pupils","59"," 1,385 ","NA","NA","","54"," 700 ","","64"," 685 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Camden","Local Authority","E09000007","All pupils","All pupils","65"," 549 ","NA","NA","","55"," 233 ","","72"," 316 ",""
