"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Medway","Local Authority","E06000035","All pupils","All pupils","50","2967","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","49","2800","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","50","5975","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Portsmouth","Local Authority","E06000044","All pupils","All pupils","46","1729","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Reading","Local Authority","E06000038","All pupils","All pupils","51","1169","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Slough","Local Authority","E06000039","All pupils","All pupils","55","1632","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Southampton","Local Authority","E06000045","All pupils","All pupils","48","1952","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Surrey","Local Authority","E10000030","All pupils","All pupils","53","10399","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","West Berkshire","Local Authority","E06000037","All pupils","All pupils","51","1906","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","West Sussex","Local Authority","E10000032","All pupils","All pupils","51","8118","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","53","1470","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Wokingham","Local Authority","E06000041","All pupils","All pupils","54","1601","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","52","2022","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bournemouth","Local Authority","E06000028","All pupils","All pupils","51","1617","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","48","3138","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Cornwall","Local Authority","E06000052","All pupils","All pupils","50","5432","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Devon","Local Authority","E10000008","All pupils","All pupils","51","6971","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Dorset","Local Authority","E10000009","All pupils","All pupils","50","4153","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","52","6385","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","50","23","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","North Somerset","Local Authority","E06000024","All pupils","All pupils","50","2176","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Plymouth","Local Authority","E06000026","All pupils","All pupils","48","2640","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Poole","Local Authority","E06000029","All pupils","All pupils","53","1438","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Somerset","Local Authority","E10000027","All pupils","All pupils","50","5137","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","48","2770","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Swindon","Local Authority","E06000030","All pupils","All pupils","48","2109","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Torbay","Local Authority","E06000027","All pupils","All pupils","51","1511","NA","NA"
