"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southend-on-Sea","Local Authority","E06000033","Boys","All pupils","52","1024","NA","NA","55","1023","NA","NA","","54","2047"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Suffolk","Local Authority","E10000029","Boys","All pupils","47","3661","NA","NA","51","3497","NA","NA","","49","7158"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Thurrock","Local Authority","E06000034","Boys","All pupils","46","862","NA","NA","51","859","NA","NA","","48","1721"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Camden","Local Authority","E09000007","Boys","All pupils","46","605","NA","NA","54","817","NA","NA","","51","1422"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","City of London","Local Authority","E09000001","Boys","All pupils","N/A","N/A","NA","NA","N/A","N/A","NA","NA","Not applicable","N/A","N/A"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hackney","Local Authority","E09000012","Boys","All pupils","50","916","NA","NA","55","1122","NA","NA","","53","2038"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hammersmith and Fulham","Local Authority","E09000013","Boys","All pupils","51","649","NA","NA","57","701","NA","NA","","54","1350"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Haringey","Local Authority","E09000014","Boys","All pupils","48","1112","NA","NA","53","1119","NA","NA","","50","2231"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Islington","Local Authority","E09000019","Boys","All pupils","50","761","NA","NA","52","636","NA","NA","","51","1397"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kensington and Chelsea","Local Authority","E09000020","Boys","All pupils","56","430","NA","NA","57","310","NA","NA","","57","740"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lambeth","Local Authority","E09000022","Boys","All pupils","47","970","NA","NA","52","917","NA","NA","","50","1887"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Lewisham","Local Authority","E09000023","Boys","All pupils","44","1236","NA","NA","51","1098","NA","NA","","48","2334"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Newham","Local Authority","E09000025","Boys","All pupils","49","1780","NA","NA","53","1709","NA","NA","","51","3489"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southwark","Local Authority","E09000028","Boys","All pupils","51","1141","NA","NA","55","1245","NA","NA","","53","2386"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Tower Hamlets","Local Authority","E09000030","Boys","All pupils","49","1294","NA","NA","52","1276","NA","NA","","50","2570"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wandsworth","Local Authority","E09000032","Boys","All pupils","51","872","NA","NA","54","788","NA","NA","","52","1660"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Westminster","Local Authority","E09000033","Boys","All pupils","51","763","NA","NA","58","803","NA","NA","","55","1566"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barking and Dagenham","Local Authority","E09000002","Boys","All pupils","48","1110","NA","NA","52","1091","NA","NA","","50","2201"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Barnet","Local Authority","E09000003","Boys","All pupils","55","1856","NA","NA","58","1791","NA","NA","","56","3647"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bexley","Local Authority","E09000004","Boys","All pupils","50","1641","NA","NA","55","1551","NA","NA","","52","3192"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Brent","Local Authority","E09000005","Boys","All pupils","49","1515","NA","NA","54","1520","NA","NA","","52","3035"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bromley","Local Authority","E09000006","Boys","All pupils","52","1587","NA","NA","55","1718","NA","NA","","54","3305"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Croydon","Local Authority","E09000008","Boys","All pupils","45","1885","NA","NA","52","1959","NA","NA","","49","3844"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Ealing","Local Authority","E09000009","Boys","All pupils","49","1427","NA","NA","54","1354","NA","NA","","51","2781"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Enfield","Local Authority","E09000010","Boys","All pupils","48","1808","NA","NA","53","1771","NA","NA","","50","3579"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Greenwich","Local Authority","E09000011","Boys","All pupils","48","1093","NA","NA","52","1111","NA","NA","","50","2204"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Harrow","Local Authority","E09000015","Boys","All pupils","51","1063","NA","NA","56","1064","NA","NA","","53","2127"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Havering","Local Authority","E09000016","Boys","All pupils","48","1481","NA","NA","52","1436","NA","NA","","50","2917"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hillingdon","Local Authority","E09000017","Boys","All pupils","49","1637","NA","NA","53","1499","NA","NA","","51","3136"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hounslow","Local Authority","E09000018","Boys","All pupils","49","1354","NA","NA","54","1313","NA","NA","","51","2667"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kingston upon Thames","Local Authority","E09000021","Boys","All pupils","57","703","NA","NA","60","812","NA","NA","","58","1515"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Merton","Local Authority","E09000024","Boys","All pupils","50","731","NA","NA","55","709","NA","NA","","52","1440"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Redbridge","Local Authority","E09000026","Boys","All pupils","52","1747","NA","NA","57","1616","NA","NA","","54","3363"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Richmond upon Thames","Local Authority","E09000027","Boys","All pupils","52","638","NA","NA","57","729","NA","NA","","55","1367"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sutton","Local Authority","E09000029","Boys","All pupils","57","1370","NA","NA","60","1297","NA","NA","","59","2667"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Waltham Forest","Local Authority","E09000031","Boys","All pupils","48","1259","NA","NA","53","1280","NA","NA","","50","2539"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bracknell Forest","Local Authority","E06000036","Boys","All pupils","49","548","NA","NA","53","528","NA","NA","","51","1076"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Brighton and Hove","Local Authority","E06000043","Boys","All pupils","49","1094","NA","NA","52","1045","NA","NA","","50","2139"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Buckinghamshire","Local Authority","E10000002","Boys","All pupils","54","2836","NA","NA","57","2786","NA","NA","","55","5622"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","East Sussex","Local Authority","E10000011","Boys","All pupils","47","2500","NA","NA","52","2430","NA","NA","","49","4930"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hampshire","Local Authority","E10000014","Boys","All pupils","49","6758","NA","NA","53","6343","NA","NA","","51","13101"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Isle of Wight","Local Authority","E06000046","Boys","All pupils","40","674","NA","NA","47","631","NA","NA","","44","1305"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kent","Local Authority","E10000016","Boys","All pupils","48","7996","NA","NA","53","7731","NA","NA","","50","15727"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Medway","Local Authority","E06000035","Boys","All pupils","48","1508","NA","NA","52","1459","NA","NA","","50","2967"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Milton Keynes","Local Authority","E06000042","Boys","All pupils","47","1420","NA","NA","51","1380","NA","NA","","49","2800"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Oxfordshire","Local Authority","E10000025","Boys","All pupils","48","3053","NA","NA","53","2922","NA","NA","","50","5975"
