"Title","Internet use"
"Location","UK"
"Time period","January to March 2017"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/businessindustryandtrade/itandinternetindustry/bulletins/internetusers/2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","55-64","90.0","89.4","90.7","6,882"," 6,831 "," 6,932 ",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","65-74","77.5","76.6","78.4","5,028"," 4,967 "," 5,089 ",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","75+","40.5","38.6","42.5","2,050"," 1,951 "," 2,150 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","16-24","99.2","99.0","99.5","5,792"," 5,777 "," 5,807 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","25-34","99.3","99.1","99.5","7,324"," 7,308 "," 7,339 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","35-44","98.6","98.3","98.9","6,711"," 6,692 "," 6,730 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","45-54","96.4","96.0","96.8","7,802"," 7,769 "," 7,835 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","55-64","90.8","90.2","91.5","6,400"," 6,354 "," 6,447 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","65-74","78.1","77.1","79.0","4,869"," 4,810 "," 4,928 ",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","75+","41.0","38.9","43.0","1,987"," 1,889 "," 2,085 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","99.3","98.2","?","346"," 343 "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","98.1","96.5","99.7","412"," 405 "," 418 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","98.7","97.5","?","325"," 321 "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","94.9","91.7","98.1","194"," 188 "," 201 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","89.0","83.1","95.0","102"," 96 "," 109 ",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","98.9","98.0","99.9"," 604 "," 599 "," 610 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","98.7","97.9","99.6"," 799 "," 792 "," 806 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","96.7","95.4","98.0"," 762 "," 752 "," 773 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","93.0","90.7","95.3"," 490 "," 477 "," 502 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","73.1","68.0","78.2"," 229 "," 213 "," 245 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","62.0","54.6","69.4"," 95 "," 84 "," 107 ",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","75+","28.6","18.4","38.8"," 26 "," 17 "," 36 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16-24","99.1","97.8","?"," 291 "," 287 "," ? ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","25-34","97.3","95.1","99.6"," 275 "," 269 "," 281 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","35-44","98.3","96.9","99.8"," 312 "," 307 "," 317 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","45-54","96.9","94.9","99.0"," 315 "," 308 "," 321 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","55-64","88.4","83.2","93.5"," 150 "," 141 "," 158 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","65-74","55.8","42.1","69.5"," 28 "," 21 "," 34 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","75+","31.0","15.2","46.9"," 24 "," 12 "," 36 ",""
