"Title","Percentage of homeless households by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","23 March 2017"

"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Geography","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Wellingborough","!","!","12","14","5","6","83","100","!","!","!","!"
"Welwyn Hatfield","!","!","25","33","!","!","67","89","!","!","!","!"
"West Berkshire","!","!","!","!","!","!","85","22","!","!","!","!"
"West Devon","!","!","!","!","!","!","97","33","!","!","!","!"
"West Dorset","!","!","!","!","!","!","79","23","!","!","!","!"
"West Lancashire","!","!","!","!","!","!","90","28","!","!","!","!"
"West Lindsey","!","!","!","!","!","!","98","64","!","!","!","!"
"West Oxfordshire","!","!","!","!","!","!","97","60","!","!","!","!"
"West Somerset","!","!","!","!","!","!","!","!","!","!","!","!"
"Westminster","10","56","20","107","5","29","28","149","32","171","4","22"
"Weymouth and Portland","!","!","!","!","!","!","90","47","!","!","!","!"
"Wigan","!","!","3","5","!","!","64","115","3","5","28","51"
"Wiltshire","!","!","6","16","!","!","90","241","3","8","!","!"
"Winchester","!","!","!","!","!","!","93","43","!","!","!","!"
"Windsor and Maidenhead","!","!","!","!","!","!","96","23","!","!","!","!"
"Wirral","!","!","!","!","!","!","93","51","!","!","!","!"
"Woking","21","15","10","7","!","!","66","46","!","!","!","!"
"Wokingham","10","11","!","!","!","!","81","92","!","!","!","!"
"Wolverhampton","10","41","18","74","6","25","59","244","4","16","3","12"
"Worcester","7","10","3","5","4","6","86","131","!","!","!","!"
"Worthing","!","!","7","6","!","!","92","81","!","!","!","!"
"Wychavon","!","!","!","!","!","!","96","127","!","!","!","!"
"Wycombe","19","23","12","15","6","7","58","70","!","!","!","!"
"Wyre","!","!","!","!","!","!","!","!","!","!","!","!"
"Wyre Forest","!","!","!","!","!","!","95","160","!","!","!","!"
"York","!","!","!","!","!","!","91","88","!","!","5","5"
