"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Stop and Search open data
  https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/561980/stop-search-open-data-tables-ppp.ods"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)"
"Asian","ONS 2001 5+1","Staffordshire","Police Force Area","246"," 3,847 ","35148","7.00","6.4%"
"Black","ONS 2001 5+1","Staffordshire","Police Force Area","149"," 3,847 ","8551","17.42","3.9%"
"Other","ONS 2001 5+1","Staffordshire","Police Force Area","13"," 3,847 ","7376","1.76","0.3%"
"Mixed","ONS 2001 5+1","Staffordshire","Police Force Area","97"," 3,847 ","14095","6.88","2.5%"
"White","ONS 2001 5+1","Suffolk","Police Force Area","2,184"," 2,530 ","693195","3.15","86.3%"
"Asian","ONS 2001 5+1","Suffolk","Police Force Area","60"," 2,530 ","10972","5.47","2.4%"
"Black","ONS 2001 5+1","Suffolk","Police Force Area","174"," 2,530 ","6854","25.39","6.9%"
"Other","ONS 2001 5+1","Suffolk","Police Force Area","19"," 2,530 ","4670","4.07","0.8%"
"Mixed","ONS 2001 5+1","Suffolk","Police Force Area","93"," 2,530 ","12472","7.46","3.7%"
"White","ONS 2001 5+1","Surrey","Police Force Area","4,625"," 5,738 ","1023682","4.52","80.6%"
"Asian","ONS 2001 5+1","Surrey","Police Force Area","403"," 5,738 ","54037","7.46","7.0%"
"Black","ONS 2001 5+1","Surrey","Police Force Area","473"," 5,738 ","12430","38.05","8.2%"
"Other","ONS 2001 5+1","Surrey","Police Force Area","38"," 5,738 ","18687","2.03","0.7%"
"Mixed","ONS 2001 5+1","Surrey","Police Force Area","199"," 5,738 ","23554","8.45","3.5%"
"White","ONS 2001 5+1","Sussex","Police Force Area","6,516"," 7,660 ","1505433","4.33","85.1%"
"Asian","ONS 2001 5+1","Sussex","Police Force Area","261"," 7,660 ","40865","6.39","3.4%"
"Black","ONS 2001 5+1","Sussex","Police Force Area","631"," 7,660 ","14246","44.29","8.2%"
"Other","ONS 2001 5+1","Sussex","Police Force Area","71"," 7,660 ","16352","4.34","0.9%"
"Mixed","ONS 2001 5+1","Sussex","Police Force Area","181"," 7,660 ","30036","6.03","2.4%"
"White","ONS 2001 5+1","Thames Valley","Police Force Area","7,549"," 10,464 ","1919646","3.93","72.1%"
"Asian","ONS 2001 5+1","Thames Valley","Police Force Area","1,237"," 10,464 ","192541","6.42","11.8%"
"Black","ONS 2001 5+1","Thames Valley","Police Force Area","973"," 10,464 ","69013","14.10","9.3%"
"Other","ONS 2001 5+1","Thames Valley","Police Force Area","84"," 10,464 ","32586","2.58","0.8%"
"Mixed","ONS 2001 5+1","Thames Valley","Police Force Area","621"," 10,464 ","55986","11.09","5.9%"
"White","ONS 2001 5+1","Warwickshire","Police Force Area","2,757"," 3,235 ","505688","5.45","85.2%"
"Asian","ONS 2001 5+1","Warwickshire","Police Force Area","173"," 3,235 ","22747","7.61","5.3%"
"Black","ONS 2001 5+1","Warwickshire","Police Force Area","177"," 3,235 ","4443","39.84","5.5%"
"Other","ONS 2001 5+1","Warwickshire","Police Force Area","28"," 3,235 ","4647","6.03","0.9%"
"Mixed","ONS 2001 5+1","Warwickshire","Police Force Area","100"," 3,235 ","7949","12.58","3.1%"
"White","ONS 2001 5+1","West Mercia","Police Force Area","7,327"," 8,357 ","1176516","6.23","87.7%"
"Asian","ONS 2001 5+1","West Mercia","Police Force Area","528"," 8,357 ","21715","24.31","6.3%"
"Black","ONS 2001 5+1","West Mercia","Police Force Area","286"," 8,357 ","5062","56.50","3.4%"
"Other","ONS 2001 5+1","West Mercia","Police Force Area","27"," 8,357 ","5657","4.77","0.3%"
"Mixed","ONS 2001 5+1","West Mercia","Police Force Area","189"," 8,357 ","13466","14.04","2.3%"
"White","ONS 2001 5+1","West Midlands","Police Force Area","9,770"," 17,442 ","1919138","5.09","56.0%"
"Asian","ONS 2001 5+1","West Midlands","Police Force Area","4,006"," 17,442 ","493551","8.12","23.0%"
"Black","ONS 2001 5+1","West Midlands","Police Force Area","2,668"," 17,442 ","164069","16.26","15.3%"
"Other","ONS 2001 5+1","West Midlands","Police Force Area","38"," 17,442 ","63498","0.60","0.2%"
"Mixed","ONS 2001 5+1","West Midlands","Police Force Area","960"," 17,442 ","96204","9.98","5.5%"
"White","ONS 2001 5+1","West Yorkshire","Police Force Area","10,114"," 13,184 ","1819818","5.56","76.7%"
"Asian","ONS 2001 5+1","West Yorkshire","Police Force Area","2,188"," 13,184 ","280764","7.79","16.6%"
"Black","ONS 2001 5+1","West Yorkshire","Police Force Area","409"," 13,184 ","46476","8.80","3.1%"
"Other","ONS 2001 5+1","West Yorkshire","Police Force Area","51"," 13,184 ","30874","1.65","0.4%"
"Mixed","ONS 2001 5+1","West Yorkshire","Police Force Area","422"," 13,184 ","48126","8.77","3.2%"
"White","ONS 2001 5+1","Wiltshire","Police Force Area","2,081"," 2,405 ","642869","3.24","86.5%"
"Asian","ONS 2001 5+1","Wiltshire","Police Force Area","97"," 2,405 ","17379","5.58","4.0%"
"Black","ONS 2001 5+1","Wiltshire","Police Force Area","148"," 2,405 ","6089","24.31","6.2%"
"Other","ONS 2001 5+1","Wiltshire","Police Force Area","14"," 2,405 ","4006","3.49","0.6%"
"Mixed","ONS 2001 5+1","Wiltshire","Police Force Area","65"," 2,405 ","9794","6.64","2.7%"
"All","All","All - including BTP","Police Force Area","381896"," 347,016 ","56075912","6.81","100.0%"
"All","All","Avon & Somerset","Police Force Area","5598"," 4,929 ","1599555","3.50","100.0%"
"All","All","Bedfordshire","Police Force Area","2208"," 1,891 ","615061","3.59","100.0%"
"All","All","British Transport Police","Police Force Area","3716"," 3,001 ","N/A","N/A","N/A"
"All","All","Cambridgeshire","Police Force Area","3098"," 2,836 ","804841","3.85","100.0%"
"All","All","Cheshire","Police Force Area","5865"," 3,839 ","1027709","5.71","100.0%"
"All","All","Cleveland","Police Force Area","2746"," 2,717 ","557227","4.93","100.0%"
"All","All","Cumbria","Police Force Area","3600"," 3,490 ","499858","7.20","100.0%"
"All","All","Derbyshire","Police Force Area","3635"," 3,534 ","1018438","3.57","100.0%"
"All","All","Devon & Cornwall","Police Force Area","6116"," 5,765 ","1668218","3.67","100.0%"
"All","All","Dorset","Police Force Area","4979"," 4,278 ","744041","6.69","100.0%"
"All","All","Durham","Police Force Area","4449"," 4,433 ","618806","7.19","100.0%"
"All","All","Dyfed-Powys","Police Force Area","3810"," 3,632 ","515114","7.40","100.0%"
"All","All","Essex","Police Force Area","2418"," 2,200 ","1724950","1.40","100.0%"
"All","All","Gloucestershire","Police Force Area","2044"," 2,018 ","596984","3.42","100.0%"
"All","All","Greater Manchester","Police Force Area","4968"," 4,761 ","2682528","1.85","100.0%"
"All","All","Gwent","Police Force Area","1143"," 1,092 ","576754","1.98","100.0%"
"All","All","Hampshire","Police Force Area","11108"," 10,238 ","1897991","5.85","100.0%"
"All","All","Hertfordshire","Police Force Area","8028"," 7,162 ","1116062","7.19","100.0%"
"All","All","Humberside","Police Force Area","513"," 366 ","917647","0.56","100.0%"
"All","All","Kent","Police Force Area","7966"," 6,845 ","1727665","4.61","100.0%"
"All","All","Lancashire","Police Force Area","5596"," 5,472 ","1460893","3.83","100.0%"
