"Ethnicity","Geography name","%"
"Chinese","Westminster","2.1"
"Chinese","Wigan","2.5"
"Chinese","Wiltshire","2.8"
"Chinese","Windsor and Maidenhead","2.9"
"Chinese","Wirral","2.2"
"Chinese","Wokingham","2.6"
"Chinese","Wolverhampton","2.9"
"Chinese","Worcestershire","2.4"
"Chinese","York","2.9"
"Mixed","Barking and Dagenham","5.0"
"Mixed","Barnet","4.6"
"Mixed","Barnsley","4.4"
"Mixed","Bath and North East Somerset","5.4"
"Mixed","Bedford","5.4"
"Mixed","Bexley","4.5"
"Mixed","Birmingham","5.5"
"Mixed","Blackburn with Darwen","5.1"
"Mixed","Blackpool","5.4"
"Mixed","Bolton","5.4"
"Mixed","Bournemouth","5.0"
"Mixed","Bracknell Forest","4.5"
"Mixed","Bradford","6.0"
"Mixed","Brent","4.8"
"Mixed","Brighton and Hove","5.1"
"Mixed","Bristol, City of","5.6"
"Mixed","Bromley","4.4"
"Mixed","Buckinghamshire","4.9"
"Mixed","Bury","5.2"
"Mixed","Calderdale","4.9"
"Mixed","Cambridgeshire","4.4"
"Mixed","Camden","5.3"
"Mixed","Central Bedfordshire","4.7"
"Mixed","Cheshire East","4.6"
"Mixed","Cheshire West and Chester","4.6"
"Mixed","City of London","1.8"
"Mixed","Cornwall","5.1"
"Mixed","County Durham","5.4"
"Mixed","Coventry","5.0"
"Mixed","Croydon","4.3"
"Mixed","Cumbria","4.8"
"Mixed","Darlington","5.8"
"Mixed","Derby","4.9"
"Mixed","Derbyshire","4.7"
"Mixed","Devon","5.5"
"Mixed","Doncaster","4.5"
"Mixed","Dorset","5.6"
"Mixed","Dudley","4.3"
"Mixed","Ealing","4.8"
"Mixed","East Riding of Yorkshire","4.7"
"Mixed","East Sussex","5.4"
"Mixed","Enfield","4.9"
"Mixed","Essex","4.6"
"Mixed","Gateshead","3.9"
"Mixed","Gloucestershire","5.3"
"Mixed","Greenwich","4.8"
"Mixed","Hackney","4.8"
"Mixed","Halton","4.5"
"Mixed","Hammersmith and Fulham","4.9"
"Mixed","Hampshire","4.2"
"Mixed","Haringey","5.0"
"Mixed","Harrow","4.7"
"Mixed","Hartlepool","4.4"
"Mixed","Havering","5.1"
"Mixed","Herefordshire, County of","3.7"
"Mixed","Hertfordshire","4.7"
"Mixed","Hillingdon","4.3"
"Mixed","Hounslow","4.9"
"Mixed","Isle of Wight","5.1"
"Mixed","Isles of Scilly","2.3"
"Mixed","Islington","5.2"
"Mixed","Kensington and Chelsea","5.0"
"Mixed","Kent","4.4"
"Mixed","Kingston upon Hull, City of","4.5"
"Mixed","Kingston upon Thames","4.3"
"Mixed","Kirklees","5.3"
"Mixed","Knowsley","6.1"
"Mixed","Lambeth","5.1"
"Mixed","Lancashire","4.5"
"Mixed","Leeds","5.2"
"Mixed","Leicester","5.9"
"Mixed","Leicestershire","4.5"
"Mixed","Lewisham","5.0"
"Mixed","Lincolnshire","4.7"
"Mixed","Liverpool","5.5"
"Mixed","Luton","5.2"
"Mixed","Manchester","5.3"
"Mixed","Medway","4.6"
"Mixed","Merton","4.5"
"Mixed","Middlesbrough","5.5"
"Mixed","Milton Keynes","4.6"
"Mixed","Newcastle upon Tyne","4.1"
"Mixed","Newham","5.1"
"Mixed","Norfolk","4.9"
"Mixed","North East Lincolnshire","5.0"
"Mixed","North Lincolnshire","4.1"
"Mixed","North Somerset","4.9"
"Mixed","North Tyneside","4.4"
"Mixed","North Yorkshire","4.3"
"Mixed","Northamptonshire","4.8"
"Mixed","Northumberland","5.0"
"Mixed","Nottingham","5.4"
"Mixed","Nottinghamshire","4.6"
"Mixed","Oldham","5.6"
"Mixed","Oxfordshire","5.1"
"Mixed","Peterborough","4.8"
"Mixed","Plymouth","5.0"
"Mixed","Poole","4.6"
"Mixed","Portsmouth","4.8"
"Mixed","Reading","5.3"
"Mixed","Redbridge","4.6"
"Mixed","Redcar and Cleveland","4.8"
"Mixed","Richmond upon Thames","4.0"
"Mixed","Rochdale","4.9"
"Mixed","Rotherham","5.7"
"Mixed","Rutland","3.4"
"Mixed","Salford","4.1"
"Mixed","Sandwell","5.2"
"Mixed","Sefton","4.9"
"Mixed","Sheffield","5.7"
"Mixed","Shropshire","4.6"
"Mixed","Slough","4.4"
"Mixed","Solihull","5.6"
"Mixed","Somerset","5.0"
"Mixed","South Gloucestershire","5.2"
"Mixed","South Tyneside","4.8"
"Mixed","Southampton","4.6"
"Mixed","Southend-on-Sea","4.3"
"Mixed","Southwark","4.7"
"Mixed","St. Helens","4.4"
"Mixed","Staffordshire","4.9"
"Mixed","Stockport","5.0"
"Mixed","Stockton-on-Tees","5.1"
"Mixed","Stoke-on-Trent","5.5"
"Mixed","Suffolk","4.8"
"Mixed","Sunderland","4.7"
"Mixed","Surrey","4.1"
"Mixed","Sutton","4.4"
"Mixed","Swindon","5.1"
"Mixed","Tameside","4.5"
"Mixed","Telford and Wrekin","4.6"
"Mixed","Thurrock","4.1"
"Mixed","Torbay","5.3"
"Mixed","Tower Hamlets","5.2"
"Mixed","Trafford","4.4"
"Mixed","Wakefield","5.3"
"Mixed","Walsall","5.4"
"Mixed","Waltham Forest","5.1"
"Mixed","Wandsworth","5.0"
"Mixed","Warrington","4.5"
"Mixed","Warwickshire","4.4"
"Mixed","West Berkshire","4.6"
"Mixed","West Sussex","4.7"
"Mixed","Westminster","4.9"
"Mixed","Wigan","4.4"
"Mixed","Wiltshire","5.0"
"Mixed","Windsor and Maidenhead","4.0"
"Mixed","Wirral","5.0"
"Mixed","Wokingham","4.4"
"Mixed","Wolverhampton","5.4"
"Mixed","Worcestershire","4.7"
"Mixed","York","4.6"
"White","Barking and Dagenham","5.6"
"White","Barnet","4.4"
"White","Barnsley","5.1"
"White","Bath and North East Somerset","4.7"
"White","Bedford","4.5"
"White","Bexley","5.0"
"White","Birmingham","5.4"
"White","Blackburn with Darwen","5.0"
"White","Blackpool","4.9"
"White","Bolton","5.0"
"White","Bournemouth","5.0"
"White","Bracknell Forest","4.2"
"White","Bradford","5.3"
"White","Brent","4.6"
"White","Brighton and Hove","5.1"
"White","Bristol, City of","5.3"
"White","Bromley","4.4"
"White","Buckinghamshire","4.4"
"White","Bury","4.7"
"White","Calderdale","4.3"
"White","Cambridgeshire","4.4"
"White","Camden","5.2"
"White","Central Bedfordshire","4.7"
"White","Cheshire East","4.3"
"White","Cheshire West and Chester","4.6"
"White","City of London","2.4"
"White","Cornwall","4.8"
"White","County Durham","5.1"
"White","Coventry","5.1"
"White","Croydon","4.7"
"White","Cumbria","5.3"
"White","Darlington","5.1"
"White","Derby","4.5"
"White","Derbyshire","4.5"
"White","Devon","5.6"
"White","Doncaster","4.9"
"White","Dorset","4.9"
"White","Dudley","4.8"
"White","Ealing","4.6"
"White","East Riding of Yorkshire","4.5"
"White","East Sussex","5.3"
"White","Enfield","5.2"
"White","Essex","4.6"
"White","Gateshead","4.6"
"White","Gloucestershire","4.7"
"White","Greenwich","5.4"
"White","Hackney","4.6"
"White","Halton","5.0"
"White","Hammersmith and Fulham","4.7"
"White","Hampshire","4.3"
"White","Haringey","4.7"
"White","Harrow","4.6"
"White","Hartlepool","5.2"
"White","Havering","5.1"
"White","Herefordshire, County of","4.5"
"White","Hertfordshire","4.5"
"White","Hillingdon","5.7"
"White","Hounslow","5.1"
"White","Isle of Wight","4.9"
"White","Isles of Scilly","4.8"
"White","Islington","5.4"
"White","Kensington and Chelsea","4.8"
"White","Kent","5.0"
"White","Kingston upon Hull, City of","5.2"
"White","Kingston upon Thames","4.1"
"White","Kirklees","4.3"
"White","Knowsley","5.8"
"White","Lambeth","4.5"
"White","Lancashire","4.2"
"White","Leeds","4.9"
"White","Leicester","6.0"
"White","Leicestershire","4.5"
"White","Lewisham","5.1"
"White","Lincolnshire","4.8"
"White","Liverpool","5.7"
