"Title","A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 4 statistics"
"Department","Department for Education"
"Last update","19 January 2017 (revised)"
"
"
Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Value,Denominator
Percentage achieving A*-C in English & mathematics,2025,Academic year,All pupils,All pupils,South West,Region,E12000009,All pupils,All pupils,64,52421
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,All - England,Country,E92000001,All pupils,All pupils,68.1,50541
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,County Durham,Local Authority,E06000047,All pupils,All pupils,69.7,33
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Darlington,Local Authority,E06000005,All pupils,All pupils,52.4,21
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Gateshead,Local Authority,E08000037,All pupils,All pupils,85.7,35
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Hartlepool,Local Authority,E06000001,All pupils,All pupils,71.4,14
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Middlesbrough,Local Authority,E06000002,All pupils,All pupils,71.5,172
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Newcastle upon Tyne,Local Authority,E08000021,All pupils,All pupils,67.1,249
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,North Tyneside,Local Authority,E08000022,All pupils,All pupils,57.9,38
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Northumberland,Local Authority,E06000057,All pupils,All pupils,78.6,42
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,Redcar and Cleveland,Local Authority,E06000003,All pupils,All pupils,57.1,21
Percentage achieving A*-C in English & mathematics,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,South Tyneside,Local Authority,E08000023,All pupils,All pupils,66.7,57
