"Title","Writing attainment for children aged 6 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Local authority","Boys","Girls"
"White","Milton Keynes","59","74"
"White","Newcastle upon Tyne","64","75"
"White","Newham","61","74"
"White","Norfolk","60","74"
"White","North East Lincolnshire","62","75"
"White","North Lincolnshire","63","77"
"White","North Somerset","65","79"
"White","North Tyneside","66","82"
"White","North Yorkshire","61","75"
"White","Northamptonshire","61","75"
"White","Northumberland","68","79"
"White","Nottingham","52","70"
"White","Nottinghamshire","59","74"
"White","Oldham","57","72"
"White","Oxfordshire","59","74"
"White","Peterborough","55","71"
"White","Plymouth","57","73"
"White","Poole","66","78"
"White","Portsmouth","58","74"
"White","Reading","57","70"
"White","Redbridge","59","71"
"White","Redcar and Cleveland","64","81"
"White","Richmond upon Thames","68","76"
"White","Rochdale","58","71"
"White","Rotherham","62","76"
"White","Rutland","67","77"
"White","Salford","60","75"
"White","Sandwell","53","69"
"White","Sefton","60","73"
"White","Sheffield","63","75"
"White","Shropshire","58","73"
"White","Slough","56","72"
"White","Solihull","62","77"
"White","Somerset","63","77"
"White","South Gloucestershire","65","81"
"White","South Tyneside","64","77"
"White","Southampton","59","72"
"White","Southend-on-Sea","63","79"
"White","Southwark","68","77"
"White","St. Helens","55","74"
"White","Staffordshire","65","79"
"White","Stockport","62","78"
"White","Stockton-on-Tees","65","78"
"White","Stoke-on-Trent","58","71"
"White","Suffolk","59","74"
"White","Sunderland","65","78"
"White","Surrey","64","77"
"White","Sutton","62","74"
"White","Swindon","64","77"
"White","Tameside","57","73"
"White","Telford and Wrekin","59","78"
"White","Thurrock","62","73"
"White","Torbay","62","74"
"White","Tower Hamlets","59","75"
"White","Trafford","65","80"
"White","Wakefield","58","72"
"White","Walsall","54","68"
"White","Waltham Forest","66","82"
"White","Wandsworth","74","85"
"White","Warrington","65","77"
"White","Warwickshire","63","76"
"White","West Berkshire","61","75"
"White","West Sussex","53","69"
"White","Westminster","71","79"
"White","Wigan","62","75"
"White","Wiltshire","58","73"
"White","Windsor and Maidenhead","66","79"
"White","Wirral","59","72"
"White","Wokingham","67","78"
"White","Wolverhampton","56","71"
"White","Worcestershire","63","76"
"White","York","61","77"
