"Title","Sources of household income"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","54,399","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","54,399","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","62","51,964","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","51,964","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","51,964","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","51,964","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","51,964","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","51,964","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","51,964","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","51,964","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","51,964","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","78","2,435","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,435","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,435","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,435","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,435","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,435","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,435","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,435","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,435","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","71","471","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","471","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","471","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","471","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","471","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","471","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","471","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","471","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","471","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","69","2,317","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,317","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,317","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,317","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,317","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,317","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,317","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,317","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,317","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","77","993","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","993","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","993","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","993","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","993","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","993","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","993","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","993","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","993","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","567","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","567","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","567","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","567","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","567","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","567","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","567","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","567","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","567","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","206","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","206","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","206","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","206","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","206","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","206","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","206","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","206","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","206","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","71","209","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","209","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","209","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","209","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","209","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","209","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","209","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","209","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","18","209","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","66","342","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","342","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","342","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","342","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","342","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","342","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","342","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","342","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","342","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","67","1,352","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,352","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,352","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,352","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,352","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,352","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,352","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","1,352","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,352","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","62","465","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","465","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","465","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","465","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","465","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","465","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","465","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","465","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","465","","","",""
